ID	Score	Intervention	Observed Node	Value
1	1.0	ABA=0	Closure	OFF
2	1.0	ABA=1	Closure	ON
3	1.0	ABA=0,ROS=1	Closure	ON
4	1.0	ABA=0,RBOH=0	Closure	OFF
5	1.0	ABA=0,RBOH=0,ROS=1	Closure	ON
6	1.0	ABA=0,ROS=0	Closure	OFF
7	1.0	ABA=1,ROS=0	Closure	OFF/Some
8	1.0	ABA=1,RBOH=0	Closure	OFF/Some
9	1.0	ABA=1,PLDalpha=0,RBOH=0	Closure	OFF
10	1.0	ABA=0,CaIM=1	Closure	ON
11	1.0	ABA=0,Ca2c=0	Closure	OFF
12	1.0	ABA=1,Ca2c=0	Closure	OFF/Some
24	1.0	ABA=0,SPHK1_2=0	Closure	OFF
25	1.0	ABA=1,SPHK1_2=0	Closure	Some
26	1.0	ABA=0,SPHK1_2=1	Closure	OFF
27	1.0	ABA=1,SPHK1_2=1	Closure	ON
28	1.0	ABA=0,ABI1=0	Closure	OFF
29	1.0	ABA=1,ABI1=0	Closure	ON
34	1.0	ABA=0,ABI1=0,ROS=1	Closure	ON
35	1.0	ABA=0,ABI1=0,NO=1	Closure	ON
36	1.0	ABA=0,ABI1=1	Closure	OFF
37	1.0	ABA=1,ABI1=1	Closure	OFF
38	1.0	ABA=0,ABI1=1,ROS=1	Closure	OFF
48	1.0	ABA=0,GCR1=0	Closure	OFF
49	1.0	ABA=1,GCR1=0	Closure	ON
52	1.0	ABA=0,S1P_PhytoS1P=0	Closure	OFF
53	1.0	ABA=1,S1P_PhytoS1P=0	Closure	OFF/Some
54	1.0	ABA=0,OST1=0	Closure	OFF
55	1.0	ABA=1,OST1=0	Closure	OFF
56	1.0	ABA=0,OST1=1	Closure	OFF
57	1.0	ABA=1,OST1=1	Closure	ON
58	1.0	ABA=0,ERA1=0	Closure	OFF/Some
59	1.0	ABA=1,ERA1=0	Closure	ON
60	1.0	ABA=0,ABH1=0	Closure	OFF/Some
61	1.0	ABA=1,ABH1=0	Closure	ON
62	1.0	ABA=0,PLDalpha=0	Closure	OFF
63	1.0	ABA=1,PLDalpha=0	Closure	OFF/Some
64	1.0	ABA=0,PLDalpha=0,ROS=1	Closure	ON
68	1.0	ABA=0,PA=1	Closure	Some/ON
69	1.0	ABA=1,PA=1	Closure	ON
75	1.0	ABA=0,ABI1=0,PA=1	Closure	Some/ON
76	1.0	ABA=0,ABI1=1,PA=1	Closure	OFF
77	1.0	ABA=0,PA=1,PLDalpha=0	Closure	Some/ON
79	1.0	ABA=0,GPA1=0,PA=1	Closure	Some/ON
80	1.0	ABA=0,GPA1=0,PA=1,PLDalpha=0	Closure	Some/ON
81	1.0	ABA=0,ABI1=0,PLDalpha=0	Closure	OFF
82	1.0	ABA=1,ABI1=0,PLDalpha=0	Closure	ON
83	1.0	ABA=0,GPA1=0	Closure	OFF
84	1.0	ABA=1,GPA1=0	Closure	ON
85	1.0	ABA=0,GPA1=0,PLDalpha=0	Closure	OFF
86	1.0	ABA=1,GPA1=0,PLDalpha=0	Closure	OFF
89	1.0	ABA=0,Ca2c=0,PLDalpha=0	Closure	OFF
90	1.0	ABA=1,Ca2c=0,PLDalpha=0	Closure	OFF/Some
91	1.0	ABA=0,PA=1,Ca2c=0	Closure	Some/ON
92	1.0	ABA=0,PA=1,Ca2c=0,PLDalpha=0	Closure	Some/ON
99	1.0	ABA=0,cGMP=1	Closure	OFF
100	1.0	ABA=1,NOGC1=0,cGMP=1	Closure	Some/ON
101	1.0	ABA=0,cADPR=0	Closure	OFF/Some
102	1.0	ABA=1,cADPR=0	Closure	Some/ON
103	1.0	ABA=0,ADPRc=0	Closure	OFF
104	1.0	ABA=1,ADPRc=0	Closure	OFF/Some
113	1.0	ABA=0,PLC=0	Closure	OFF/Some
114	1.0	ABA=1,PLC=0	Closure	Some/ON
115	1.0	ABA=0,InsP3=0	Closure	OFF
116	1.0	ABA=1,InsP3=0	Closure	OFF/Some
119	1.0	ABA=1,PLC=0,cADPR=0	Closure	OFF
121	1.0	ABA=0,pHc=0	Closure	OFF
122	1.0	ABA=1,pHc=0	Closure	OFF/Some
123	1.0	ABA=0,OST1=0,pHc=0	Closure	OFF
124	1.0	ABA=1,OST1=0,pHc=0	Closure	OFF
125	1.0	ABA=1,GPA1=0,pHc=0	Closure	OFF/Some
126	1.0	ABA=0,NO=1,RBOH=0	Closure	ON
136	1.0	ABA=0,KOUT=0	Closure	OFF
137	1.0	ABA=1,KOUT=0	Closure	Some
140	1.0	ABA=0,KOUT=0	ROS	OFF
141	1.0	ABA=1,KOUT=0	ROS	ON
142	1.0	ABA=0,KOUT=0,pHc=0	Closure	OFF
143	1.0	ABA=1,KOUT=0,pHc=0	Closure	Some
147	1.0	ABA=0,H_ATPase=1	Closure	OFF
148	1.0	ABA=1,H_ATPase=1	Closure	Some
149	1.0	ABA=0,AtRAC1=0	Closure	Some/ON
150	1.0	ABA=0,AtRAC1=1	Closure	OFF
151	1.0	ABA=1,AtRAC1=1	Closure	Some
176	1.0	ABA=0,OST1=0,ROS=1	Closure	Some/ON
178	1.0	ABA=0,RCN1=0	Closure	OFF/Some
179	1.0	ABA=1,RCN1=0	Closure	Some
182	1.0	ABA=0,NIA1_2=0	Closure	OFF/Some
183	1.0	ABA=1,NIA1_2=0	Closure	OFF
196	1.0	ABA=0,NOGC1=0	Closure	OFF
197	1.0	ABA=1,NOGC1=0	Closure	OFF
198	1.0	ABA=0,NO=1,NOGC1=0	Closure	OFF
201	1.0	ABA=0,pHc=1	Closure	Some/ON
202	1.0	ABA=1,pHc=1	Closure	ON
203	1.0	ABA=0,NO=0	Closure	OFF
204	1.0	ABA=1,NO=0	Closure	OFF
208	1.0	ABA=0,S1P_PhytoS1P=1	Closure	Some/ON
209	1.0	ABA=0,GPA1=0,S1P_PhytoS1P=1	Closure	OFF/Some
212	1.0	ABA=0,NO=1	Closure	Some/ON
213	1.0	ABA=0,NIA1_2=0,NO=1	Closure	Some/ON
214	1.0	ABA=0,NIA1_2=0,ROS=1	Closure	Some/ON
215	1.0	ABA=0,NO=1,NOGC1=0,cGMP=1	Closure	Some/ON
216	1.0	ABA=0,GPA1=0,ROS=1	Closure	ON
217	1.0	ABA=0,Actin_Reorganization=0,ROS=1	Closure	Some
220	1.0	ABA=0,cADPR=1	Closure	ON
221	1.0	ABA=0,ABI1=1,AtRAC1=0	Closure	Some/ON
222	1.0	ABA=0,ABI1=1,AtRAC1=1	Closure	OFF
223	1.0	ABA=0,InsP3=1	Closure	Some/ON
224	1.0	ABA=0,InsP3=1	Ca2c	Some
225	1.0	ABA=0,CaIM=0	Closure	OFF
226	1.0	ABA=0,CaIM=0	Ca2c	OFF
227	1.0	ABA=0,CaIM=0,InsP3=1	Closure	Some/ON
228	1.0	ABA=0,CaIM=0,InsP3=1	Ca2c	Some
230	1.0	ABA=0,NO=1,PLC=0	Closure	OFF
232	1.0	ABA=0,NO=1,PLDalpha=0	Closure	Some/ON
236	1.0	ABA=0,GCR1=0,S1P_PhytoS1P=1	Closure	ON
239	1.0	ABA=0,ABI1=1,NO=1	Closure	OFF
242	1.0	ABA=0,CaIM=1,PLDalpha=0	Closure	OFF
243	1.0	ABA=0,NO=0,ROS=1	Closure	OFF/Some
244	1.0	ABA=0,NO=1,ROS=0	Closure	ON
245	1.0	ABA=0	ROS	OFF
246	1.0	ABA=1	ROS	ON
247	1.0	ABA=0	NO	OFF
248	1.0	ABA=1	NO	ON
249	1.0	ABA=0	pHc	OFF
250	1.0	ABA=1	pHc	ON
257	1.0	ABA=0,NO=1	pHc	Some
258	1.0	ABA=1,NO=1	pHc	ON
259	1.0	ABA=0,NO=0	pHc	OFF
260	1.0	ABA=1,NO=0	pHc	Some
261	1.0	ABA=0,Ca2c=0	pHc	OFF
262	1.0	ABA=1,Ca2c=0	pHc	OFF
263	1.0	ABA=0,Ca2c=0	ROS	OFF
264	1.0	ABA=1,Ca2c=0	ROS	ON
265	1.0	ABA=0,pHc=0	NO	OFF
266	1.0	ABA=1,pHc=0	NO	OFF
267	1.0	ABA=0,pHc=1	NO	ON
268	1.0	ABA=1,pHc=1	NO	ON
269	1.0	ABA=0,Ca2c=0	NO	OFF
270	1.0	ABA=1,Ca2c=0	NO	OFF
271	1.0	ABA=0,ROS=1	NO	ON
272	1.0	ABA=0,NIA1_2=0	NO	OFF/Some
273	1.0	ABA=1,NIA1_2=0	NO	OFF
274	1.0	ABA=0,NIA1_2=0,ROS=1	NO	OFF
277	1.0	ABA=0,RBOH=0	NO	OFF
278	1.0	ABA=1,RBOH=0	NO	OFF
279	1.0	ABA=0,RBOH=0,ROS=1	NO	ON
280	1.0	ABA=0,ABI1=0	NO	OFF
281	1.0	ABA=1,ABI1=0	NO	ON
282	1.0	ABA=0,NO=1	ROS	OFF
283	1.0	ABA=1,NO=0	ROS	ON
284	1.0	ABA=0	CaIM	OFF
285	1.0	ABA=1	CaIM	ON
291	1.0	ABA=0,GPA1=0	ROS	OFF
292	1.0	ABA=1,GPA1=0	ROS	OFF
305	1.0	ABA=1,ABI1=1	pHc	OFF
307	1.0	ABA=1,OST1=0	pHc	OFF
308	1.0	ABA=0,CaIM=1	pHc	ON
309	1.0	ABA=0,CaIM=1,ABI1=1	pHc	ON
311	1.0	ABA=0,CaIM=1,OST1=0	pHc	ON
314	1.0	ABA=0	Ca2c	OFF
315	1.0	ABA=1	Ca2c	Some
316	1.0	ABA=1,pHc=0	Ca2c	OFF/Some
317	1.0	ABA=0,OST1=0	Ca2c	OFF
318	1.0	ABA=1,OST1=0	Ca2c	OFF
321	1.0	ABA=0	Actin_Reorganization	OFF
322	1.0	ABA=1	Actin_Reorganization	ON
323	1.0	ABA=0,ABI1=1	Actin_Reorganization	OFF
324	1.0	ABA=1,ABI1=1	Actin_Reorganization	OFF
330	1.0	ABA=1,PLC=0	Actin_Reorganization	ON
331	1.0	ABA=1,ROS=0	Actin_Reorganization	OFF/Some
332	1.0	ABA=0,RBOH=0	Actin_Reorganization	OFF
333	1.0	ABA=1,RBOH=0	Actin_Reorganization	OFF/Some
334	1.0	ABA=0	AtRAC1	ON
335	1.0	ABA=1	AtRAC1	OFF
336	1.0	ABA=0,ABI1=1	AtRAC1	ON
337	1.0	ABA=1,ABI1=1	AtRAC1	ON
349	1.0	ABA=0	KEV	OFF
350	1.0	ABA=1	KEV	ON
351	1.0	ABA=0,CaIM=1	KEV	Some/ON
378	1.0	ABA=0,pHc=0	ROS	OFF
379	1.0	ABA=1,pHc=0	ROS	Some
380	1.0	ABA=0,OST1=0	CaIM	OFF
381	1.0	ABA=1,OST1=0	CaIM	OFF
382	1.0	ABA=0,OST1=1	CaIM	OFF
383	1.0	ABA=1,OST1=1	CaIM	ON
384	1.0	ABA=0,OST1=0	ROS	OFF
385	1.0	ABA=1,OST1=0	ROS	OFF
386	1.0	ABA=0,OST1=1	ROS	OFF
387	1.0	ABA=1,OST1=1	ROS	ON
388	1.0	ABA=0,RBOH=0	ROS	OFF
389	1.0	ABA=1,RBOH=0	ROS	OFF
390	1.0	ABA=0,OST1=0,RBOH=0	ROS	OFF
391	1.0	ABA=1,OST1=0,RBOH=0	ROS	OFF
392	1.0	ABA=0,KOUT=0,RBOH=0	ROS	OFF
393	1.0	ABA=1,KOUT=0,RBOH=0	ROS	OFF
394	1.0	ABA=0,ABI1=1	ROS	OFF
395	1.0	ABA=1,ABI1=1	ROS	OFF
398	1.0	ABA=0,ABI1=0	ROS	OFF
399	1.0	ABA=1,ABI1=0	ROS	ON
409	1.0	ABA=0	PA	OFF
410	1.0	ABA=1	PA	ON
411	1.0	ABA=0,PLDalpha=0	PA	OFF
412	1.0	ABA=1,PLDalpha=0	PA	Some
413	1.0	ABA=0,PLDalpha=0	ROS	OFF/Some
414	1.0	ABA=1,PLDalpha=0	ROS	Some
416	1.0	ABA=0,PLDalpha=0	NO	OFF
417	1.0	ABA=1,PLDalpha=0	NO	OFF
419	1.0	ABA=0,PLDalpha=0,ROS=1	NO	ON
420	1.0	ABA=0	AnionEM	OFF
421	1.0	ABA=1	AnionEM	ON
422	1.0	ABA=0,cADPR=0	AnionEM	OFF
423	1.0	ABA=1,cADPR=0	AnionEM	OFF
424	1.0	ABA=0,PLC=0	AnionEM	OFF
425	1.0	ABA=1,PLC=0	AnionEM	OFF
426	1.0	ABA=1	Depolarization	ON
427	1.0	ABA=1,cADPR=0	Depolarization	OFF
428	1.0	ABA=1,PLC=0	Depolarization	OFF
439	1.0	ABA=0	PLDalpha	OFF
440	1.0	ABA=1	PLDalpha	Some/ON
449	1.0	ABA=0,S1P_PhytoS1P=1	Ca2c	Some
450	1.0	ABA=0,CaIM=1	Ca2c	Some
451	1.0	ABA=0,AtRAC1=0	Actin_Reorganization	Some/ON
452	1.0	ABA=0,NO=1	PA	Some/ON
453	1.0	ABA=0,PLC=0	PA	OFF
454	1.0	ABA=0,NO=1,PLC=0	PA	OFF/Some
456	1.0	ABA=0,ROS=1	Actin_Reorganization	Some
461	1.0	ABA=0,PA=1	Ca2c	OFF
464	1.0	ABA=0,ABI1=1	NO	OFF
465	1.0	ABA=1,ABI1=1	NO	ON
468	1.0	ABA=0,PA=1	RBOH	ON
469	1.0	ABA=0,PA=1	ROS	Some/ON
471	1.0	ABA=0,PA=1	NO	OFF
473	1.0	ABA=0,PA=1	pHc	ON
477	1.0	ABA=0,PA=1,RBOH=0	ROS	OFF
478	1.0	ABA=0	OST1	OFF
479	1.0	ABA=1	OST1	ON
