ID	Score	Source	Intervention	Observed Node	Value
1	1.0	ABA=0		Closure	OFF
2	1.0	ABA=1		Closure	ON
3	1.0	ABA=0	ROS CA	Closure	ON
4	1.0	ABA=0	RBOH KO	Closure	OFF
5	1.0	ABA=0	RBOH KO,ROS CA	Closure	ON
6	1.0	ABA=0	ROS KO	Closure	OFF
7	1.0	ABA=1	ROS KO	Closure	OFF/Some
8	1.0	ABA=1	RBOH KO	Closure	OFF/Some
9	1.0	ABA=1	PLDalpha KO,RBOH KO	Closure	OFF
10	1.0	ABA=0	CaIM CA	Closure	ON
11	1.0	ABA=0	Ca2c KO	Closure	OFF
12	1.0	ABA=1	Ca2c KO	Closure	OFF/Some
24	1.0	ABA=0	SPHK1_2 KO	Closure	OFF
25	1.0	ABA=1	SPHK1_2 KO	Closure	Some
26	1.0	ABA=0	SPHK1_2 CA	Closure	OFF
27	1.0	ABA=1	SPHK1_2 CA	Closure	ON
28	1.0	ABA=0	ABI1 KO	Closure	OFF
29	1.0	ABA=1	ABI1 KO	Closure	ON
34	1.0	ABA=0	ABI1 KO,ROS CA	Closure	ON
35	1.0	ABA=0	ABI1 KO,NO CA	Closure	ON
36	1.0	ABA=0	ABI1 CA	Closure	OFF
37	1.0	ABA=1	ABI1 CA	Closure	OFF
38	1.0	ABA=0	ABI1 CA,ROS CA	Closure	OFF
48	1.0	ABA=0	GCR1 KO	Closure	OFF
49	1.0	ABA=1	GCR1 KO	Closure	ON
52	1.0	ABA=0	S1P_PhytoS1P KO	Closure	OFF
53	1.0	ABA=1	S1P_PhytoS1P KO	Closure	OFF/Some
54	1.0	ABA=0	OST1 KO	Closure	OFF
55	1.0	ABA=1	OST1 KO	Closure	OFF
56	1.0	ABA=0	OST1 CA	Closure	OFF
57	1.0	ABA=1	OST1 CA	Closure	ON
58	1.0	ABA=0	ERA1 KO	Closure	OFF/Some
59	1.0	ABA=1	ERA1 KO	Closure	ON
60	1.0	ABA=0	ABH1 KO	Closure	OFF/Some
61	1.0	ABA=1	ABH1 KO	Closure	ON
62	1.0	ABA=0	PLDalpha KO	Closure	OFF
63	1.0	ABA=1	PLDalpha KO	Closure	OFF/Some
64	1.0	ABA=0	PLDalpha KO,ROS CA	Closure	ON
68	1.0	ABA=0	PA CA	Closure	Some/ON
69	1.0	ABA=1	PA CA	Closure	ON
75	1.0	ABA=0	ABI1 KO,PA CA	Closure	Some/ON
76	1.0	ABA=0	ABI1 CA,PA CA	Closure	OFF
77	1.0	ABA=0	PA CA,PLDalpha KO	Closure	Some/ON
79	1.0	ABA=0	GPA1 KO,PA CA	Closure	Some/ON
80	1.0	ABA=0	GPA1 KO,PA CA,PLDalpha KO	Closure	Some/ON
81	1.0	ABA=0	ABI1 KO,PLDalpha KO	Closure	OFF
82	1.0	ABA=1	ABI1 KO,PLDalpha KO	Closure	ON
83	1.0	ABA=0	GPA1 KO	Closure	OFF
84	1.0	ABA=1	GPA1 KO	Closure	ON
85	1.0	ABA=0	GPA1 KO,PLDalpha KO	Closure	OFF
86	1.0	ABA=1	GPA1 KO,PLDalpha KO	Closure	OFF
89	1.0	ABA=0	Ca2c KO,PLDalpha KO	Closure	OFF
90	1.0	ABA=1	Ca2c KO,PLDalpha KO	Closure	OFF/Some
91	1.0	ABA=0	PA CA,Ca2c KO	Closure	Some/ON
92	1.0	ABA=0	PA CA,Ca2c KO,PLDalpha KO	Closure	Some/ON
99	1.0	ABA=0	cGMP CA	Closure	OFF
100	1.0	ABA=1	NOGC1 KO,cGMP CA	Closure	Some/ON
101	1.0	ABA=0	cADPR KO	Closure	OFF/Some
102	1.0	ABA=1	cADPR KO	Closure	Some/ON
103	1.0	ABA=0	ADPRc KO	Closure	OFF
104	1.0	ABA=1	ADPRc KO	Closure	OFF/Some
113	1.0	ABA=0	PLC KO	Closure	OFF/Some
114	1.0	ABA=1	PLC KO	Closure	Some/ON
115	1.0	ABA=0	InsP3 KO	Closure	OFF
116	1.0	ABA=1	InsP3 KO	Closure	OFF/Some
119	1.0	ABA=1	PLC KO,cADPR KO	Closure	OFF
121	1.0	ABA=0	pHc KO	Closure	OFF
122	1.0	ABA=1	pHc KO	Closure	OFF/Some
123	1.0	ABA=0	OST1 KO,pHc KO	Closure	OFF
124	1.0	ABA=1	OST1 KO,pHc KO	Closure	OFF
125	1.0	ABA=1	GPA1 KO,pHc KO	Closure	OFF/Some
126	1.0	ABA=0	NO CA,RBOH KO	Closure	ON
136	1.0	ABA=0	KOUT KO	Closure	OFF
137	1.0	ABA=1	KOUT KO	Closure	Some
140	1.0	ABA=0	KOUT KO	ROS	OFF
141	1.0	ABA=1	KOUT KO	ROS	ON
142	1.0	ABA=0	KOUT KO,pHc KO	Closure	OFF
143	1.0	ABA=1	KOUT KO,pHc KO	Closure	Some
147	1.0	ABA=0	H_ATPase CA	Closure	OFF
148	1.0	ABA=1	H_ATPase CA	Closure	Some
149	1.0	ABA=0	AtRAC1 KO	Closure	Some/ON
150	1.0	ABA=0	AtRAC1 CA	Closure	OFF
151	1.0	ABA=1	AtRAC1 CA	Closure	Some
176	1.0	ABA=0	OST1 KO,ROS CA	Closure	Some/ON
178	1.0	ABA=0	RCN1 KO	Closure	OFF/Some
179	1.0	ABA=1	RCN1 KO	Closure	Some
182	1.0	ABA=0	NIA1_2 KO	Closure	OFF/Some
183	1.0	ABA=1	NIA1_2 KO	Closure	OFF
196	1.0	ABA=0	NOGC1 KO	Closure	OFF
197	1.0	ABA=1	NOGC1 KO	Closure	OFF
198	1.0	ABA=0	NO CA,NOGC1 KO	Closure	OFF
201	1.0	ABA=0	pHc CA	Closure	Some/ON
202	1.0	ABA=1	pHc CA	Closure	ON
203	1.0	ABA=0	NO KO	Closure	OFF
204	1.0	ABA=1	NO KO	Closure	OFF
208	1.0	ABA=0	S1P_PhytoS1P CA	Closure	Some/ON
209	1.0	ABA=0	GPA1 KO,S1P_PhytoS1P CA	Closure	OFF/Some
212	1.0	ABA=0	NO CA	Closure	Some/ON
213	1.0	ABA=0	NIA1_2 KO,NO CA	Closure	Some/ON
214	1.0	ABA=0	NIA1_2 KO,ROS CA	Closure	Some/ON
215	1.0	ABA=0	NO CA,NOGC1 KO,cGMP CA	Closure	Some/ON
216	1.0	ABA=0	GPA1 KO,ROS CA	Closure	ON
217	1.0	ABA=0	Actin_Reorganization KO,ROS CA	Closure	Some
220	1.0	ABA=0	cADPR CA	Closure	ON
221	1.0	ABA=0	ABI1 CA,AtRAC1 KO	Closure	Some/ON
222	1.0	ABA=0	ABI1 CA,AtRAC1 CA	Closure	OFF
223	1.0	ABA=0	InsP3 CA	Closure	Some/ON
224	1.0	ABA=0	InsP3 CA	Ca2c	Some
225	1.0	ABA=0	CaIM KO	Closure	OFF
226	1.0	ABA=0	CaIM KO	Ca2c	OFF
227	1.0	ABA=0	CaIM KO,InsP3 CA	Closure	Some/ON
228	1.0	ABA=0	CaIM KO,InsP3 CA	Ca2c	Some
230	1.0	ABA=0	NO CA,PLC KO	Closure	OFF
232	1.0	ABA=0	NO CA,PLDalpha KO	Closure	Some/ON
236	1.0	ABA=0	GCR1 KO,S1P_PhytoS1P CA	Closure	ON
239	1.0	ABA=0	ABI1 CA,NO CA	Closure	OFF
242	1.0	ABA=0	CaIM CA,PLDalpha KO	Closure	OFF
243	1.0	ABA=0	NO KO,ROS CA	Closure	OFF/Some
244	1.0	ABA=0	NO CA,ROS KO	Closure	ON
245	1.0	ABA=0		ROS	OFF
246	1.0	ABA=1		ROS	ON
247	1.0	ABA=0		NO	OFF
248	1.0	ABA=1		NO	ON
249	1.0	ABA=0		pHc	OFF
250	1.0	ABA=1		pHc	ON
257	1.0	ABA=0	NO CA	pHc	Some
258	1.0	ABA=1	NO CA	pHc	ON
259	1.0	ABA=0	NO KO	pHc	OFF
260	1.0	ABA=1	NO KO	pHc	Some
261	1.0	ABA=0	Ca2c KO	pHc	OFF
262	1.0	ABA=1	Ca2c KO	pHc	OFF
263	1.0	ABA=0	Ca2c KO	ROS	OFF
264	1.0	ABA=1	Ca2c KO	ROS	ON
265	1.0	ABA=0	pHc KO	NO	OFF
266	1.0	ABA=1	pHc KO	NO	OFF
267	1.0	ABA=0	pHc CA	NO	ON
268	1.0	ABA=1	pHc CA	NO	ON
269	1.0	ABA=0	Ca2c KO	NO	OFF
270	1.0	ABA=1	Ca2c KO	NO	OFF
271	1.0	ABA=0	ROS CA	NO	ON
272	1.0	ABA=0	NIA1_2 KO	NO	OFF/Some
273	1.0	ABA=1	NIA1_2 KO	NO	OFF
274	1.0	ABA=0	NIA1_2 KO,ROS CA	NO	OFF
277	1.0	ABA=0	RBOH KO	NO	OFF
278	1.0	ABA=1	RBOH KO	NO	OFF
279	1.0	ABA=0	RBOH KO,ROS CA	NO	ON
280	1.0	ABA=0	ABI1 KO	NO	OFF
281	1.0	ABA=1	ABI1 KO	NO	ON
282	1.0	ABA=0	NO CA	ROS	OFF
283	1.0	ABA=1	NO KO	ROS	ON
284	1.0	ABA=0		CaIM	OFF
285	1.0	ABA=1		CaIM	ON
291	1.0	ABA=0	GPA1 KO	ROS	OFF
292	1.0	ABA=1	GPA1 KO	ROS	OFF
305	1.0	ABA=1	ABI1 CA	pHc	OFF
307	1.0	ABA=1	OST1 KO	pHc	OFF
308	1.0	ABA=0	CaIM CA	pHc	ON
309	1.0	ABA=0	CaIM CA,ABI1 CA	pHc	ON
311	1.0	ABA=0	CaIM CA,OST1 KO	pHc	ON
314	1.0	ABA=0		Ca2c	OFF
315	1.0	ABA=1		Ca2c	Some
316	1.0	ABA=1	pHc KO	Ca2c	OFF/Some
317	1.0	ABA=0	OST1 KO	Ca2c	OFF
318	1.0	ABA=1	OST1 KO	Ca2c	OFF
321	1.0	ABA=0		Actin_Reorganization	OFF
322	1.0	ABA=1		Actin_Reorganization	ON
323	1.0	ABA=0	ABI1 CA	Actin_Reorganization	OFF
324	1.0	ABA=1	ABI1 CA	Actin_Reorganization	OFF
330	1.0	ABA=1	PLC KO	Actin_Reorganization	ON
331	1.0	ABA=1	ROS KO	Actin_Reorganization	OFF/Some
332	1.0	ABA=0	RBOH KO	Actin_Reorganization	OFF
333	1.0	ABA=1	RBOH KO	Actin_Reorganization	OFF/Some
334	1.0	ABA=0		AtRAC1	ON
335	1.0	ABA=1		AtRAC1	OFF
336	1.0	ABA=0	ABI1 CA	AtRAC1	ON
337	1.0	ABA=1	ABI1 CA	AtRAC1	ON
349	1.0	ABA=0		KEV	OFF
350	1.0	ABA=1		KEV	ON
351	1.0	ABA=0	CaIM CA	KEV	Some/ON
378	1.0	ABA=0	pHc KO	ROS	OFF
379	1.0	ABA=1	pHc KO	ROS	Some
380	1.0	ABA=0	OST1 KO	CaIM	OFF
381	1.0	ABA=1	OST1 KO	CaIM	OFF
382	1.0	ABA=0	OST1 CA	CaIM	OFF
383	1.0	ABA=1	OST1 CA	CaIM	ON
384	1.0	ABA=0	OST1 KO	ROS	OFF
385	1.0	ABA=1	OST1 KO	ROS	OFF
386	1.0	ABA=0	OST1 CA	ROS	OFF
387	1.0	ABA=1	OST1 CA	ROS	ON
388	1.0	ABA=0	RBOH KO	ROS	OFF
389	1.0	ABA=1	RBOH KO	ROS	OFF
390	1.0	ABA=0	OST1 KO,RBOH KO	ROS	OFF
391	1.0	ABA=1	OST1 KO,RBOH KO	ROS	OFF
392	1.0	ABA=0	KOUT KO,RBOH KO	ROS	OFF
393	1.0	ABA=1	KOUT KO,RBOH KO	ROS	OFF
394	1.0	ABA=0	ABI1 CA	ROS	OFF
395	1.0	ABA=1	ABI1 CA	ROS	OFF
398	1.0	ABA=0	ABI1 KO	ROS	OFF
399	1.0	ABA=1	ABI1 KO	ROS	ON
409	1.0	ABA=0		PA	OFF
410	1.0	ABA=1		PA	ON
411	1.0	ABA=0	PLDalpha KO	PA	OFF
412	1.0	ABA=1	PLDalpha KO	PA	Some
413	1.0	ABA=0	PLDalpha KO	ROS	OFF/Some
414	1.0	ABA=1	PLDalpha KO	ROS	Some
416	1.0	ABA=0	PLDalpha KO	NO	OFF
417	1.0	ABA=1	PLDalpha KO	NO	OFF
419	1.0	ABA=0	PLDalpha KO,ROS CA	NO	ON
420	1.0	ABA=0		AnionEM	OFF
421	1.0	ABA=1		AnionEM	ON
422	1.0	ABA=0	cADPR KO	AnionEM	OFF
423	1.0	ABA=1	cADPR KO	AnionEM	OFF
424	1.0	ABA=0	PLC KO	AnionEM	OFF
425	1.0	ABA=1	PLC KO	AnionEM	OFF
426	1.0	ABA=1		Depolarization	ON
427	1.0	ABA=1	cADPR KO	Depolarization	OFF
428	1.0	ABA=1	PLC KO	Depolarization	OFF
439	1.0	ABA=0		PLDalpha	OFF
440	1.0	ABA=1		PLDalpha	Some/ON
449	1.0	ABA=0	S1P_PhytoS1P CA	Ca2c	Some
450	1.0	ABA=0	CaIM CA	Ca2c	Some
451	1.0	ABA=0	AtRAC1 KO	Actin_Reorganization	Some/ON
452	1.0	ABA=0	NO CA	PA	Some/ON
453	1.0	ABA=0	PLC KO	PA	OFF
454	1.0	ABA=0	NO CA,PLC KO	PA	OFF/Some
456	1.0	ABA=0	ROS CA	Actin_Reorganization	Some
461	1.0	ABA=0	PA CA	Ca2c	OFF
464	1.0	ABA=0	ABI1 CA	NO	OFF
465	1.0	ABA=1	ABI1 CA	NO	ON
468	1.0	ABA=0	PA CA	RBOH	ON
469	1.0	ABA=0	PA CA	ROS	Some/ON
471	1.0	ABA=0	PA CA	NO	OFF
