ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	ABA=0		Closure	OFF
2	1.0	ABA=1		Closure	ON
3	1.0	ABA=0	ROS CA	Closure	ON
4	1.0	ABA=0	RBOH KO	Closure	OFF
5	1.0	ABA=0	RBOH KO, ROS CA	Closure	ON
6	1.0	ABA=0	ROS KO	Closure	OFF
7	1.0	ABA=1	ROS KO	Closure	OFF/Some
8	1.0	ABA=1	RBOH KO	Closure	OFF/Some
9	1.0	ABA=1	PLDalpha KO, RBOH KO	Closure	OFF
10	1.0	ABA=0	CaIM CA	Closure	ON
11	1.0	ABA=0	Ca2osc KO	Closure	OFF
12	1.0	ABA=1	Ca2osc KO	Closure	OFF/Some
13	1.0	ABA=0	SCAB1 CA	Closure	OFF
14	1.0	ABA=1	SCAB1 CA	Closure	Some/ON
15	1.0	ABA=1	SCAB1 CA	Actin_Reorganization	Some/ON
16	1.0	ABA=0	SCAB1 KO	Closure	OFF
17	1.0	ABA=1	SCAB1 KO	Closure	Some/ON
18	1.0	ABA=1	SCAB1 KO	Actin_Reorganization	Some/ON
19	1.0	ABA=0	ROS CA, SCAB1 KO	Closure	Some
20	1.0	ABA=0	CaIM CA, SCAB1 KO	Closure	Some
21	1.0	ABA=0	GEF1_4_10 KO	Closure	OFF
22	1.0	ABA=1	GEF1_4_10 KO	Closure	ON
23	1.0	ABA=1	GEF1_4_10 CA	Closure	Some/ON
24	1.0	ABA=0	SPHK1_2 KO	Closure	OFF
25	1.0	ABA=1	SPHK1_2 KO	Closure	Some
26	1.0	ABA=0	SPHK1_2 CA	Closure	OFF
27	1.0	ABA=1	SPHK1_2 CA	Closure	ON
28	1.0	ABA=0	ABI1 KO	Closure	OFF
29	1.0	ABA=1	ABI1 KO	Closure	ON
30	1.0	ABA=0	HAB1 KO	Closure	OFF
31	1.0	ABA=1	HAB1 KO	Closure	ON
32	1.0	ABA=0	ABI1 KO, HAB1 KO	Closure	OFF
33	1.0	ABA=1	ABI1 KO, HAB1 KO	Closure	ON
34	1.0	ABA=0	ABI1 KO, ROS CA	Closure	ON
35	1.0	ABA=0	ABI1 KO, NO CA	Closure	ON
36	1.0	ABA=0	ABI1 CA	Closure	OFF
37	1.0	ABA=1	ABI1 CA	Closure	OFF
38	1.0	ABA=0	ABI1 CA, ROS CA	Closure	OFF
39	1.0	ABA=0	ABI2 KO	Closure	OFF
40	1.0	ABA=1	ABI2 KO	Closure	ON
41	1.0	ABA=0	ABI2 CA	Closure	OFF
42	1.0	ABA=1	ABI2 CA	Closure	OFF/Some
43	1.0	ABA=0	RCARs CA	Closure	OFF
44	1.0	ABA=1	RCARs CA	Closure	ON
45	1.0	ABA=0	RCARs KO	Closure	OFF
46	1.0	ABA=1	RCARs KO	Closure	Some
47	1.0	ABA=0	CaIM CA, RCARs KO	Closure	Some/ON
48	1.0	ABA=0	GCR1 KO	Closure	OFF
49	1.0	ABA=1	GCR1 KO	Closure	ON
50	1.0	ABA=0	TCTP CA	Closure	OFF
51	1.0	ABA=1	TCTP CA	Closure	ON
52	1.0	ABA=0	S1P_PhytoS1P KO	Closure	OFF
53	1.0	ABA=1	S1P_PhytoS1P KO	Closure	OFF/Some
54	1.0	ABA=0	OST1 KO	Closure	OFF
55	1.0	ABA=1	OST1 KO	Closure	OFF
56	1.0	ABA=0	OST1 CA	Closure	OFF
57	1.0	ABA=1	OST1 CA	Closure	ON
58	1.0	ABA=0	ERA1 KO	Closure	OFF/Some
59	1.0	ABA=1	ERA1 KO	Closure	ON
60	1.0	ABA=0	ABH1 KO	Closure	OFF/Some
61	1.0	ABA=1	ABH1 KO	Closure	ON
62	1.0	ABA=0	PLDalpha KO	Closure	OFF
63	1.0	ABA=1	PLDalpha KO	Closure	OFF/Some
64	1.0	ABA=0	PLDalpha KO, ROS CA	Closure	ON
65	1.0	ABA=0	PLDdelta KO	Closure	OFF
66	1.0	ABA=1	PLDdelta KO	Closure	OFF
67	1.0	ABA=0	PLDdelta KO, ROS CA	Closure	OFF
68	1.0	ABA=0	PA CA	Closure	Some/ON
69	1.0	ABA=1	PA CA	Closure	ON
70	1.0	ABA=0	PLDalpha KO, PLDdelta KO	Closure	OFF
71	1.0	ABA=1	PLDalpha KO, PLDdelta KO	Closure	Some
72	1.0	ABA=0	PLDalpha KO, PLDdelta KO, ROS CA	Closure	Some/ON
73	1.0	ABA=0	PA CA, PLDalpha KO, PLDdelta KO	Closure	Some/ON
74	1.0	ABA=0	DAG CA	Closure	OFF
75	1.0	ABA=0	ABI1 KO, PA CA	Closure	Some/ON
76	1.0	ABA=0	ABI1 CA, PA CA	Closure	OFF
77	1.0	ABA=0	PA CA, PLDalpha KO	Closure	Some/ON
78	1.0	ABA=0	PA CA, PLDdelta KO	Closure	Some/ON
79	1.0	ABA=0	GPA1 KO, PA CA	Closure	Some/ON
80	1.0	ABA=0	GPA1 KO, PA CA, PLDalpha KO	Closure	Some/ON
81	1.0	ABA=0	ABI1 KO, PLDalpha KO	Closure	OFF
82	1.0	ABA=1	ABI1 KO, PLDalpha KO	Closure	ON
83	1.0	ABA=0	GPA1 KO	Closure	OFF
84	1.0	ABA=1	GPA1 KO	Closure	ON
85	1.0	ABA=0	GPA1 KO, PLDalpha KO	Closure	OFF
86	1.0	ABA=1	GPA1 KO, PLDalpha KO	Closure	OFF
87	1.0	ABA=0	PP2CA KO	Closure	OFF
88	1.0	ABA=0	PA CA, PP2CA KO	Closure	Some/ON
89	1.0	ABA=0	Ca2osc KO, PLDalpha KO	Closure	OFF
90	1.0	ABA=1	Ca2osc KO, PLDalpha KO	Closure	OFF/Some
91	1.0	ABA=0	PA CA, Ca2osc KO	Closure	Some/ON
92	1.0	ABA=0	PA CA, Ca2osc KO, PLDalpha KO	Closure	Some/ON
93	1.0	ABA=0	CPK3_21 KO	Closure	OFF
94	1.0	ABA=1	CPK3_21 KO	Closure	Some/ON
95	1.0	ABA=0	CPK6 KO	Closure	OFF
96	1.0	ABA=1	CPK6 KO	Closure	Some/ON
97	1.0	ABA=0	CPK3_21 KO, CPK6 KO	Closure	OFF
98	1.0	ABA=1	CPK3_21 KO, CPK6 KO	Closure	OFF/Some
99	1.0	ABA=0	cGMP CA	Closure	OFF
100	1.0	ABA=1	NOGC1 KO, cGMP CA	Closure	Some/ON
101	1.0	ABA=0	cADPR KO	Closure	OFF/Some
102	1.0	ABA=1	cADPR KO	Closure	Some/ON
103	1.0	ABA=0	ADPRc KO	Closure	OFF
104	1.0	ABA=1	ADPRc KO	Closure	OFF/Some
105	1.0	ABA=0	PI3P5K KO	Closure	OFF
106	1.0	ABA=1	PI3P5K KO	Closure	Some/ON
107	1.0	ABA=0	V-ATPase KO	Closure	OFF
108	1.0	ABA=1	V-ATPase KO	Closure	Some/ON
109	1.0	ABA=0	V-PPase KO	Closure	OFF
110	1.0	ABA=1	V-PPase KO	Closure	Some/ON
111	1.0	ABA=0	Vacuolar_Acidification KO	Closure	OFF
112	1.0	ABA=1	Vacuolar_Acidification KO	Closure	Some
113	1.0	ABA=0	PLC KO	Closure	OFF/Some
114	1.0	ABA=1	PLC KO	Closure	Some/ON
115	1.0	ABA=0	InsP3 KO	Closure	OFF
116	1.0	ABA=1	InsP3 KO	Closure	OFF/Some
117	1.0	ABA=1	PLDalpha KO, PLDdelta KO, cADPR KO	Closure	OFF
118	1.0	ABA=1	PLC KO, PLDalpha KO, PLDdelta KO	Closure	OFF/Some
119	1.0	ABA=1	PLC KO, cADPR KO	Closure	OFF
120	1.0	ABA=1	PLC KO, PLDalpha KO, PLDdelta KO, cADPR KO	Closure	OFF
121	1.0	ABA=0	pHc KO	Closure	OFF
122	1.0	ABA=1	pHc KO	Closure	OFF/Some
123	1.0	ABA=0	OST1 KO, pHc KO	Closure	OFF
124	1.0	ABA=1	OST1 KO, pHc KO	Closure	OFF
125	1.0	ABA=1	GPA1 KO, pHc KO	Closure	OFF/Some
126	1.0	ABA=0	NO CA, RBOH KO	Closure	ON
127	1.0	ABA=0	PtdInsP4 KO	Closure	OFF
128	1.0	ABA=1	PtdInsP4 KO	Closure	OFF/Some
129	1.0	ABA=0	PtdInsP3 KO	Closure	OFF
130	1.0	ABA=1	PtdInsP3 KO	Closure	OFF/Some
131	1.0	ABA=1	PtdInsP3 KO, PtdInsP4 KO	Closure	OFF/Some
132	1.0	ABA=0	ROP11 CA	Closure	OFF
133	1.0	ABA=1	ROP11 CA	Closure	Some
134	1.0	ABA=0	ROP11 KO	Closure	OFF
135	1.0	ABA=1	ROP11 KO	Closure	ON
136	1.0	ABA=0	KOUT KO	Closure	OFF
137	1.0	ABA=1	KOUT KO	Closure	Some
138	1.0	ABA=0	K_efflux KO	Closure	OFF
139	1.0	ABA=1	K_efflux KO	Closure	Some
140	1.0	ABA=0	KOUT KO	ROS	OFF
141	1.0	ABA=1	KOUT KO	ROS	ON
142	1.0	ABA=0	KOUT KO, pHc KO	Closure	OFF
143	1.0	ABA=1	KOUT KO, pHc KO	Closure	Some
144	1.0	ABA=0	PP2CA CA	Closure	OFF
145	1.0	ABA=1	PP2CA CA	Closure	Some
146	1.0	ABA=1	PP2CA KO	Closure	ON
147	1.0	ABA=0	H_ATPase CA	Closure	OFF
148	1.0	ABA=1	H_ATPase CA	Closure	Some
149	1.0	ABA=0	AtRAC1 KO	Closure	Some/ON
150	1.0	ABA=0	AtRAC1 CA	Closure	OFF
151	1.0	ABA=1	AtRAC1 CA	Closure	Some
152	1.0	ABA=0	QUAC1 KO	Closure	OFF
153	1.0	ABA=1	QUAC1 KO	Closure	OFF/Some
154	1.0	ABA=0	CaIM CA, QUAC1 KO	Closure	OFF
155	1.0	ABA=0	GAPC1_2 KO	Closure	OFF
156	1.0	ABA=1	GAPC1_2 KO	Closure	Some
157	1.0	ABA=0	GAPC1_2 KO, ROS CA	Closure	Some
158	1.0	ABA=0	GAPC1_2 KO, PLDdelta KO	Closure	OFF
159	1.0	ABA=1	GAPC1_2 KO, PLDdelta KO	Closure	OFF/Some
160	1.0	ABA=0	GAPC1_2 KO, PLDdelta KO, ROS CA	Closure	OFF/Some
161	1.0	ABA=0	MPK9_12 KO	Closure	OFF
162	1.0	ABA=1	MPK9_12 KO	Closure	OFF/Some
163	1.0	ABA=0	MPK9_12 KO, ROS CA	Closure	Some
164	1.0	ABA=0	SLAC1 KO	Closure	OFF
165	1.0	ABA=1	SLAC1 KO	Closure	OFF
166	1.0	ABA=0	ARP_Complex KO	Closure	OFF/Some
167	1.0	ABA=1	ARP_Complex KO	Closure	OFF/Some
168	1.0	ABA=0	ARP_Complex KO, CaIM CA	Closure	Some
169	1.0	ABA=0	ARP_Complex KO	Actin_Reorganization	OFF
170	1.0	ABA=1	ARP_Complex KO	Actin_Reorganization	OFF/Some
171	1.0	ABA=0	AquaporinPIP2_1 KO	Closure	OFF
172	1.0	ABA=1	AquaporinPIP2_1 KO	Closure	Some
173	1.0	ABA=0	GHR1 KO	Closure	OFF
174	1.0	ABA=1	GHR1 KO	Closure	OFF
175	1.0	ABA=0	GHR1 KO, ROS CA	Closure	OFF
176	1.0	ABA=0	OST1 KO, ROS CA	Closure	Some/ON
177	1.0	ABA=0	CaIM CA, GHR1 KO	Closure	ON
178	1.0	ABA=0	RCN1 KO	Closure	OFF/Some
179	1.0	ABA=1	RCN1 KO	Closure	Some
180	1.0	ABA=0	SPP1 KO	Closure	OFF
181	1.0	ABA=1	SPP1 KO	Closure	ON
182	1.0	ABA=0	NIA1_2 KO	Closure	OFF/Some
183	1.0	ABA=1	NIA1_2 KO	Closure	OFF
184	1.0	ABA=0	Microtubule_Depolymerization KO	Closure	OFF
185	1.0	ABA=1	Microtubule_Depolymerization KO	Closure	OFF/Some
186	1.0	ABA=0	Microtubule_Depolymerization CA	Closure	OFF
187	1.0	ABA=1	Microtubule_Depolymerization CA	Closure	ON
188	1.0	ABA=0	Microtubule_Depolymerization CA, PLDalpha KO	Closure	OFF
189	1.0	ABA=1	Microtubule_Depolymerization CA, PLDalpha KO	Closure	Some/ON
190	1.0	ABA=0	Microtubule_Depolymerization CA, PP2CA KO	Closure	OFF
191	1.0	ABA=1	Microtubule_Depolymerization CA, PP2CA KO	Closure	ON
192	1.0	ABA=0	Microtubule_Depolymerization KO, PLDalpha KO	Closure	OFF
193	1.0	ABA=1	Microtubule_Depolymerization KO, PLDalpha KO	Closure	OFF
194	1.0	ABA=0	Microtubule_Depolymerization KO, PP2CA KO	Closure	OFF
195	1.0	ABA=1	Microtubule_Depolymerization KO, PP2CA KO	Closure	ON
196	1.0	ABA=0	NOGC1 KO	Closure	OFF
197	1.0	ABA=1	NOGC1 KO	Closure	OFF
198	1.0	ABA=0	NO CA, NOGC1 KO	Closure	OFF
199	1.0	ABA=0	MRP5 KO	Closure	OFF
200	1.0	ABA=1	MRP5 KO	Closure	Some
201	1.0	ABA=0	pHc CA	Closure	Some/ON
202	1.0	ABA=1	pHc CA	Closure	ON
203	1.0	ABA=0	NO KO	Closure	OFF
204	1.0	ABA=1	NO KO	Closure	OFF
205	1.0	ABA=1	SLAH3 KO	Closure	ON
206	1.0	ABA=0	NtSyp121 KO	Closure	OFF
207	1.0	ABA=1	NtSyp121 KO	Closure	OFF
208	1.0	ABA=0	S1P_PhytoS1P CA	Closure	Some/ON
209	1.0	ABA=0	GPA1 KO, S1P_PhytoS1P CA	Closure	OFF/Some
210	1.0	ABA=0	Nitrite CA	Closure	Some/ON
211	1.0	ABA=0	Nitrite CA, NIA1_2 KO	Closure	OFF
