# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'Closure', 'DAG', 'PtdIns4_5P2', 'InsP6', 'cADPR', 'PtdIns3_5P2', 'H2O_Efflux', 'Ca2c', 'InsP3', 'RCARs', 'cGMP', 'Ca2_ATPase', 'NO'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_source': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	312.792599145983	1	192
1	325.47256944444445	1	184
2	332.6778995305687	0	181
3	333.47256944444445	2	186
4	335.078125	2	211
5	349.8614583333333	2	182
6	350.51145833333334	2	180
7	351.76145833333334	2	183
8	358.4809027777778	3	197
9	359.29340277777777	3	200
10	363.4045138888889	1	197
11	368.54340277777777	3	262
12	375.06250000000006	5	289
13	387.5125	5	262
14	389.33250000000004	4	269
15	391.7325000000001	5	305
16	392.1625	4	299
17	394.67250000000007	4	324
18	395.8281790123457	5	325
19	399.15694444444443	7	347
20	399.65694444444443	7	353
21	405.6600000000001	5	298
22	408.6600000000001	5	299
23	410.29444444444437	8	389
24	412.225	7	384
25	413.1	6	353
26	414.975	6	382
27	416.35	6	357
28	416.35	6	357
29	419.44444444444446	4	420
30	421.44444444444446	5	386
31	421.44444444444446	5	371
32	421.44444444444446	5	367
33	421.69444444444446	5	382
34	421.94444444444446	6	387
35	422.69444444444446	6	375
36	422.69444444444446	6	362
37	422.69444444444446	6	362
38	423.44444444444446	6	261
39	423.69444444444446	6	367
40	423.69444444444446	6	277
41	423.94444444444446	6	277
42	423.94444444444446	6	277
43	423.94444444444446	6	276
44	424.19444444444446	6	446
45	424.94444444444446	6	289
46	425.1944444444444	5	245
47	425.19444444444446	6	286
48	425.19444444444446	6	286
49	425.19444444444446	6	281
50	425.19444444444446	6	281
51	425.19444444444446	6	278
52	425.19444444444446	6	273
53	425.44444444444446	6	271
54	425.44444444444446	6	271
55	425.44444444444446	6	271
56	425.44444444444446	6	271
57	425.69444444444446	7	290
58	425.69444444444446	7	275
59	425.9444444444445	8	265
60	426.19444444444446	7	277
61	426.19444444444446	7	218
62	426.19444444444446	7	215
63	426.19444444444446	7	215
64	426.9444444444444	6	234
65	427.19444444444446	7	239
66	427.19444444444446	7	237
67	427.19444444444446	7	235
68	427.19444444444446	7	235
69	427.19444444444446	7	235
70	427.19444444444446	7	234
71	427.19444444444446	7	224
72	427.19444444444446	7	223
73	427.19444444444446	7	222
74	427.19444444444446	7	222
75	427.19444444444446	7	222
76	427.19444444444446	7	218
77	427.19444444444446	7	208
78	427.19444444444446	7	205
79	427.19444444444446	7	200
80	427.19444444444446	7	200
81	427.19444444444446	7	200
82	427.19444444444446	7	200
83	427.19444444444446	7	194
84	427.19444444444446	7	194
85	427.19444444444446	7	194
86	427.19444444444446	7	190
87	427.19444444444446	7	190
88	427.19444444444446	7	190
89	427.19444444444446	7	184
90	427.19444444444446	7	184
91	427.19444444444446	7	184
92	427.19444444444446	7	184
93	427.19444444444446	7	183
94	427.19444444444446	7	183
95	427.19444444444446	6	192
96	427.19444444444446	6	181
97	427.19444444444446	6	180
98	427.19444444444446	6	180
99	427.19444444444446	6	180
100	427.19444444444446	6	180
