# DATA='BoolMoRe/ABA_case_study/data/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': ['Ca2_ATPase', 'Ca2c', 'Closure', 'DAG', 'H2O_Efflux', 'InsP3', 'InsP6', 'NO', 'PtdIns3_5P2', 'PtdIns4_5P2', 'RCARs', 'cADPR', 'cGMP'], 'regulate': {'ABI1': ['RCARs'], 'ABI2': ['RCARs'], 'HAB1': ['RCARs'], 'PP2CA': ['RCARs'], 'K_efflux': ['KEV', 'KOUT'], 'OST1': ['ABI1', 'ABI2'], 'Depolarization': ['AnionEM']}, 'necessary': {'8-nitro-cGMP': ['cGMP'], 'KOUT': ['Depolarization'], 'Malate': ['PEPC', 'AnionEM'], 'ROS': ['NADPH', 'RBOH']}, 'group': {'PA': [['PC', 'PLDalpha'], ['PC', 'PLDdelta'], ['DAG', 'DAGK']], 'S1P_PhytoS1P': [['SPHK1_2', 'Sph']]}, 'possible_constant': []}
# EDGE_POOL=[['Ca2c', 'ABI2', '0'], ['Ca2c', 'HAB1', '0'], ['Ca2c', 'PP2CA', '0'], ['PA', 'ABI2', '0'], ['PA', 'HAB1', '0'], ['PA', 'PP2CA', '0'], ['AquaporinPIP2_1', 'ROS', '1'], ['Actin_Reorganization', 'RBOH', '1'], ['ROS', 'Actin_Reorganization', '1'], ['pHc', 'Vacuolar_Acidification', '1'], ['ABI1', 'GEF1_4_10', '1'], ['GHR1', 'CPK3_21', '1'], ['PA', 'Microtubule_Depolymerization', '1']]

# BASE='BoolMoRe/ABA_case_study/baseline_models/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# START_MODEL='BoolMoRe/ABA_case_study/baseline_models/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	325.05034722222223	1	206
1	326.05034722222223	1	201
2	336.55034722222223	2	201
3	352.75034722222216	2	177
4	355.6753472222222	2	196
5	362.73125	3	202
6	362.92857142857144	4	203
7	370.84791666666666	5	210
8	371.34791666666666	3	186
9	372.34791666666666	4	190
10	372.6309523809524	4	178
11	373.64761904761906	5	209
12	373.64761904761906	4	191
13	374.39761904761906	5	209
14	375.39761904761906	4	201
15	375.61984126984134	4	203
16	378.23928571428576	4	183
17	378.23928571428576	4	182
18	379.61428571428576	4	217
19	380.53928571428577	4	199
20	390.45000000000005	5	213
21	391.03333333333336	5	213
22	391.45000000000005	5	219
23	391.53333333333336	5	216
24	392.4166666666667	5	214
25	394.64444444444445	5	205
26	396.53333333333336	4	212
27	398.53333333333336	4	207
28	398.53333333333336	4	207
29	400.64444444444445	4	214
30	400.64444444444445	4	214
31	400.64444444444445	4	209
32	400.64444444444445	3	203
33	400.64444444444445	3	203
34	403.14444444444445	4	204
35	403.14444444444445	3	202
36	403.6444444444444	4	208
37	403.6444444444444	3	208
38	403.6444444444444	3	205
39	404.6444444444444	4	210
40	404.6444444444444	4	208
41	404.6444444444444	4	206
42	405.6444444444444	3	199
43	406.6444444444444	4	197
44	406.6444444444444	4	196
45	406.6444444444444	4	196
46	406.6444444444444	4	196
47	406.6444444444444	4	196
48	407.1444444444444	4	195
49	407.1444444444444	4	194
50	407.3944444444444	4	191
51	407.3944444444444	4	191
52	407.3944444444444	4	183
53	407.3944444444444	4	183
54	407.3944444444444	4	182
55	407.8944444444444	4	191
56	407.8944444444444	4	191
57	407.8944444444444	4	191
58	407.8944444444444	4	190
59	407.8944444444444	4	190
60	407.8944444444444	4	190
61	407.8944444444444	4	189
62	407.8944444444444	4	187
63	407.8944444444444	4	185
64	407.8944444444444	4	185
65	407.8944444444444	4	184
66	407.8944444444444	4	182
67	407.8944444444444	4	182
68	407.8944444444444	4	182
69	407.8944444444444	4	182
70	407.8944444444444	4	179
71	407.8944444444444	4	178
72	407.8944444444444	4	178
73	407.8944444444444	4	178
74	407.8944444444444	4	176
75	407.8944444444444	4	176
76	407.8944444444444	4	173
77	407.8944444444444	4	173
78	407.8944444444444	4	173
79	407.8944444444444	4	168
80	407.8944444444444	4	168
81	407.8944444444444	4	168
82	407.8944444444444	4	168
83	407.8944444444444	4	168
84	407.8944444444444	4	168
85	407.8944444444444	4	168
86	407.8944444444444	4	166
87	408.1444444444444	5	174
88	408.1444444444444	5	174
89	408.1444444444444	4	165
90	408.1444444444444	4	164
91	408.1444444444444	4	163
92	408.1444444444444	4	163
93	408.1444444444444	4	163
94	408.1444444444444	4	162
95	408.1444444444444	4	162
96	408.1444444444444	4	162
97	408.1444444444444	4	162
98	408.1444444444444	4	162
99	408.1444444444444	4	162
100	408.1444444444444	4	162
