# DATA='BoolMoRe/ABA_case_study/data/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': ['Ca2_ATPase', 'Ca2c', 'Closure', 'DAG', 'H2O_Efflux', 'InsP3', 'InsP6', 'NO', 'PtdIns3_5P2', 'PtdIns4_5P2', 'RCARs', 'cADPR', 'cGMP'], 'regulate': {'ABI1': ['RCARs'], 'ABI2': ['RCARs'], 'HAB1': ['RCARs'], 'PP2CA': ['RCARs'], 'K_efflux': ['KEV', 'KOUT'], 'OST1': ['ABI1', 'ABI2'], 'Depolarization': ['AnionEM']}, 'necessary': {'8-nitro-cGMP': ['cGMP'], 'KOUT': ['Depolarization'], 'Malate': ['PEPC', 'AnionEM'], 'ROS': ['NADPH', 'RBOH']}, 'group': {'PA': [['PC', 'PLDalpha'], ['PC', 'PLDdelta'], ['DAG', 'DAGK']], 'S1P_PhytoS1P': [['SPHK1_2', 'Sph']]}, 'possible_constant': []}
# EDGE_POOL=[['Ca2c', 'ABI2', '0'], ['Ca2c', 'HAB1', '0'], ['Ca2c', 'PP2CA', '0'], ['PA', 'ABI2', '0'], ['PA', 'HAB1', '0'], ['PA', 'PP2CA', '0'], ['AquaporinPIP2_1', 'ROS', '1'], ['Actin_Reorganization', 'RBOH', '1'], ['ROS', 'Actin_Reorganization', '1'], ['pHc', 'Vacuolar_Acidification', '1'], ['ABI1', 'GEF1_4_10', '1'], ['GHR1', 'CPK3_21', '1'], ['PA', 'Microtubule_Depolymerization', '1']]

# BASE='BoolMoRe/ABA_case_study/baseline_models/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# START_MODEL='BoolMoRe/ABA_case_study/baseline_models/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	314.92853087957076	0	199
1	320.24992310428075	0	203
2	320.24992310428075	0	194
3	332.6802159730738	0	179
4	332.6802159730738	0	179
5	358.0702253940792	1	219
6	358.0702253940792	1	219
7	358.0702253940792	1	219
8	358.508383527703	4	213
9	361.53113851447137	1	196
10	366.9749035722114	1	191
11	369.5487037037037	5	203
12	369.5487037037037	5	203
13	371.28000000000003	5	220
14	373.19500000000005	5	205
15	375.48	6	219
16	375.48	6	219
17	375.69500000000005	5	213
18	377.19500000000005	5	201
19	377.39500000000004	5	202
20	379.4683333333334	6	211
21	379.4683333333334	5	209
22	380.9683333333334	6	210
23	381.1683333333334	5	198
24	382.9683333333334	6	204
25	383.4183333333334	5	198
26	384.4183333333334	4	189
27	388.01833333333343	6	200
28	388.01833333333343	6	200
29	388.01833333333343	5	193
30	389.31833333333344	5	197
31	390.1183333333334	5	218
32	390.3564285714286	7	214
33	390.3564285714286	6	214
34	390.7964285714286	7	212
35	392.7964285714286	6	217
36	392.7964285714286	6	216
37	392.7964285714286	6	213
38	392.7964285714286	6	213
39	392.7964285714286	6	210
40	392.7964285714286	6	210
41	392.7964285714286	6	205
42	392.7964285714286	6	205
43	392.7964285714286	6	205
44	392.7964285714286	6	203
45	392.7964285714286	6	202
46	392.7964285714286	6	180
47	393.8622222222222	6	202
48	393.8622222222222	6	202
49	393.8622222222222	6	192
50	393.8622222222222	6	189
51	394.5566666666667	6	222
52	394.5566666666667	6	222
53	394.8622222222222	6	223
54	394.8622222222222	6	214
55	394.8622222222222	6	214
56	395.18365079365077	5	213
57	397.43365079365077	6	215
58	407.18222222222226	6	223
59	409.75365079365076	6	210
60	409.75365079365076	6	203
61	409.7936507936508	7	234
62	410.0869841269841	5	207
63	411.2936507936508	7	211
64	411.2936507936508	7	209
65	411.5436507936508	7	206
66	411.5436507936508	7	206
67	411.5436507936508	6	198
68	411.5436507936508	6	198
69	411.5436507936508	6	198
70	412.2936507936508	7	233
71	412.5436507936508	6	225
72	412.5436507936508	6	224
73	412.5436507936508	6	201
74	412.5436507936508	6	200
75	412.99365079365083	6	200
76	412.99365079365083	6	200
77	412.99365079365083	6	197
78	412.99365079365083	6	193
79	412.99365079365083	6	190
80	412.99365079365083	6	188
81	412.99365079365083	6	187
82	412.99365079365083	6	187
83	412.99365079365083	6	185
84	412.99365079365083	6	185
85	412.99365079365083	6	185
86	412.99365079365083	6	184
87	412.99365079365083	6	184
88	412.99365079365083	6	184
89	412.99365079365083	6	183
90	412.99365079365083	6	183
91	412.99365079365083	6	179
92	412.99365079365083	6	178
93	412.99365079365083	6	178
94	412.99365079365083	6	178
95	413.24365079365083	6	180
96	413.24365079365083	6	180
97	413.24365079365083	6	179
98	413.24365079365083	6	179
99	413.24365079365083	6	179
100	413.24365079365083	6	179
