ID	SCORE	FIXES	NODE	VALUE
1	1.0	Emx2=1	Coup_fti	ON
2	1.0	Emx2=1	Fgf8	OFF
3	1.0		Coup_fti	Some
4	1.0		Sp8	Some
5	1.0		Fgf8	Some
6	1.0		Pax6	Some
7	1.0		Emx2	Some
8	1.0	Sp8=1	Coup_fti	OFF
9	1.0	Sp8=1	Fgf8	Some
10	1.0	Sp8=1	Emx2	OFF
11	1.0	Sp8=1	Pax6	ON
12	1.0	Pax6=1	Coup_fti	Some
13	1.0	Pax6=1	Fgf8	Some
14	1.0	Pax6=1	Emx2	OFF
15	1.0	Pax6=1	Sp8	Some
16	1.0	Pax6=0	Coup_fti	Some
17	1.0	Pax6=0	Fgf8	Some
18	1.0	Pax6=0	Emx2	Some
19	1.0	Pax6=0	Sp8	Some
20	1.0	Fgf8=1	Pax6	ON
21	1.0	Fgf8=1	Emx2	OFF
22	1.0	Fgf8=1	Sp8	ON
23	1.0	Emx2=0	Coup_fti	Some
24	1.0	Emx2=0	Sp8	Some
25	1.0	Coup_fti=0	Fgf8	Some
26	1.0	Coup_fti=0	Pax6	Some
27	1.0	Coup_fti=0	Emx2	OFF
28	1.0	Sp8=0	Coup_fti	ON
29	1.0	Sp8=0	Fgf8	OFF
30	1.0	Sp8=0	Pax6	OFF
31	1.0	Fgf8=1,Pax6=1	Sp8	ON
32	1.0	Coup_fti=1,Fgf8=1,Pax6=0	Emx2	OFF
33	1.0	Fgf8=0	Sp8	OFF
34	1.0	Coup_fti=0,Emx2=0	Fgf8	Some
35	1.0	Coup_fti=1	Pax6	OFF
36	1.0	Coup_fti=1	Emx2	Some
37	1.0	Coup_fti=1	Sp8	Some
38	1.0	Pax6=1,Sp8=0	Coup_fti	ON
39	1.0	Emx2=1,Sp8=1	Coup_fti	OFF
40	1.0	Emx2=1,Sp8=1	Pax6	OFF
41	1.0	Coup_fti=0,Pax6=1	Sp8	Some
42	1.0	Coup_fti=0,Emx2=0,Sp8=0	Pax6	OFF
43	1.0	Emx2=1,Pax6=0	Coup_fti	ON
44	1.0	Coup_fti=0,Emx2=1	Fgf8	OFF
45	1.0	Emx2=1,Fgf8=0	Pax6	OFF
46	1.0	Fgf8=0,Sp8=1	Coup_fti	OFF
47	1.0	Fgf8=0,Sp8=1	Pax6	ON
48	1.0	Coup_fti=1,Fgf8=0	Emx2	ON
49	1.0	Emx2=1,Fgf8=0,Sp8=0	Coup_fti	ON
50	1.0	Emx2=0,Sp8=0	Coup_fti	ON
