id	hierarchy	fixes	observed_node	experimental_outcome	predict_value	attractor_agreement	score
1	0	ABA=0,	Closure	OFF	0.0	1.0	1.0
2	1	ABA=1,	Closure	ON	1.0	1.0	1.0
3	1	ABA=0,ROS=1,	Closure	ON	0.0	0.0	0.0
4	1	ABA=0,RBOH=0,	Closure	OFF	0.0	1.0	1.0
5	2	ABA=0,RBOH=0,ROS=1,	Closure	ON	0.0	0.0	0.0
6	1	ABA=0,ROS=0,	Closure	OFF	0.0	1.0	1.0
7	2	ABA=1,ROS=0,	Closure	OFF/Some	1.0	0	0.0
8	2	ABA=1,RBOH=0,	Closure	OFF/Some	1.0	0	0.0
9	3	ABA=1,PLDalpha=0,RBOH=0,	Closure	OFF	0.0	1.0	0.0
10	1	ABA=0,CaIM=1,	Closure	ON	0.5	0.5	0.5
11	1	ABA=0,Ca2c=0,	Closure	OFF	0.0	1.0	1.0
12	2	ABA=1,Ca2c=0,	Closure	OFF/Some	1.0	0	0.0
24	1	ABA=0,SPHK1_2=0,	Closure	OFF	0.0	1.0	1.0
25	2	ABA=1,SPHK1_2=0,	Closure	Some	0.5	1.0	1.0
26	1	ABA=0,SPHK1_2=1,	Closure	OFF	0.0	1.0	1.0
27	2	ABA=1,SPHK1_2=1,	Closure	ON	1.0	1.0	1.0
28	1	ABA=0,ABI1=0,	Closure	OFF	0.0	1.0	1.0
29	2	ABA=1,ABI1=0,	Closure	ON	1.0	1.0	1.0
34	2	ABA=0,ABI1=0,ROS=1,	Closure	ON	0.0	0.0	0.0
35	2	ABA=0,ABI1=0,NO=1,	Closure	ON	0.5	0.5	0.5
36	1	ABA=0,ABI1=1,	Closure	OFF	0.0	1.0	1.0
37	2	ABA=1,ABI1=1,	Closure	OFF	0.0	1.0	1.0
38	2	ABA=0,ABI1=1,ROS=1,	Closure	OFF	0.0	1.0	0.0
48	1	ABA=0,GCR1=0,	Closure	OFF	0.0	1.0	1.0
49	2	ABA=1,GCR1=0,	Closure	ON	1.0	1.0	1.0
52	1	ABA=0,S1P_PhytoS1P=0,	Closure	OFF	0.0	1.0	1.0
53	2	ABA=1,S1P_PhytoS1P=0,	Closure	OFF/Some	0.5	1.0	1.0
54	1	ABA=0,OST1=0,	Closure	OFF	0.0	1.0	1.0
55	2	ABA=1,OST1=0,	Closure	OFF	1.0	0	0.0
56	1	ABA=0,OST1=1,	Closure	OFF	0.0	1.0	1.0
57	2	ABA=1,OST1=1,	Closure	ON	1.0	1.0	1.0
58	1	ABA=0,ERA1=0,	Closure	OFF/Some	0.5	1.0	1.0
59	2	ABA=1,ERA1=0,	Closure	ON	1.0	1.0	1.0
60	1	ABA=0,ABH1=0,	Closure	OFF/Some	0.5	1.0	1.0
61	2	ABA=1,ABH1=0,	Closure	ON	1.0	1.0	1.0
62	1	ABA=0,PLDalpha=0,	Closure	OFF	0.0	1.0	1.0
63	2	ABA=1,PLDalpha=0,	Closure	OFF/Some	0.0	1.0	1.0
64	2	ABA=0,PLDalpha=0,ROS=1,	Closure	ON	0.0	0.0	0.0
68	1	ABA=0,PA=1,	Closure	Some/ON	0.0	0.0	0.0
69	2	ABA=1,PA=1,	Closure	ON	1.0	1.0	0.0
75	2	ABA=0,ABI1=0,PA=1,	Closure	Some/ON	0.0	0.0	0.0
76	2	ABA=0,ABI1=1,PA=1,	Closure	OFF	0.0	1.0	0.0
77	2	ABA=0,PA=1,PLDalpha=0,	Closure	Some/ON	0.0	0.0	0.0
