# DATA='BoolMoRe/ABA_case_study/data/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': ['Ca2_ATPase', 'Ca2c', 'Closure', 'DAG', 'H2O_Efflux', 'InsP3', 'InsP6', 'NO', 'PtdIns3_5P2', 'PtdIns4_5P2', 'RCARs', 'cADPR', 'cGMP'], 'regulate': {'ABI1': ['RCARs'], 'ABI2': ['RCARs'], 'HAB1': ['RCARs'], 'PP2CA': ['RCARs'], 'K_efflux': ['KEV', 'KOUT'], 'OST1': ['ABI1', 'ABI2'], 'Depolarization': ['AnionEM']}, 'necessary': {'8-nitro-cGMP': ['cGMP'], 'KOUT': ['Depolarization'], 'Malate': ['PEPC', 'AnionEM'], 'ROS': ['NADPH', 'RBOH']}, 'group': {'PA': [['PC', 'PLDalpha'], ['PC', 'PLDdelta'], ['DAG', 'DAGK']], 'S1P_PhytoS1P': [['SPHK1_2', 'Sph']]}, 'possible_constant': []}
# EDGE_POOL=[['Ca2c', 'ABI2', '0'], ['Ca2c', 'HAB1', '0'], ['Ca2c', 'PP2CA', '0'], ['PA', 'ABI2', '0'], ['PA', 'HAB1', '0'], ['PA', 'PP2CA', '0'], ['AquaporinPIP2_1', 'ROS', '1'], ['Actin_Reorganization', 'RBOH', '1'], ['ROS', 'Actin_Reorganization', '1'], ['pHc', 'Vacuolar_Acidification', '1'], ['ABI1', 'GEF1_4_10', '1'], ['GHR1', 'CPK3_21', '1'], ['PA', 'Microtubule_Depolymerization', '1']]

# BASE='BoolMoRe/ABA_case_study/baseline_models/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# START_MODEL='BoolMoRe/ABA_case_study/baseline_models/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	318.64690627041983	1	197
1	325.09117427968886	0	198
2	333.59117427968886	1	199
3	334.87133487654324	1	193
4	342.9691700960219	2	193
5	349.45228539079994	1	196
6	357.99916039079994	3	199
7	357.99916039079994	3	199
8	359.99916039079994	2	192
9	367.2824937241333	3	210
10	370.6158270574667	4	201
11	370.6158270574667	4	201
12	370.6158270574667	4	201
13	372.4025034293553	5	201
14	373.60250342935524	5	203
15	374.60250342935524	5	198
16	375.60250342935524	6	204
17	377.8025034293553	6	203
18	377.8025034293553	6	203
19	377.8025034293553	6	203
20	379.8025034293553	6	223
21	379.8025034293553	6	201
22	381.8025034293553	6	197
23	381.8025034293553	6	197
24	383.6025034293553	7	200
25	384.0025034293553	7	204
26	384.3525034293553	7	218
27	384.7525034293553	7	212
28	384.7525034293553	7	211
29	385.0025034293553	7	226
30	385.0025034293553	7	211
31	386.50250342935533	8	223
32	386.50250342935533	7	208
33	386.50250342935533	6	223
34	387.50250342935533	7	215
35	387.50250342935533	6	202
36	387.50250342935533	6	202
37	387.50250342935533	6	193
38	387.50250342935533	6	193
39	389.7274691358025	6	197
40	389.7274691358025	6	191
41	389.7274691358025	6	187
42	389.7274691358025	6	187
43	390.6108024691358	6	193
44	390.6108024691358	6	183
45	390.6108024691358	6	179
46	396.22499999999997	6	203
47	396.22499999999997	6	203
48	396.41666666666663	6	181
49	398.41666666666663	6	206
50	398.5833333333333	5	213
51	399.41666666666663	6	184
52	399.66666666666663	6	213
53	400.41666666666663	6	215
54	400.66666666666663	7	204
55	401.5833333333333	7	205
56	402.5833333333333	7	213
57	402.5833333333333	7	204
58	402.5833333333333	6	205
59	402.8333333333333	7	208
60	402.8333333333333	7	191
61	402.8333333333333	7	191
62	402.8888888888889	8	211
63	403.5555555555556	7	209
64	403.8333333333333	7	204
65	403.8333333333333	7	204
66	403.8333333333333	7	204
67	403.8333333333333	7	204
68	403.8333333333333	7	204
69	403.8333333333333	7	204
70	403.8333333333333	7	204
71	403.8333333333333	7	204
72	403.8333333333333	7	204
73	403.8333333333333	7	204
74	403.8333333333333	7	204
75	403.8333333333333	7	204
76	403.8333333333333	7	204
77	403.8333333333333	7	204
78	403.8333333333333	7	204
79	403.8333333333333	7	204
80	403.8333333333333	7	204
81	405.3333333333333	7	217
82	405.3333333333333	7	217
83	405.3333333333333	7	202
84	405.5	7	214
85	405.5	7	214
86	405.5	7	199
87	405.5	7	198
88	405.5	7	198
89	405.5	7	193
90	405.5	7	193
91	405.5	7	193
92	405.5	7	193
93	405.5	7	193
94	405.5	7	193
95	405.5	7	188
96	405.5	7	188
97	405.5	7	188
98	405.5	7	187
99	405.5	7	181
100	405.5	7	180
