Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
ABL1,ABL2,ambiguous,TGEN,positive,,,,
ABL1,ABL2,ambiguous,MCF7,,,,,
ABL1,ABL2,ambiguous,T47D,,,,,
ABL1,JAK2,ambiguous,TGEN,positive,,,,
ABL1,JAK2,ambiguous,MCF7,,,,,
ABL1,JAK2,ambiguous,T47D,,,,,
ABL1,MYOD1,ambiguous,TGEN,negative,,,,
ABL1,MYOD1,ambiguous,MCF7,,,,,
ABL1,SRC,ambiguous,TGEN,positive,,,,
ABL1,SRC,ambiguous,MCF7,,,,,
ABL1,YAP1,ambiguous,TGEN,positive,,,,
ABL1,YAP1,ambiguous,MCF7,,,,,
ABL1,YAP1,ambiguous,T47D,,,,,
ABL2,CEBPB,ambiguous,TGEN,positive,,,,
ABL2,CEBPB,ambiguous,MCF7,,,,,
ABL2,CEBPB,ambiguous,T47D,,,,,
AKT,AKT,positive,BL,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
AKT,AKT,positive,HL,positive,unsupported,,,AKT functional self-regulation is not supported by experimental evidence
AKT,AKT,positive,BS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
AKT,AKT,positive,HS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
AKT,AKT,positive,SS,positive,unsupported,,,this inferred self-regulation is not supported by experimental evidence
AKT,AKT,positive,SL,positive,unsupported,,,AKT functional self-regulation is not supported by experimental evidence
AKT,BAD,ambiguous,Z17,negative,direct ,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
AKT,BAD,negative,Z21,negative,direct,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
AKT,BAD,ambiguous,TGEN,negative,direct,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
AKT,BAD,ambiguous,MCF7,negative,direct,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
AKT,BAD,ambiguous,T47D,negative,direct,1,regulates,"AKT phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL"
AKT,CASP9,ambiguous,TGEN,,,,,
AKT,CASP9,ambiguous,MCF7,,,,,
AKT,CASP9,ambiguous,T47D,,,,,
AKT,CREB1,ambiguous,TGEN,positive,direct,1,regulates,"AKT directly phosphorylates CREB1 Ser133, which increases CREB transcriptional activity"
AKT,CREB1,ambiguous,MCF7,positive,direct,1,regulates,"AKT directly phosphorylates CREB1 Ser133, which increases CREB transcriptional activity"
AKT,CREB1,ambiguous,T47D,positive,direct,1,regulates,"AKT directly phosphorylates CREB1 Ser133, which increases CREB transcriptional activity"
AKT,CyclinD,positive,BL,positive,indirect,2,,causal effect mediated by GSK3B
AKT,CyclinD,positive,HL,positive,indirect,2,,causal effect mediated by GSK3B
AKT,CyclinD,positive,SL,positive,indirect,2,,causal effect mediated by GSK3B
AKT,ESR1,ambiguous,TGEN,positive,direct,1,regulates,"Activated AKT phosphorylates ERα (ESR1 protein) at Ser167, and this phosphorylation increases ERα transcriptional activity."
AKT,ESR1,ambiguous,MCF7,positive,direct,1,regulates,"Activated AKT phosphorylates ERα (ESR1 protein) at Ser167, and this phosphorylation increases ERα transcriptional activity."
AKT,ESR1,ambiguous,T47D,positive,direct,1,regulates,"Activated AKT can directly phosphorylate ERα (ESR1 protein) at Ser167, and this phosphorylation increases ERα transcriptional activity."
AKT,FAS,ambiguous,TGEN,negative,,,,
AKT,FAS,ambiguous,MCF7,,,,,
AKT,FAS,ambiguous,T47D,,,,,
AKT,FOXO1,ambiguous,TGEN,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO1,ambiguous,MCF7,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO1,ambiguous,T47D,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO1FOXO3,negative,BL,negative ,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
AKT,FOXO1FOXO3,negative,HL,negative ,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
AKT,FOXO1FOXO3,negative,SL,negative ,direct,1,regulates,"FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. The direct effect of AKT on both FOXO1 and FOXO3 translates to a direct effect on FOXO1FOXO3."
AKT,FOXO3,ambiguous,Z17,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO3,negative,Z21,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO3,ambiguous,TGEN,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO3,ambiguous,MCF7,negative,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,FOXO3,ambiguous,T47D,negative ,direct,1,regulates,"AKT phosphorylates FOXO1 at several regulatory residues. These promote binding to 14-3-3 proteins and retention in the cytoplasm, which decreases FOXO1 transcriptional activity"
AKT,GSK3B,ambiguous,TGEN,negative,direct,1,regulates,"AKT directly phosphorylates GSK3β at Ser9, which inhibits GSK3β kinase activity."
AKT,GSK3B,ambiguous,MCF7,negative,direct,1,regulates,"AKT directly phosphorylates GSK3β at Ser9, which inhibits GSK3β kinase activity."
AKT,GSK3B,ambiguous,T47D,negative ,direct,1,regulates,"AKT directly phosphorylates GSK3β at Ser9, which inhibits GSK3β kinase activity."
AKT,HER3,negative,SL,negative ,correlation,3,,This proteomics- inferred edge is supported as an indirect effect via FOXO3
AKT,KMT2D,ambiguous,Z17,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,KMT2D,negative,Z21,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,KMT2D,ambiguous,TGEN,negative,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
