index,BS,HS,SS,BL,HL,SL,Z17,Z21,TGEN,MCF7,T47D,Our notation,Input in merge,Notes
1,erlotinib,erlotinib,erlotinib,erlotinib,erlotinib,erlotinib,,,,,,erlotinib,input,
2,pertuzumab,pertuzumab,pertuzumab,pertuzumab,pertuzumab,pertuzumab,,,,,,pertuzumab,input,
3,trastuzumab,trastuzumab,trastuzumab,trastuzumab,trastuzumab,trastuzumab,,,,,,trastuzumab,input,
4,EGF,EGF,EGF,,,,,,EGF,EGF,EGF,EGF,input,
5,HRG,HRG,HRG,,,,,HER3_microenvironment,NRG1,NRG1,NRG1,NRG1,input,"HRG (heregulin) is an established synonim of NRG1 (neuregulin), the ligand of HER3. The official name is NRG1."
6,,,,stimulus,stimulus,stimulus,,,,,,stimulus,input,"stimuli from the growth medium, assumed to be 1."
7,,,,,,,Alpelisib,Alpelisib,,,,Alpelisib,input,
8,,,,,,,Everolimus,Everolimus,,,,Everolimus,input,
9,,,,,,,Fulvestrant,Fulvestrant,,,,Fulvestrant,input,
10,,,,,,,Ipatasertib,Ipatasertib,,,,Ipatasertib,input,
11,,,,,,,Neratinib,Neratinib,,,,Neratinib,input,
12,,,,,,,Palbociclib,Palbociclib,,,,Palbociclib,input,
13,,,,,,,Trametinib,Trametinib,,,,Trametinib,input,
14,,,,,,,BCL2_T,BCL2_T,,,,BCL2_T,input,Transcript of BCL2
15,,,,,,,BIM_T,BIM_T,,,,BIM_T,input,Transcript of BIM
16,,,,,,,ER,ER,,,,ER,input,Basal estrogen receptor activity
17,,,,,,,HER3_T,HER3_T,,,,HER3_T,input,
18,,,,,,,PDK1,PDK1,,,,PDK1,input,
19,,,,,,,SGK1_T,SGK1_T,,,,SGK1_T,input,
20,,,,,,,,Navitoclax,,,,Navitoclax,input,
21,,,,,,,,S63845,,,,S63845,input,
22,,,,,,,,BCLXL_T,,,,BCLXL_T,input,
23,,,,,,,,p27_T,,,,p27_T,input,
24,,,,,,,,ER_microenvironment,ES,ES,ES,ES,input,presence of estrogen in the microenvironment
25,,,,,,,,MCL1_T,,,,MCL1_T,input,Transcript of MCL1
26,,,,,,,,,DLL_i,DLL_i,DLL_i,DLL,input,
27,,,,,,,,,IGF1,IGF1,IGF1,IGF1,input,
28,,,,,,,,,INS,INS,INS,INS,input,
29,,,,,,,,,PG,PG,PG,PG,input,
30,,,,,,,,,WNT1,WNT1,WNT1,WNT1,input,
31,,,,,,,,,,,,,,
32,,,,,,,IGF1R_T,IGF1R_T,,,,IGF1R_T,constant 1,
33,,,,,,,,IGF1R_T_2,,,,IGF1R_T_2,constant 0,
34,,,,,,,,MYC_T,,,,MYC_T,constant 0,
35,,,,,,,PBX1,PBX1,,,,PBX1,constant 1,
36,,,,,,,,PTEN_T,,,,PTEN_T,constant 1,assumed to be 1
37,,,,,,,,PTEN_T_2,,,,PTEN_T_2,constant 0,assumed to be 0
38,,,,,,,,Rb_T,,,,Rb_T,constant 1,
39,,,,,,,,,,,,,,
40,AKT,AKT,AKT,AKT,AKT,AKT,AKT,AKT,AKT_i,AKT_i,AKT_i,AKT,,
41,ERBB1,ERBB1,ERBB1,ERBB1,ERBB1,ERBB1,,,EGFR,EGFR,EGFR,EGFR,,The official name of ERBB1 is EGFR
42,ERBB2,ERBB2,ERBB2,ERBB2,ERBB2,ERBB2,HER2,HER2,HER2,HER2,HER2,HER2,,ERBB2 and HER2 are the same protein in two different naming systems. HER2 is an input in Z17.
43,ERBB3,ERBB3,ERBB3,ERBB3,ERBB3,ERBB3,HER3,HER3,HER3,HER3,HER3,HER3,,ERBB3 and HER3 are the same protein in two different naming systems
44,ERK1_2,ERK1_2,ERK1_2,ERK1_2,ERK1_2,ERK1_2,,,ERK_i,ERK_i,ERK_i,ERK,,The Z17 and Z21 models don't have ERK because they have a merged MAPK node
45,MEK1_2,MEK1_2,MEK1_2,,,,,,MEK_i,MEK_i,MEK_i,MEK,,The Z17 and Z21 models don't have MEK because they have a merged MAPK node
46,mTOR,mTOR,mTOR,,,,mTORC1,mTORC1,MTORC1_c,MTORC1_c,MTORC1_c,mTORC1,,The generic mTOR node is most consistent with the specific mTORC1 complex based on its interactions.
47,p70S6K,p70S6K,p70S6K,p70S6K,p70S6K,p70S6K,S6K,S6K,S6K1,S6K1,S6K1,S6K,,The current notation of the p70 S6 kinase is S6K
48,PDK1,PDK1,PDK1,,,, PDK1_pm,PDK1_pm,PDPK1,PDPK1,PDPK1,PDK1_pm,,The protein PDK1 is encoded by the gene PDPK1. Its active form is the membrane-localized one.
49,PKCa,PKCa,PKCa,,,,,,,,,PKCa,,
50,PLCg,PLCg,PLCg,,,,,,,,,PLCg,,
51,,,,cJUN,cJUN,cJUN,,,JUN,JUN,JUN,JUN,,JUN is the official gene symbol for cJUN
52,,,,cRAF,cRAF,cRAF,,,RAF1,RAF1,RAF1,RAF1,,RAF1 is the official gene symbol for cRAF
53,,,,CyclinB1,CyclinB1,CyclinB1,,,,,,CyclinB1,,
54,,,,CyclinD1,CyclinD1,CyclinD1,cyclinD,cyclinD,,,,CyclinD1,,
55,,,,FoxO1_3a,FOXO1_3a,FoxO1_3a,,,,,,FOXO1FOXO3,,Refers both to FOXO1 and FOXO3. Other models have  separate FOXO1 and FOXO3 nodes.
56,,,,GSK3a_b,GSKa_b,GSKa_b,,,GSK3B,GSK3B,GSK3B,GSK3B,,The notation GSKa_b was meant to be GSK3a_b
57,,,,p38,p38,p38,,,,,,p38,,
58,,,,p53,p53,p53,,,P53,P53,P53,p53,,
59,,,,PRAS,PRAS,PRAS,PRAS40,PRAS40,,,,PRAS40,,
60,,,,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN,,PTEN is an input in Z17
61,,,,,,,,PTEN_2,,,,PTEN_2,,
62,,,,RB,RB,RB,,,PRB,PRB,PRB,RB,,unphosphorylated RB protein. The Z17 and Z21 models represent the unphosphorylated RB protein as the state 0 of pRB
63,,,,,,,pRb,pRb,,,,pRB,,"phosphorylated RB protein, has the opposite effect as RB"
64,,,,RPS6,RPS6,RPS6,,,,,,RPS6,,
