Regulator,Target,Sign in BBM,Model
AKT,AKT,positive,BL
EGFR,AKT,positive,BL
HER2,AKT,positive,BL
HER3,AKT,positive,BL
PTEN,AKT,negative,BL
CyclinB1,CyclinB1,positive,BL
EGFR,CyclinB1,positive,BL
HER3,CyclinB1,positive,BL
p53,CyclinB1,negative,BL
AKT,CyclinD,positive,BL
CyclinD,CyclinD,positive,BL
ERK,CyclinD,positive,BL
GSK3B,CyclinD,negative,BL
RPS6,CyclinD,positive,BL
EGFR,EGFR,positive,BL
erlotinib,EGFR,negative,BL
pertuzumab,EGFR,negative,BL
stimulus,EGFR,positive,BL
HER2,HER2,positive,BL
erlotinib,HER2,negative,BL
pertuzumab,HER2,negative,BL
stimulus,HER2,positive,BL
trastuzumab,HER2,negative,BL
HER3,HER3,positive,BL
PTEN,HER3,negative,BL
RPS6,HER3,positive,BL
erlotinib,HER3,negative,BL
pertuzumab,HER3,negative,BL
stimulus,HER3,positive,BL
ERK,ERK,positive,BL
RAF1,ERK,positive,BL
AKT,FOXO1FOXO3,negative,BL
FOXO1FOXO3,FOXO1FOXO3,positive,BL
CyclinD,GSK3B,positive,BL
GSK3B,GSK3B,positive,BL
p53,GSK3B,positive,BL
AKT,PRAS40,negative,BL
PRAS40,PRAS40,positive,BL
GSK3B,PTEN,negative,BL
PTEN,PTEN,positive,BL
CyclinD,RB,negative,BL
NFKB,RB,positive,BL
RB,RB,positive,BL
RPS6,RPS6,positive,BL
S6K,RPS6,positive,BL
AKT,TSC2,negative,BL
ERK,TSC2,negative,BL
GSK3B,TSC2,negative,BL
TSC2,TSC2,positive,BL
GSK3B,JUN,negative,BL
JUN,JUN,positive,BL
EGFR,RAF1,positive,BL
HER2,RAF1,positive,BL
ERK,RAF1,negative,BL
RAF1,RAF1,positive,BL
AKT,p38,positive,BL
p38,p38,positive,BL
CyclinB1,p53,positive,BL
PTEN,p53,positive,BL
RB,p53,positive,BL
p38,p53,positive,BL
p53,p53,positive,BL
stimulus,p53,positive,BL
ERK,S6K,positive,BL
NFKB,S6K,negative,BL
PRAS40,S6K,negative,BL
TSC2,S6K,negative,BL
S6K,S6K,positive,BL
AKT,AKT,positive,HL
CyclinB1,AKT,positive,HL
EGFR,AKT,positive,HL
HER2,AKT,positive,HL
HER3,AKT,positive,HL
PTEN,AKT,negative,HL
CyclinB1,CyclinB1,positive,HL
p53,CyclinB1,negative,HL
AKT,CyclinD,positive,HL
CyclinD,CyclinD,positive,HL
ERK,CyclinD,positive,HL
JUN,CyclinD,positive,HL
S6K,CyclinD,positive,HL
EGFR,EGFR,positive,HL
HER3,EGFR,positive,HL
JUN,EGFR,positive,HL
erlotinib,EGFR,negative,HL
pertuzumab,EGFR,negative,HL
stimulus,EGFR,positive,HL
HER2,HER2,positive,HL
erlotinib,HER2,negative,HL
pertuzumab,HER2,negative,HL
stimulus,HER2,positive,HL
trastuzumab,HER2,negative,HL
HER3,HER3,positive,HL
RPS6,HER3,positive,HL
erlotinib,HER3,negative,HL
pertuzumab,HER3,negative,HL
stimulus,HER3,positive,HL
EGFR,ERK,positive,HL
ERK,ERK,positive,HL
RAF1,ERK,positive,HL
AKT,FOXO1FOXO3,negative,HL
FOXO1FOXO3,FOXO1FOXO3,positive,HL
GSK3B,GSK3B,positive,HL
p53,GSK3B,positive,HL
AKT,PRAS40,negative,HL
PRAS40,PRAS40,positive,HL
JUN,PRAS40,positive,HL
GSK3B,PTEN,negative,HL
PTEN,PTEN,positive,HL
RAF1,PTEN,positive,HL
CyclinB1,RB,negative,HL
RB,RB,positive,HL
p53,RB,positive,HL
RPS6,RPS6,positive,HL
S6K,RPS6,positive,HL
AKT,TSC2,negative,HL
ERK,TSC2,negative,HL
GSK3B,TSC2,negative,HL
RB,TSC2,positive,HL
TSC2,TSC2,positive,HL
GSK3B,JUN,negative,HL
JUN,JUN,positive,HL
EGFR,RAF1,positive,HL
HER2,RAF1,positive,HL
ERK,RAF1,negative,HL
RAF1,RAF1,positive,HL
AKT,p38,positive,HL
p38,p38,positive,HL
CyclinB1,p53,positive,HL
RB,p53,positive,HL
p38,p53,positive,HL
p53,p53,positive,HL
ERK,S6K,positive,HL
PRAS40,S6K,negative,HL
TSC2,S6K,negative,HL
S6K,S6K,positive,HL
AKT,AKT,positive,BS
HER3,AKT,positive,BS
PDK1_pm,AKT,positive,BS
mTORC1,AKT,positive,BS
EGF,EGFR,positive,BS
EGFR,EGFR,positive,BS
PLCg,EGFR,positive,BS
erlotinib,EGFR,negative,BS
pertuzumab,EGFR,negative,BS
EGF,HER2,positive,BS
HER2,HER2,positive,BS
HER3,HER2,positive,BS
erlotinib,HER2,negative,BS
pertuzumab,HER2,negative,BS
trastuzumab,HER2,negative,BS
HER3,HER3,positive,BS
NRG1,HER3,positive,BS
erlotinib,HER3,negative,BS
pertuzumab,HER3,negative,BS
EGF,ERK,positive,BS
ERK,ERK,positive,BS
MEK,ERK,positive,BS
pertuzumab,ERK,positive,BS
EGFR,MEK,positive,BS
HER2,MEK,positive,BS
HER3,MEK,positive,BS
MEK,MEK,positive,BS
EGFR,PDK1_pm,positive,BS
HER2,PDK1_pm,positive,BS
HER3,PDK1_pm,positive,BS
MEK,PDK1_pm,positive,BS
