BBM node,Model,Input in original,Our notation,Input in merge
AKT,BL,,AKT,
CyclinB1,BL,,CyclinB1,
CyclinD1,BL,,CyclinD1,
ERBB1,BL,,EGFR,
ERBB2,BL,,HER2,
ERBB3,BL,,HER3,
ERK1_2,BL,,ERK,
FoxO1_3a,BL,,FOXO1FOXO3,
GSK3a_b,BL,,GSK3B,
Nfkb,BL,input,NFKB,
PRAS,BL,,PRAS40,
PTEN,BL,,PTEN,
RB,BL,,RB,
RPS6,BL,,RPS6,
TSC2,BL,,TSC2,
cJUN,BL,,JUN,
cRAF,BL,,RAF1,
erlotinib,BL,input,erlotinib,input
p38,BL,,p38,
p53,BL,,p53,
p70S6K,BL,,S6K,
pertuzumab,BL,input,pertuzumab,input
stimulus,BL,input,stimulus,input
trastuzumab,BL,input,trastuzumab,input
AKT,HL,,AKT,
CyclinB1,HL,,CyclinB1,
CyclinD1,HL,,CyclinD1,
ERBB1,HL,,EGFR,
ERBB2,HL,,HER2,
ERBB3,HL,,HER3,
ERK1_2,HL,,ERK,
FOXO1_3a,HL,,FOXO1FOXO3,
GSKa_b,HL,,GSK3B,
PRAS,HL,,PRAS40,
PTEN,HL,,PTEN,
RB,HL,,RB,
RPS6,HL,,RPS6,
TSC2,HL,,TSC2,
cJUN,HL,,JUN,
cRAF,HL,,RAF1,
erlotinib,HL,input,erlotinib,input
p38,HL,,p38,
p53,HL,,p53,
p70S6K,HL,,S6K,
pertuzumab,HL,input,pertuzumab,input
stimulus,HL,input,stimulus,input
trastuzumab,HL,input,trastuzumab,input
AKT,BS,,AKT,
EGF,BS,input,EGF,input
ERBB1,BS,,EGFR,
ERBB2,BS,,HER2,
ERBB3,BS,,HER3,
ERK1_2,BS,,ERK,
HRG,BS,input,NRG1,input
MEK1_2,BS,,MEK,
PDK1,BS,,PDK1_pm,
PKCa,BS,,PKCa,
PLCg,BS,,PLCg,
erlotinib,BS,input,erlotinib,input
mTOR,BS,,mTORC1,
p70S6K,BS,,S6K,
pertuzumab,BS,input,pertuzumab,input
trastuzumab,BS,input,trastuzumab,input
AKT,HS,,AKT,
EGF,HS,input,EGF,input
ERBB1,HS,,EGFR,
ERBB2,HS,,HER2,
ERBB3,HS,,HER3,
ERK1_2,HS,,ERK,
HRG,HS,input,NRG1,input
MEK1_2,HS,,MEK,
PDK1,HS,,PDK1_pm,
PKCa,HS,,PKCa,
PLCg,HS,,PLCg,
erlotinib,HS,input,erlotinib,input
mTOR,HS,,mTORC1,
p70S6K,HS,,S6K,
pertuzumab,HS,input,pertuzumab,input
trastuzumab,HS,input,trastuzumab,input
AKT,SS,,AKT,
EGF,SS,input,EGF,input
ERBB1,SS,,EGFR,
ERBB2,SS,,HER2,
ERBB3,SS,,HER3,
ERK1_2,SS,,ERK,
HRG,SS,input,NRG1,input
MEK1_2,SS,,MEK,
PDK1,SS,,PDK1_pm,
PKCa,SS,,PKCa,
PLCg,SS,,PLCg,
erlotinib,SS,input,erlotinib,input
mTOR,SS,,mTORC1,
p70S6K,SS,,S6K,
pertuzumab,SS,input,pertuzumab,input
trastuzumab,SS,input,trastuzumab,input
AKT,SL,,AKT,
BAX,SL,,BAX,
CyclinB1,SL,,CyclinB1,
CyclinD1,SL,,CyclinD1,
ERBB1,SL,,EGFR,
ERBB2,SL,,HER2,
ERBB3,SL,,HER3,
ERK1_2,SL,,ERK,
FoxO1_3a,SL,,FOXO1FOXO3,
GSKa_b,SL,,GSK3B,
Nfkb,SL,,NFKB,
PRAS,SL,,PRAS40,
PTEN,SL,,PTEN,
RB,SL,,RB,
RPS6,SL,,RPS6,
TSC2,SL,,TSC2,
cJUN,SL,,JUN,
cRAF,SL,,RAF1,
erlotinib,SL,input,erlotinib,input
p38,SL,,p38,
p53,SL,,p53,
p70S6K,SL,,S6K,
pertuzumab,SL,input,pertuzumab,input
stimulus,SL,input,stimulus,input
trastuzumab,SL,input,trastuzumab,input
AKT,Z17,,AKT,
Alpelisib,Z17,input,Alpelisib,input
Apoptosis,Z17,,Apoptosis,
Apoptosis_2,Z17,,Apoptosis_2,
Apoptosis_3,Z17,,Apoptosis_3,
BAD,Z17,,BAD,
BCL2,Z17,,BCL2,
BCL2_T,Z17,input,BCL2_T,input
BIM,Z17,,BIM,
BIM_T,Z17,input,BIM_T,input
CDK46,Z17,,CDK46,
E2F,Z17,,E2F,
E2F_2,Z17,,E2F_2,
E2F_3,Z17,,E2F_3,
EIF4F,Z17,,EIF4,
ER,Z17,input,ER,input
ER_transcription,Z17,,ER_transcription,
ER_transcription_2,Z17,,ER_transcription_2,
ESR1,Z17,,ESR1,
ESR1_2,Z17,,ESR1_2,
Everolimus,Z17,input,Everolimus,input
FOXA1,Z17,,FOXA1,
FOXO3,Z17,,FOXO3,
FOXO3_Ub,Z17,,FOXO3_Ub,
Fulvestrant,Z17,input,Fulvestrant,input
HER2,Z17,input,HER2,
HER2_3,Z17,,HER2HER3c,
HER2_3_2,Z17,,HER2HER3c_2,
HER3,Z17,,HER3,
HER3_2,Z17,,HER3_2,
HER3_T,Z17,input,HER3_T,input
IGF1R,Z17,,IGF1R,
IGF1R_2,Z17,,IGF1R_2,
IGF1R_T,Z17,input,IGF1R_T,constant 1
Ipatasertib,Z17,input,Ipatasertib,input
KMT2D,Z17,,KMT2D,
MAPK,Z17,,MAPK,
MAPK_2,Z17,,MAPK_2,
MCL1,Z17,,MCL1,
MYC,Z17,,MYC,
MYC_2,Z17,,MYC_2,
Neratinib,Z17,input,Neratinib,input
PBX1,Z17,input,PBX1,constant 1
PDK1,Z17,input,PDK1,input
PDK1_pm,Z17,,PDK1_pm,
PI3K,Z17,,PI3K,
PI3K_2,Z17,,PI3K_2,
PIM,Z17,input,PIM,
PIP3,Z17,,PIP3,
PIP3_2,Z17,,PIP3_2,
PRAS40,Z17,,PRAS40,
PTEN,Z17,input,PTEN,
Palbociclib,Z17,input,Palbociclib,input
Proliferation,Z17,,Proliferation,
Proliferation_2,Z17,,Proliferation_2,
Proliferation_3,Z17,,Proliferation_3,
Proliferation_4,Z17,,Proliferation_4,
RAS,Z17,,RAS,
RAS_2,Z17,,RAS_2,
RAS_3,Z17,,RAS_3,
S6K,Z17,,S6K,
SGK1,Z17,,SGK1,
SGK1_T,Z17,input,SGK1_T,input
TSC,Z17,,TSC2,
Trametinib,Z17,input,Trametinib,input
Translation,Z17,,Translation,
cycD_CDK46,Z17,,CYCLINDc,
cycD_CDK46_2,Z17,,CYCLINDc_2,
cycE_CDK2,Z17,,cycE_CDK2,
cycE_CDK2_T,Z17,,cycE_CDK2T,
cyclinD,Z17,,CyclinD1,
cyclinD_2,Z17,,CyclinD_2,
mTORC1,Z17,,mTORC1,
mTORC2,Z17,,mTORC2,
mTORC2_pm,Z17,,mTORC2_pm,
p21_p27,Z17,,p21_p27,
p21_p27_T,Z17,,p21_p27_T,
pRb,Z17,,pRB,
pRb_2,Z17,,pRB_2,
pRb_3,Z17,,pRB_3,
AKT,Z21,,AKT,
Alpelisib,Z21,input,Alpelisib,input
Apoptosis,Z21,,Apoptosis,
Apoptosis_2,Z21,,Apoptosis_2,
Apoptosis_3,Z21,,Apoptosis_3,
BAD,Z21,,BAD,
BCL2,Z21,,BCL2,
BCL2_T,Z21,input,BCL2_T,input
BCLXL,Z21,,BCLXL,
BCLXL_T,Z21,input,BCLXL_T,input
BIM,Z21,,BIM,
BIM_T,Z21,input,BIM_T,input
CDK46,Z21,,CDK46,
E2F,Z21,,E2F,
E2F_2,Z21,,E2F_2,
EIF4F,Z21,,EIF4,
ER,Z21,input,ER,input
ER_microenvironment,Z21,input,ES,input
ER_transcription,Z21,,ER_transcription,
ER_transcription_2,Z21,,ER_transcription_2,
ER_transcription_feedback_1,Z21,,ER_transcription_feedback_1,
ER_transcription_feedback_2,Z21,,ER_transcription_feedback_2,
ESR1,Z21,,ESR1,
ESR1_2,Z21,,ESR1_2,
Everolimus,Z21,input,Everolimus,input
FOXA1,Z21,input,FOXA1,
FOXO3,Z21,,FOXO3,
FOXO3_Ub,Z21,,FOXO3_Ub,
Fulvestrant,Z21,input,Fulvestrant,input
HER2,Z21,input,HER2,
HER2_3,Z21,,HER2HER3c,
HER2_3_2,Z21,,HER2HER3c_2,
HER3,Z21,,HER3,
HER3_2,Z21,,HER3_2,
HER3_T,Z21,input,HER3_T,input
HER3_microenvironment,Z21,input,NRG1,input
IGF1R,Z21,,IGF1R,
IGF1R_2,Z21,,IGF1R_2,
