ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	Food=1, oxidative_stress=0		lipl-3_high	OFF
2	1.0	Food=0, oxidative_stress=0		lipl-3_high	ON
3	1.0	Food=1, oxidative_stress=1		lipl-3_high	ON
4	1.0	Food=1, oxidative_stress=0	hlh-30_basal KO	lipl-3_high	OFF
5	1.0	Food=0, oxidative_stress=0	hlh-30_basal KO	lipl-3_high	OFF
6	1.0	Food=1, oxidative_stress=1	hlh-30_basal KO	lipl-3_high	ON
7	1.0	Food=1, oxidative_stress=0	DAF-16_basal KO	lipl-3_high	ON
8	1.0	Food=0, oxidative_stress=0	DAF-16_basal KO	lipl-3_high	ON
9	1.0	Food=1, oxidative_stress=1	DAF-16_basal KO	lipl-3_high	OFF
10	1.0	Food=1, oxidative_stress=0	HSF-1_basal KO	lipl-3_high	OFF
11	1.0	Food=0, oxidative_stress=0	HSF-1_basal KO	lipl-3_high	ON
12	1.0	Food=1, oxidative_stress=0	HSF-1_basal CA, HSF-1_high CA	lipl-3_high	ON
13	1.0	Food=1, oxidative_stress=0	DAF-16_basal CA, DAF-16_high CA	lipl-3_high	ON
14	1.0	Food=1, oxidative_stress=0	mTORC1_basal KO	lipl-3_high	ON
15	1.0	Food=1, oxidative_stress=1	HSF-1_basal KO	lipl-3_high	OFF
16	1.0	Food=1, oxidative_stress=0	DAF-2 KO	lipl-3_high	ON
17	1.0	Food=1, oxidative_stress=0	GLP-1 KO	lipl-3_high	ON
18	1.0	Food=1, oxidative_stress=0	mxl-3_basal KO	lipl-3_high	ON
19	1.0	Food=1, oxidative_stress=0	hlh-30_basal KO, mTORC1_basal KO	lipl-3_high	OFF
20	1.0	Food=1, oxidative_stress=0	hlh-30_basal KO, DAF-16_basal KO	lipl-3_high	OFF
21	1.0	Food=0, oxidative_stress=0	hlh-30_basal KO, DAF-16_basal KO	lipl-3_high	OFF
22	1.0	Food=1, oxidative_stress=0	mTORC1_basal KO, DAF-16_basal KO	lipl-3_high	ON
23	1.0	Food=1, oxidative_stress=0	hlh-30_basal KO, GLP-1 KO	lipl-3_high	ON
24	1.0	Food=1, oxidative_stress=0	hlh-30_basal KO, mxl-3_basal KO	lipl-3_high	OFF
25	1.0	Food=1, oxidative_stress=0	DAF-2 KO, DAF-16_basal KO	lipl-3_high	OFF
26	1.0	Food=1, oxidative_stress=0	DAF-2 KO, hlh-30_basal KO	lipl-3_high	ON
27	1.0	Food=1, oxidative_stress=0	DAF-2 KO, HSF-1_basal KO	lipl-3_high	OFF
28	1.0	Food=1, oxidative_stress=0	GLP-1 KO, DAF-16_basal KO	lipl-3_high	ON
29	1.0	Food=1, oxidative_stress=0	DAF-16_basal CA, DAF-16_high CA, HSF-1_basal KO	lipl-3_high	OFF
