id	hierarchy	fixes	observed_node	experimental_outcome	predict_value	attractor_agreement	score
1	0	Food=1,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
2	1	Food=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
3	1	Food=1,oxidative_stress=1,	lipl-3_high	ON	1.0	1.0	1.0
4	1	Food=1,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
5	2	Food=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
6	2	Food=1,hlh-30_basal=0,oxidative_stress=1,	lipl-3_high	ON	1.0	1.0	1.0
7	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
8	2	DAF-16_basal=0,Food=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
9	2	DAF-16_basal=0,Food=1,oxidative_stress=1,	lipl-3_high	OFF	0.0	1.0	1.0
10	1	Food=1,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
11	2	Food=0,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
12	2	Food=1,HSF-1_basal=1,HSF-1_high=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
13	2	DAF-16_basal=1,DAF-16_high=1,Food=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
14	1	Food=1,mTORC1_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
15	2	Food=1,HSF-1_basal=0,oxidative_stress=1,	lipl-3_high	OFF	0.0	1.0	1.0
16	1	DAF-2=0,Food=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
17	1	Food=1,GLP-1=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
18	1	Food=1,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
19	2	Food=1,hlh-30_basal=0,mTORC1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
20	2	DAF-16_basal=0,Food=1,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
21	3	DAF-16_basal=0,Food=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
22	2	DAF-16_basal=0,Food=1,mTORC1_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
23	2	Food=1,GLP-1=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
24	2	Food=1,hlh-30_basal=0,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
25	2	DAF-16_basal=0,DAF-2=0,Food=1,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
26	2	DAF-2=0,Food=1,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
27	2	DAF-2=0,Food=1,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
28	2	DAF-16_basal=0,Food=1,GLP-1=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	1.0
29	3	DAF-16_basal=1,DAF-16_high=1,Food=1,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
30	2	Food=1,GLP-1=0,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
31	3	Food=0,HSF-1_basal=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	1.0
32	3	Food=1,HSF-1_basal=0,hlh-30_basal=0,oxidative_stress=1,	lipl-3_high	OFF	0.0	1.0	1.0
33	2	Food=1,HSF-1_basal=0,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	ON	0.0	0.0	0.0
34	3	Food=1,HSF-1_basal=0,hlh-30_basal=0,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.0
35	0	Food=1,oxidative_stress=0,	hlh-30_basal	ON	1.0	1.0	0.5
79	1	Food=1,mxl-3_basal=0,oxidative_stress=0,	hlh-30_basal	ON	1.0	1.0	0.5
36	0	Food=1,oxidative_stress=0,	hlh-30_high	OFF	0.0	1.0	0.5
37	1	Food=0,oxidative_stress=0,	hlh-30_high	ON	1.0	1.0	1.0
