id	hierarchy	fixes	observed_node	experimental_outcome	predict_value	attractor_agreement	score
1	0	Food=1,oxidative_stress=0,	lipl-3_high	OFF	0.5	0.5	0.5
2	1	Food=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
3	1	Food=1,oxidative_stress=1,	lipl-3_high	ON	1.0	1.0	0.5
4	1	Food=1,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.5
5	2	Food=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.5
6	2	Food=1,hlh-30_basal=0,oxidative_stress=1,	lipl-3_high	ON	1.0	1.0	0.5
7	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
8	2	DAF-16_basal=0,Food=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
9	2	DAF-16_basal=0,Food=1,oxidative_stress=1,	lipl-3_high	OFF	0.0	1.0	0.5
10	1	Food=1,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	1.0	0	0.0
11	2	Food=0,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.0
12	2	Food=1,HSF-1_basal=1,HSF-1_high=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
13	2	DAF-16_basal=1,DAF-16_high=1,Food=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
14	1	Food=1,mTORC1_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
15	2	Food=1,HSF-1_basal=0,oxidative_stress=1,	lipl-3_high	OFF	0.0	1.0	0.0
16	1	DAF-2=0,Food=1,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
17	1	Food=1,GLP-1=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
18	1	Food=1,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
19	2	Food=1,hlh-30_basal=0,mTORC1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.5
20	2	DAF-16_basal=0,Food=1,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.5
21	3	DAF-16_basal=0,Food=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.5
22	2	DAF-16_basal=0,Food=1,mTORC1_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
23	2	Food=1,GLP-1=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	ON	0.5	0.5	0.25
24	2	Food=1,hlh-30_basal=0,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.5
25	2	DAF-16_basal=0,DAF-2=0,Food=1,oxidative_stress=0,	lipl-3_high	OFF	1.0	0	0.0
26	2	DAF-2=0,Food=1,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
27	2	DAF-2=0,Food=1,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	1.0	0	0.0
28	2	DAF-16_basal=0,Food=1,GLP-1=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.5
29	3	DAF-16_basal=1,DAF-16_high=1,Food=1,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	1.0	0	0.0
30	2	Food=1,GLP-1=0,HSF-1_basal=0,oxidative_stress=0,	lipl-3_high	OFF	1.0	0	0.0
31	3	Food=0,HSF-1_basal=0,hlh-30_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.0
32	3	Food=1,HSF-1_basal=0,hlh-30_basal=0,oxidative_stress=1,	lipl-3_high	OFF	0.0	1.0	0.0
33	2	Food=1,HSF-1_basal=0,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	ON	1.0	1.0	0.0
34	3	Food=1,HSF-1_basal=0,hlh-30_basal=0,mxl-3_basal=0,oxidative_stress=0,	lipl-3_high	OFF	0.0	1.0	0.0
35	0	Food=1,oxidative_stress=0,	hlh-30_basal	ON	1.0	1.0	0.5
79	1	Food=1,mxl-3_basal=0,oxidative_stress=0,	hlh-30_basal	ON	1.0	1.0	0.5
36	0	Food=1,oxidative_stress=0,	hlh-30_high	OFF	0.5	0.5	0.25
37	1	Food=0,oxidative_stress=0,	hlh-30_high	ON	1.0	1.0	0.5
74	1	DAF-16_basal=0,Food=1,oxidative_stress=0,	hlh-30_high	ON	1.0	1.0	0.5
75	2	DAF-16_basal=0,Food=0,oxidative_stress=0,	hlh-30_high	ON	1.0	1.0	0.5
76	1	Food=1,HSF-1_basal=0,oxidative_stress=0,	hlh-30_high	ON	1.0	1.0	0.5
77	2	Food=1,HSF-1_basal=0,oxidative_stress=1,	hlh-30_high	ON	1.0	1.0	0.5
