# DATA='boolmore/ABA_case_study/data/data_20230925.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': ['Ca2_ATPase', 'Ca2c', 'Closure', 'DAG', 'H2O_Efflux', 'InsP3', 'InsP6', 'NO', 'PtdIns3_5P2', 'PtdIns4_5P2', 'RCARs', 'cADPR', 'cGMP'], 'regulate': {'ABI1': ['RCARs'], 'ABI2': ['RCARs'], 'HAB1': ['RCARs'], 'PP2CA': ['RCARs'], 'K_efflux': ['KEV', 'KOUT'], 'OST1': ['ABI1', 'ABI2'], 'Depolarization': ['AnionEM']}, 'necessary': {'8-nitro-cGMP': ['cGMP'], 'KOUT': ['Depolarization'], 'Malate': ['PEPC', 'AnionEM'], 'ROS': ['NADPH', 'RBOH']}, 'group': {'PA': [['PC', 'PLDalpha'], ['PC', 'PLDdelta'], ['DAG', 'DAGK']], 'S1P_PhytoS1P': [['SPHK1_2', 'Sph']]}, 'possible_constant': []}
# EDGE_POOL=[['Ca2c', 'ABI2', '0'], ['Ca2c', 'HAB1', '0'], ['Ca2c', 'PP2CA', '0'], ['PA', 'ABI2', '0'], ['PA', 'HAB1', '0'], ['PA', 'PP2CA', '0'], ['AquaporinPIP2_1', 'ROS', '1'], ['Actin_Reorganization', 'RBOH', '1'], ['ROS', 'Actin_Reorganization', '1'], ['pHc', 'Vacuolar_Acidification', '1'], ['ABI1', 'GEF1_4_10', '1'], ['GHR1', 'CPK3_21', '1'], ['PA', 'Microtubule_Depolymerization', '1']]

# BASE='boolmore/ABA_case_study/baseline_models/ABA_GA_base_A.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# START_MODEL='boolmore/ABA_case_study/baseline_models/ABA_GA_base_A.txt'
iteration	top score	extra edges	complexity
0	334.2808226358934	0	186
1	334.2808226358934	0	186
2	342.1102316134066	0	207
3	344.39541039079995	0	198
4	346.9787437241332	0	200
5	347.5091205022955	0	197
6	347.51924725651577	0	190
7	354.8115363404256	0	201
8	361.2604475308642	0	188
9	368.26924725651577	0	191
10	370.26924725651577	0	185
11	370.39969444444444	0	195
12	372.26924725651577	0	191
13	373.9976423182442	0	175
14	375.39969444444444	0	203
15	375.44969444444445	0	208
16	376.8396944444445	0	188
17	377.1396944444445	0	187
18	378.6396944444445	0	203
19	379.1396944444445	0	208
20	379.6396944444445	0	198
21	379.6396944444445	0	198
22	382.1396944444445	0	205
23	382.6396944444445	0	200
24	383.6396944444445	0	217
25	384.6396944444445	0	209
26	384.6396944444445	0	209
27	384.6396944444445	0	207
28	386.1396944444445	0	191
29	386.6396944444445	0	212
30	386.6396944444445	0	206
31	386.6396944444445	0	206
32	386.6396944444445	0	194
33	386.6396944444445	0	193
34	386.6396944444445	0	186
35	386.6396944444445	0	185
36	386.6396944444445	0	182
37	386.6396944444445	0	177
38	386.6396944444445	0	167
39	386.6396944444445	0	163
40	386.6396944444445	0	158
41	386.6396944444445	0	155
42	386.6396944444445	0	154
43	387.6396944444445	0	167
44	387.6396944444445	0	155
45	388.6396944444445	0	158
46	389.6396944444445	0	158
47	389.6396944444445	0	158
48	390.1396944444445	0	159
49	390.1396944444445	0	159
50	390.1396944444445	0	159
51	390.1396944444445	0	156
52	390.1396944444445	0	153
53	390.1396944444445	0	148
54	390.1396944444445	0	148
55	390.1396944444445	0	148
56	390.1396944444445	0	146
57	390.1396944444445	0	146
58	390.1396944444445	0	144
59	390.1396944444445	0	144
60	390.1396944444445	0	144
61	390.1396944444445	0	144
62	390.1396944444445	0	143
63	390.1396944444445	0	143
64	390.5556944444445	0	144
65	390.5556944444445	0	144
66	390.5556944444445	0	142
67	390.5556944444445	0	142
68	390.5556944444445	0	142
69	390.5556944444445	0	142
70	390.5556944444445	0	142
71	390.5556944444445	0	141
72	390.5556944444445	0	141
73	390.5556944444445	0	140
74	390.5556944444445	0	140
75	390.5556944444445	0	140
76	390.5556944444445	0	140
77	390.5556944444445	0	140
78	390.5556944444445	0	137
79	390.5556944444445	0	137
80	390.8056944444445	0	141
81	390.8056944444445	0	141
82	390.8056944444445	0	138
83	390.8056944444445	0	138
84	390.8056944444445	0	138
85	390.8056944444445	0	138
86	390.8056944444445	0	138
87	390.8056944444445	0	138
88	390.8056944444445	0	138
89	390.8056944444445	0	138
90	390.8056944444445	0	138
91	390.8056944444445	0	138
92	390.8056944444445	0	138
93	390.8056944444445	0	138
94	390.8056944444445	0	138
95	390.8056944444445	0	138
96	390.8056944444445	0	138
97	390.8056944444445	0	138
98	390.8056944444445	0	137
99	390.8056944444445	0	137
100	390.8056944444445	0	137
