# DATA: /home/kyuhyongpark/Boolmore/boolmore/case_study/T_cell/N10/N10_data.csv
# DEFAULT_SOURCES={}
# CONSTRAINTS={'fixed': [], 'regulate': {'CD28': ['APC'], 'FOXP3': ['NFAT', 'RORGT', 'SMAD3', 'STAT5'], 'GATA3': ['STAT6'], 'IFGNR': ['IFNG_e'], 'IFNBR': ['IFNB_e'], 'IFNG': ['RUNX3', 'TBET'], 'IFNGR': ['IFNG', 'IFNG_e'], 'IKB': ['TCR'], 'IL10R': ['IL10', 'IL10_e'], 'IL12R': ['IL12RB2', 'IL12_e'], 'IL15R': ['IL15_e'], 'IL17': ['STAT3', 'STAT5'], 'IL2': ['NFKB'], 'IL21': ['STAT3'], 'IL21R': ['IL21', 'IL21_e'], 'IL23': ['STAT3'], 'IL23R': ['IL23', 'IL23_e', 'RORGT', 'STAT3'], 'IL27R': ['IL27_e'], 'IL2R': ['IL2', 'IL2_e'], 'IL2RA': ['FOXP3', 'NFAT', 'NFKB', 'STAT5'], 'IL4': ['GATA3', 'NFAT', 'RUNX3', 'TBET'], 'IL4R': ['IL4', 'IL4_e'], 'IL6R': ['IL6_e'], 'NFAT': ['CD28', 'TCR'], 'NFKB': ['FOXP3', 'IKB'], 'RORGT': ['STAT3'], 'STAT1': ['IFNBR', 'IFNGR', 'IL27R'], 'STAT3': ['IL10R', 'IL23R', 'IL27R', 'IL6R'], 'STAT5': ['IL2R'], 'TBET': ['STAT1', 'TBET'], 'TGFBR': ['TGFB', 'TGFB_e']}, 'necessary': {'IL17': ['RORGT'], 'IL2': ['NFAT'], 'IL2R_2': ['IL2R'], 'IL4R_2': ['IL4R'], 'STAT5_2': ['STAT5'], 'TCR': ['APC']}, 'group': {}, 'possible_constant': []}
# EDGE_POOL=[]

# TOTAL_ITERATIONS=100
# PER_ITERATION=100
# KEEP=20
# MIX=20
# PROB=0.01
# EDGE_PROB=0.0
# ORDER_BY=['n_self_edges', 'n_edges', 'n_prime_implicants']

# stop_if_max=False
# core=3
# seed=0

# BASE: /home/kyuhyongpark/Boolmore/boolmore/case_study/T_cell/target_models/N10_BBM155.bnet
# extra edges: []
# score: 18.0 / 19.0 (94.73684210526315%)
# targets,	factors
# APC,            APC
# CD28,           APC
# FOXP3,          NFAT&SMAD3&!STAT1&!STAT3&STAT5 | NFAT&!RORGT&SMAD3&!STAT1&STAT5 | FOXP3&NFAT&STAT5
# GATA3,          STAT6&!TBET | GATA3&!TBET
# IFNBR,          IFNB_e
# IFNB_e,         IFNB_e
# IFNG,           !FOXP3&NFAT&RUNX3&!STAT3&TBET&proliferation | !FOXP3&NFAT&!STAT3&STAT4&proliferation
# IFNGR,          IFNG_e | IFNG
# IFNG_e,         IFNG_e
# IKB,            !TCR
# IL10,           NFAT&STAT3&proliferation | GATA3&NFAT&proliferation
# IL10R,          IL10_e | IL10
# IL10_e,         IL10_e
# IL12R,          IL12RB1_2&IL12RB2&IL12_e
# IL12RB1_2,      IRF1
# IL12RB2,        !STAT6
# IL12_e,         IL12_e
# IL15R,          IL15_e
# IL15_e,         IL15_e
# IL17,           !FOXP3&NFAT&NFKB&RORGT&!STAT1&STAT3&!STAT5&!STAT6&proliferation
# IL2,            !FOXP3&NFAT&!STAT6&!TBET | !FOXP3&NFAT&!STAT5&!TBET | !FOXP3&NFAT&NFKB&!STAT6 | !FOXP3&NFAT&NFKB&!STAT5 | NFKB&!STAT6&!TBET | NFKB&!STAT5&!TBET
# IL21,           NFAT&STAT3&proliferation
# IL21R,          IL21_e | IL21
# IL21_e,         IL21_e
# IL23,           NFAT&STAT3&proliferation
# IL23R,          IL23_e&RORGT&STAT3 | IL23&RORGT&STAT3
# IL23_e,         IL23_e
# IL27R,          IL27_e
# IL27_e,         IL27_e
# IL2R,           IL2R&IL2R_2 | IL2_e | IL2
# IL2RA,          NFAT&STAT5 | NFAT&SMAD3 | NFAT&NFKB | FOXP3&NFAT
# IL2R_2,         IL2R&IL2RA&IL2_e | IL2&IL2R&IL2RA
# IL2_e,          IL2_e
# IL4,            !FOXP3&GATA3&!IRF1&NFAT&!TBET&proliferation | !FOXP3&GATA3&!IRF1&NFAT&!RUNX3&proliferation
# IL4R,           IL4R&IL4R_2 | IL4_e | IL4
# IL4RA_2,        STAT5&STAT5_2
# IL4R_2,         IL4R&IL4RA_2&IL4_e | IL4&IL4R&IL4RA_2
# IL4_e,          IL4_e
# IL6R,           IL6_e
# IL6_e,          IL6_e
# IRF1,           STAT1
# NFAT,           CD28&TCR
# NFKB,           !FOXP3&!IKB
# RORGT,          STAT3&TGFBR | RORGT&TGFBR | RORGT&STAT3
# RUNX3,          TBET
# SMAD3,          TGFBR
# STAT1,          IL27R | IFNGR | IFNBR
# STAT3,          IL6R | IL27R | IL23R | IL21R | IL10R
# STAT4,          !GATA3&IL12R
# STAT5,          STAT5&STAT5_2 | IL4R | IL2R | IL15R
# STAT5_2,        IL4R&IL4R_2&STAT5 | IL2R&IL2R_2&STAT5
# STAT6,          IL4R
# TBET,           !GATA3&TBET | !GATA3&STAT1
# TCR,            APC
# TGFB,           FOXP3&NFAT&proliferation
# TGFBR,          TGFB_e | TGFB
# TGFB_e,         TGFB_e
# proliferation,  STAT5&STAT5_2 | proliferation
# 


# START MODEL: /home/kyuhyongpark/Boolmore/boolmore/case_study/T_cell/target_models/N10_BBM155.bnet

# start_time=datetime.datetime(2026, 6, 17, 13, 59, 5, 956963)
# end_time=datetime.datetime(2026, 6, 17, 14, 12, 50, 243323)
# elapsed time: 0:13:44.286360

iteration,top score,extra edges,n_edges,n_self_edges,n_prime_implicants,best_model
1,19.0,"[]",146,21,208,"27_gen1"
2,19.0,"[]",143,21,187,"195_gen3"
3,19.0,"[]",144,20,203,"295_gen5"
4,19.0,"[]",141,20,224,"393_gen7"
5,19.0,"[]",141,19,207,"467_gen7"
6,19.0,"[]",141,18,208,"507_gen8"
7,19.0,"[]",140,18,209,"638_gen10"
8,19.0,"[]",137,18,188,"776_gen13"
9,19.0,"[]",136,18,192,"835_gen13"
10,19.0,"[]",133,18,225,"958_gen17"
11,19.0,"[]",133,18,196,"1029_gen16"
12,19.0,"[]",131,18,185,"1104_gen20"
13,19.0,"[]",130,17,229,"1225_gen22"
14,19.0,"[]",129,17,226,"1306_gen23"
15,19.0,"[]",128,17,187,"1464_gen26"
16,19.0,"[]",128,16,228,"1513_gen27"
17,19.0,"[]",127,16,224,"1608_gen27"
18,19.0,"[]",125,16,186,"1715_gen30"
19,19.0,"[]",124,16,177,"1819_gen31"
20,19.0,"[]",124,16,177,"1819_gen31"
21,19.0,"[]",122,16,169,"2024_gen34"
22,19.0,"[]",122,16,167,"2196_gen35"
23,19.0,"[]",121,16,176,"2217_gen36"
24,19.0,"[]",120,16,178,"2320_gen37"
25,19.0,"[]",120,16,169,"2411_gen39"
26,19.0,"[]",118,16,168,"2550_gen41"
27,19.0,"[]",117,16,168,"2614_gen42"
28,19.0,"[]",117,16,165,"2800_gen45"
29,19.0,"[]",116,16,159,"2858_gen45"
30,19.0,"[]",116,16,159,"2858_gen45"
31,19.0,"[]",114,16,162,"3018_gen47"
32,19.0,"[]",114,16,162,"3018_gen47"
33,19.0,"[]",114,16,156,"3207_gen49"
34,19.0,"[]",114,16,150,"3302_gen52"
35,19.0,"[]",113,16,161,"3413_gen51"
36,19.0,"[]",113,16,152,"3547_gen53"
37,19.0,"[]",113,16,144,"3615_gen54"
38,19.0,"[]",113,16,144,"3615_gen54"
39,19.0,"[]",112,16,143,"3815_gen57"
40,19.0,"[]",112,16,143,"3815_gen57"
41,19.0,"[]",112,16,143,"3815_gen57"
42,19.0,"[]",112,16,143,"3815_gen57"
43,19.0,"[]",112,16,143,"3815_gen57"
44,19.0,"[]",112,16,143,"3815_gen57"
45,19.0,"[]",112,16,143,"3815_gen57"
46,19.0,"[]",112,16,143,"3815_gen57"
47,19.0,"[]",112,16,143,"3815_gen57"
48,19.0,"[]",112,16,143,"3815_gen57"
49,19.0,"[]",112,16,142,"4896_gen60"
50,19.0,"[]",112,16,140,"4915_gen61"
51,19.0,"[]",112,16,140,"4915_gen61"
52,19.0,"[]",112,16,139,"5103_gen64"
53,19.0,"[]",112,16,138,"5212_gen64"
54,19.0,"[]",112,16,138,"5212_gen64"
55,19.0,"[]",112,16,137,"5421_gen65"
56,19.0,"[]",112,16,137,"5421_gen65"
57,19.0,"[]",112,16,137,"5421_gen65"
58,19.0,"[]",112,16,136,"5734_gen68"
59,19.0,"[]",112,16,136,"5734_gen68"
60,19.0,"[]",112,16,135,"5904_gen69"
61,19.0,"[]",112,16,135,"5904_gen69"
62,19.0,"[]",112,16,135,"5904_gen69"
63,19.0,"[]",112,16,135,"5904_gen69"
64,19.0,"[]",112,16,135,"5904_gen69"
65,19.0,"[]",112,16,135,"5904_gen69"
66,19.0,"[]",112,16,135,"5904_gen69"
67,19.0,"[]",112,16,135,"5904_gen69"
68,19.0,"[]",112,16,135,"5904_gen69"
69,19.0,"[]",111,16,134,"6894_gen72"
70,19.0,"[]",111,16,134,"6894_gen72"
71,19.0,"[]",111,16,134,"6894_gen72"
72,19.0,"[]",111,16,134,"6894_gen72"
73,19.0,"[]",111,16,133,"7217_gen74"
74,19.0,"[]",111,16,133,"7217_gen74"
75,19.0,"[]",115,15,166,"7462_gen77"
76,19.0,"[]",111,15,134,"7520_gen78"
77,19.0,"[]",111,15,134,"7520_gen78"
78,19.0,"[]",111,15,134,"7520_gen78"
79,19.0,"[]",111,15,134,"7520_gen78"
80,19.0,"[]",111,15,134,"7520_gen78"
81,19.0,"[]",110,15,134,"8037_gen81"
82,19.0,"[]",110,15,134,"8037_gen81"
83,19.0,"[]",110,15,133,"8207_gen82"
84,19.0,"[]",109,15,135,"8343_gen84"
85,19.0,"[]",109,15,132,"8416_gen85"
86,19.0,"[]",109,15,132,"8416_gen85"
87,19.0,"[]",109,15,132,"8416_gen85"
88,19.0,"[]",109,15,132,"8416_gen85"
89,19.0,"[]",109,15,132,"8416_gen85"
90,19.0,"[]",109,15,132,"8416_gen85"
91,19.0,"[]",109,15,132,"8416_gen85"
92,19.0,"[]",109,15,132,"8416_gen85"
93,19.0,"[]",109,15,132,"8416_gen85"
94,19.0,"[]",109,15,132,"8416_gen85"
95,19.0,"[]",109,15,132,"8416_gen85"
96,19.0,"[]",109,15,132,"8416_gen85"
97,19.0,"[]",109,15,132,"8416_gen85"
98,19.0,"[]",109,15,132,"8416_gen85"
99,19.0,"[]",109,15,132,"8416_gen85"
100,19.0,"[]",109,15,132,"8416_gen85"
