IL6 -> IL6R
RORGT -> IL6
IL18R -> IRAK
IL2_e -> IL2R
RORGT -> IL17
IFNG -> IFNGR
GATA3 -> IL10
IL4 -> IL4R
SOCS1 -| IL4R
IL6R -> JAK3
THPOK -> CD4
RUNX3 -| CD4
CD4 -> CD4
NOTCH1 -> CD4
FOXP3 -> TGFB
IL27_e -> IL27R
DLL1 -> NOTCH1
IL4R -> STAT6
TBET -> TBET
GATA3 -| TBET
RORGT -| TBET
STAT1 -> TBET
FOXP3 -| TBET
CD8 -> CD8
THPOK -| CD8
RUNX3 -> CD8
TCR -| CD8
NOTCH1 -> CD8
IL7R -> STAT5
SOCS1 -| STAT5
IL2R -> STAT5
IL10R -> STAT3
IL23R -> STAT3
JAK3 -> STAT3
TBET -| GATA3
GATA3 -> GATA3
RORGT -| GATA3
STAT6 -> GATA3
FOXP3 -| GATA3
IFNGR -> JAK1
IL12_e -> IL12R
STAT6 -| IL12R
EOMES -> PRF1
EOMES -> GZMB
TBET -> EOMES
RUNX3 -> EOMES
IL27R -> EOMES
GATA3 -> IL4
STAT1 -| IL4
TGFB -> TGFBR
JAK1 -> STAT1
IFNBR -> STAT1
IL27R -> STAT1
STAT3 -> RORGT
TBET -| RORGT
GATA3 -| RORGT
SMAD2 -> RORGT
RORGT -> RORGT
FOXP3 -| RORGT
STAT3 -| FOXP3
TBET -| FOXP3
GATA3 -| FOXP3
SMAD2 -> FOXP3
RORGT -| FOXP3
FOXP3 -> FOXP3
STAT3 -| IFNG
TBET -> IFNG
STAT4 -> IFNG
IRAK -> IFNG
EOMES -> IFNG
CD8 -> RUNX3
THPOK -| RUNX3
RUNX3 -> RUNX3
CD4 -| RUNX3
STAT5 -> RUNX3
IL12R -> STAT4
GATA3 -| STAT4
IL23_e -> IL23R
TGFBR -> SMAD2
IL7_e -> IL7R
TCR -| IL7R
CD8 -| THPOK
TBET -> THPOK
THPOK -> THPOK
RUNX3 -| THPOK
GATA3 -> THPOK
RORGT -> THPOK
CD4 -> THPOK
TCR -> THPOK
FOXP3 -> THPOK
TBET -> SOCS1
STAT1 -> SOCS1
IFNB_e -> IFNBR
IL18_e -> IL18R
STAT6 -| IL18R
TCR -> NFAT
IL10 -> IL10R

