Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint
ABL1,JAK2,positive,"MCF7, T47D, TGEN",direct,1,regulates
ABL1,MYOD1,negative,"MCF7, TGEN",assumption,4,
ABL1,SRC,positive,"MCF7, TGEN",assumption,4,
ABL2,CEBPB,positive,"MCF7, T47D, TGEN",direct,1,regulates
AKT,BAD,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates
AKT,CASP9,negative,"MCF7, T47D, TGEN",direct,1,regulates
AKT,CREB1,positive,"MCF7, T47D, TGEN",direct,1,regulates
AKT,ESR1,positive,"MCF7, T47D, TGEN",direct,1,regulates
AKT,ESR1_2,positive,"MCF7, T47D, TGEN",direct,1,
AKT,FOXO1,negative,"BL, HL, MCF7, SL, T47D, TGEN",direct,1,regulates
AKT,FOXO3,negative,"BL, HL, MCF7, SL, T47D, TGEN, Z17, Z21",direct,1,regulates
AKT,GSK3B,negative,"MCF7, T47D, TGEN",direct,1,regulates
AKT,KMT2D,negative,"MCF7, T47D, TGEN, Z17, Z21",direct,1,regulates
AKT,MDM2,positive,"MCF7, T47D, TGEN",direct,1,regulates
AKT,NOS3,positive,"MCF7, T47D, TGEN",direct,1,regulates
AKT,PRAS40,negative,"BL, HL, SL, Z17, Z21",direct,1,regulates
AKT,PRKACA,positive,"MCF7, T47D, TGEN",assumption,4,
AKT,RAC1,negative,"MCF7, T47D, TGEN",direct,1,regulates
AKT,TSC2,negative,"BL, HL, MCF7, SL, T47D, TGEN, Z17, Z21",direct,1,regulates
AKT,TWIST1,positive,"MCF7, TGEN",direct,1,regulates
AKT,p21,negative,"MCF7, T47D, TGEN",direct,1,regulates
AKT,p21_p27,negative,"Z17, Z21",direct,1,regulates
AKT,p38,positive,"BL, HL, SL",correlation,3,
APC,DC,positive,"MCF7, T47D, TGEN",,0,necessary
AXIN1,APC,positive,"MCF7, T47D, TGEN",direct,1,regulates
Alpelisib,PI3K,negative,"Z17, Z21",direct,1,regulates
Alpelisib,PI3K_2,negative,"Z17, Z21",direct,1,
Apoptosis,Apoptosis,positive,"Z17, Z21",assumption,4,
Apoptosis_2,Apoptosis_2,positive,"Z17, Z21",assumption,4,
Apoptosis_3,Apoptosis_3,positive,"Z17, Z21",assumption,4,
BAD,Apoptosis,positive,"Z17, Z21",indirect,2,
BAD,Apoptosis_2,positive,Z17,indirect,2,
BAD,Apoptosis_3,positive,Z17,indirect,2,
BAD,BCL2,negative,"MCF7, T47D, TGEN",direct,1,regulates
BAD,BCLXL,negative,"MCF7, T47D, TGEN",direct,1,regulates
BAK1,CYCS,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates
BAX,BAX,positive,SL,direct,1,regulates
BAX,CYCS,positive,"MCF7, T47D, TGEN",direct in the network sense,1,regulates
BCL2,Apoptosis,negative,Z17,indirect,2,
BCL2,Apoptosis_2,negative,"Z17, Z21",indirect,2,
BCL2,Apoptosis_3,negative,"Z17, Z21",indirect,2,
BCL2,BIM,negative,"MCF7, T47D, TGEN",direct,1,regulates
BCL2_T,BCL2,positive,"Z17, Z21",direct,1,necessary
BCLXL,Apoptosis_2,negative,Z21,indirect,2,
BCLXL,Apoptosis_3,negative,Z21,indirect,2,
BCLXL,BIM,negative,"MCF7, T47D, TGEN",direct,1,regulates
BCLXL_T,BCLXL,positive,Z21,direct,1,necessary
BID,BAK1,positive,"MCF7, T47D, TGEN",direct,1,regulates
BID,BAX,positive,"MCF7, T47D, TGEN",direct,1,regulates
BIM,Apoptosis,positive,"Z17, Z21",indirect,2,
BIM,Apoptosis_2,positive,Z17,indirect,2,
BIM,Apoptosis_3,positive,"Z17, Z21",indirect,2,
BIM,BAK1,positive,"MCF7, T47D, TGEN",direct,1,regulates
BIM,BAX,positive,"MCF7, T47D, TGEN",direct,1,regulates
BIM,BCL2,negative,"MCF7, T47D, TGEN",direct,1,regulates
BIM,BCLXL,negative,"MCF7, T47D, TGEN",direct,1,regulates
