Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint
ABL1,JAK2,positive,"TGEN, TM, TT",direct,1,regulates
ABL1,MYOD1,negative,"TGEN, TM",assumption,4,
ABL1,SRC,positive,"TGEN, TM",assumption,4,
ABL2,CEBPB,positive,"TGEN, TM, TT",direct,1,regulates
AKT,AKT,positive,"BL, BS, HL, HS, SL, SS",indirect,2,
AKT,BAD,negative,"TGEN, TM, TT, Z17, Z21",direct,1,regulates
AKT,CASP9,negative,"TGEN, TM, TT",direct,1,regulates
AKT,CREB1,positive,"TGEN, TM, TT",direct,1,regulates
AKT,CyclinD,positive,"BL, HL, SL",indirect,2,
AKT,CyclinD_2,positive,"BL, HL, SL",indirect,2,
AKT,ESR1,positive,"TGEN, TM, TT",direct,1,regulates
AKT,ESR1_2,positive,"TGEN, TM, TT",direct,1,
AKT,FAS,negative,"TGEN, TM, TT",assumption,4,
AKT,FOXO1,negative,"BL, HL, SL, TGEN, TM, TT",direct,1,regulates
AKT,FOXO3,negative,"BL, HL, SL, TGEN, TM, TT, Z17, Z21",direct,1,regulates
AKT,GSK3B,negative,"TGEN, TM, TT",direct,1,regulates
AKT,HER3,negative,SL,indirect,2,
AKT,HER3_2,negative,SL,indirect,2,
AKT,KMT2D,negative,"TGEN, TM, TT, Z17, Z21",direct,1,regulates
AKT,MDM2,positive,"TGEN, TM, TT",direct,1,regulates
AKT,NOS3,positive,"TGEN, TM, TT",direct,1,regulates
AKT,PRAS40,negative,"BL, HL, SL, Z17, Z21",direct,1,regulates
AKT,PRKACA,positive,"TGEN, TM, TT",assumption,4,
AKT,RAC1,negative,"TGEN, TM, TT",direct,1,regulates
AKT,S6K,positive,"BS, HS, SS",indirect,2,
AKT,TSC2,negative,"BL, HL, SL, TGEN, TM, TT, Z17, Z21",direct,1,regulates
AKT,TWIST1,positive,"TGEN, TM",direct,1,regulates
AKT,mTORC1,positive,"BS, HS, SS",indirect,2,
AKT,p21,negative,"TGEN, TM, TT",direct,1,regulates
AKT,p21_p27,negative,"Z17, Z21",direct,1,regulates
AKT,p38,positive,"BL, HL, SL",correlation,3,
APC,DC,positive,"TGEN, TM, TT",,0,necessary
AXIN1,APC,positive,"TGEN, TM, TT",direct,1,regulates
Alpelisib,PI3K,negative,"Z17, Z21",direct,1,regulates
Alpelisib,PI3K_2,negative,"Z17, Z21",direct,1,
Apoptosis_X,Apoptosis_X,positive,"Z17, Z21",assumption,4,
Apoptosis_Y,Apoptosis_Y,positive,"Z17, Z21",assumption,4,
Apoptosis_Z,Apoptosis_Z,positive,"Z17, Z21",assumption,4,
BAD,Apoptosis_X,positive,"Z17, Z21",assumption,4,
BAD,Apoptosis_Z,positive,Z17,assumption,4,
BAD,BCL2,negative,"TGEN, TM, TT",direct,1,regulates
BAD,BCLXL,negative,"TGEN, TM, TT",direct,1,regulates
BAK1,CYCS,positive,"TGEN, TM, TT",direct in the network sense,1,regulates
BAX,BAX,positive,SL,direct,1,regulates
BAX,CYCS,positive,"TGEN, TM, TT",direct in the network sense,1,regulates
BCL2,Apoptosis_Y,negative,"Z17, Z21",assumption,4,
BCL2,Apoptosis_Z,negative,"Z17, Z21",assumption,4,
BCL2,BIM,negative,"TGEN, TM, TT",direct,1,regulates
BCL2_T,BCL2,positive,"Z17, Z21",direct,1,necessary
BCLXL,Apoptosis_Y,negative,Z21,assumption,4,
BCLXL,Apoptosis_Z,negative,Z21,assumption,4,
BCLXL,BIM,negative,"TGEN, TM, TT",direct,1,regulates
BCLXL,CASP9,negative,"TGEN, TM",indirect,2,
BCLXL_T,BCLXL,positive,Z21,direct,1,necessary
BID,BAK1,positive,"TGEN, TM, TT",direct,1,regulates
BID,BAX,positive,"TGEN, TM, TT",direct,1,regulates
BIM,Apoptosis_X,positive,"Z17, Z21",assumption,4,
BIM,Apoptosis_Z,positive,"Z17, Z21",assumption,4,
BIM,BAK1,positive,"TGEN, TM, TT",direct,1,regulates
BIM,BAX,positive,"TGEN, TM, TT",direct,1,regulates
BIM,BCL2,negative,"TGEN, TM, TT",direct,1,regulates
BIM,BCLXL,negative,"TGEN, TM, TT",direct,1,regulates
BIM_T,BIM,positive,"Z17, Z21",direct,1,regulates
CASP3,CASP9,positive,"TGEN, TM, TT",direct in the network sense,1,regulates
CASP8,BID,positive,"TGEN, TM, TT",direct,1,regulates
CASP8,CASP3,positive,TT,direct,1,regulates
CASP8,CASP9,positive,"TGEN, TM, TT",indirect,2,
CASP9,CASP3,positive,"TGEN, TM, TT",direct,1,regulates
CDK46,CYCLINDc,positive,"Z17, Z21",,0,necessary
CDK46,CYCLINDc_2,positive,"Z17, Z21",,0,
CDKN2A,CYCLINDc,negative,"TGEN, TM, TT",direct,1,regulates
CDKN2A,CYCLINDc_2,negative,"TGEN, TM, TT",direct,1,
CEBPB,PPARG,positive,"TGEN, TM, TT",direct,1,regulates
CREB1,BCL2,positive,"TGEN, TM, TT",direct,1,regulates
CREB1,BCLXL,positive,"TGEN, TM, TT",direct,1,regulates
CREB1,CEBPB,positive,"TGEN, TM",direct,1,regulates
CREB1,FZD,positive,"TGEN, TM",assumption,4,
CTNNB1,MYC,positive,"TGEN, TM, TT",direct,1,regulates
CTNNB1,MYC_2,positive,"TGEN, TM, TT",direct,1,
CTNNB1,NOTCH1,positive,"TGEN, TM, TT",indirect,2,
CTNNB1,TCF7L2,positive,"TGEN, TM, TT",direct,1,regulates
CYCLINDc,CYCLINDc_2,positive,"Z17, Z21",,0,necessary
CYCLINDc,RB,negative,"TGEN, TM, TT",indirect,2,
