index,BBM node,Model,Input in BBM,Our notation,Input in merge
1,AKT,BL,,AKT,
2,CyclinB1,BL,,CyclinB1,
3,CyclinD1,BL,,CyclinD,
4,ERBB1,BL,,EGFR,
5,ERBB2,BL,,HER2,
6,ERBB3,BL,,HER3,
7,ERK1_2,BL,,ERK,
8,FoxO1_3a,BL,,FOXO1FOXO3,
9,GSK3a_b,BL,,GSK3B,
10,Nfkb,BL,input,NFKB,
11,PRAS,BL,,PRAS40,
12,PTEN,BL,,PTEN,
13,RB,BL,,RB,
14,RPS6,BL,,RPS6,
15,TSC2,BL,,TSC2,
16,cJUN,BL,,JUN,
17,cRAF,BL,,RAF1,
18,erlotinib,BL,input,erlotinib,constant 0
19,p38,BL,,p38,
20,p53,BL,,p53,
21,p70S6K,BL,,S6K,
22,pertuzumab,BL,input,pertuzumab,constant 0
23,stimulus,BL,input,stimulus,constant 0
24,trastuzumab,BL,input,trastuzumab,constant 0
25,AKT,HL,,AKT,
26,CyclinB1,HL,,CyclinB1,
27,CyclinD1,HL,,CyclinD,
28,ERBB1,HL,,EGFR,
29,ERBB2,HL,,HER2,
30,ERBB3,HL,,HER3,
31,ERK1_2,HL,,ERK,
32,FOXO1_3a,HL,,FOXO1FOXO3,
33,GSKa_b,HL,,GSK3B,
34,PRAS,HL,,PRAS40,
35,PTEN,HL,,PTEN,
36,RB,HL,,RB,
37,RPS6,HL,,RPS6,
38,TSC2,HL,,TSC2,
39,cJUN,HL,,JUN,
40,cRAF,HL,,RAF1,
41,erlotinib,HL,input,erlotinib,constant 0
42,p38,HL,,p38,
43,p53,HL,,p53,
44,p70S6K,HL,,S6K,
45,pertuzumab,HL,input,pertuzumab,constant 0
46,stimulus,HL,input,stimulus,constant 0
47,trastuzumab,HL,input,trastuzumab,constant 0
48,AKT,BS,,AKT,
49,EGF,BS,input,EGF,input
50,ERBB1,BS,,EGFR,
51,ERBB2,BS,,HER2,
52,ERBB3,BS,,HER3,
53,ERK1_2,BS,,ERK,
54,HRG,BS,input,NRG1,input
55,MEK1_2,BS,,MEK,
56,PDK1,BS,,PDK1_pm,
57,PKCa,BS,,PKCa,
58,PLCg,BS,,PLCg,
59,erlotinib,BS,input,erlotinib,constant 0
60,mTOR,BS,,mTORC1,
61,p70S6K,BS,,S6K,
62,pertuzumab,BS,input,pertuzumab,constant 0
63,trastuzumab,BS,input,trastuzumab,constant 0
64,AKT,HS,,AKT,
65,EGF,HS,input,EGF,input
66,ERBB1,HS,,EGFR,
67,ERBB2,HS,,HER2,
68,ERBB3,HS,,HER3,
69,ERK1_2,HS,,ERK,
70,HRG,HS,input,NRG1,input
71,MEK1_2,HS,,MEK,
72,PDK1,HS,,PDK1_pm,
73,PKCa,HS,,PKCa,
74,PLCg,HS,,PLCg,
75,erlotinib,HS,input,erlotinib,constant 0
76,mTOR,HS,,mTORC1,
77,p70S6K,HS,,S6K,
78,pertuzumab,HS,input,pertuzumab,constant 0
79,trastuzumab,HS,input,trastuzumab,constant 0
80,AKT,SS,,AKT,
81,EGF,SS,input,EGF,input
82,ERBB1,SS,,EGFR,
83,ERBB2,SS,,HER2,
84,ERBB3,SS,,HER3,
85,ERK1_2,SS,,ERK,
86,HRG,SS,input,NRG1,input
87,MEK1_2,SS,,MEK,
88,PDK1,SS,,PDK1_pm,
89,PKCa,SS,,PKCa,
90,PLCg,SS,,PLCg,
91,erlotinib,SS,input,erlotinib,constant 0
92,mTOR,SS,,mTORC1,
93,p70S6K,SS,,S6K,
94,pertuzumab,SS,input,pertuzumab,constant 0
95,trastuzumab,SS,input,trastuzumab,constant 0
96,AKT,SL,,AKT,
97,BAX,SL,,BAX,
98,CyclinB1,SL,,CyclinB1,
99,CyclinD1,SL,,CyclinD,
100,ERBB1,SL,,EGFR,
101,ERBB2,SL,,HER2,
102,ERBB3,SL,,HER3,
103,ERK1_2,SL,,ERK,
104,FoxO1_3a,SL,,FOXO1FOXO3,
105,GSKa_b,SL,,GSK3B,
106,Nfkb,SL,,NFKB,
107,PRAS,SL,,PRAS40,
108,PTEN,SL,,PTEN,
109,RB,SL,,RB,
110,RPS6,SL,,RPS6,
111,TSC2,SL,,TSC2,
112,cJUN,SL,,JUN,
113,cRAF,SL,,RAF1,
114,erlotinib,SL,input,erlotinib,constant 0
115,p38,SL,,p38,
116,p53,SL,,p53,
117,p70S6K,SL,,S6K,
118,pertuzumab,SL,input,pertuzumab,constant 0
119,stimulus,SL,input,stimulus,constant 0
120,trastuzumab,SL,input,trastuzumab,constant 0
121,AKT,Z17,,AKT,
122,Alpelisib,Z17,input,Alpelisib,constant 0
123,Apoptosis,Z17,,Apoptosis_X,
124,Apoptosis_2,Z17,,Apoptosis_Y,
125,Apoptosis_3,Z17,,Apoptosis_Z,
126,BAD,Z17,,BAD,
127,BCL2,Z17,,BCL2,
128,BCL2_T,Z17,input,BCL2_T,constant 0
129,BIM,Z17,,BIM,
130,BIM_T,Z17,input,BIM_T,input
131,CDK46,Z17,,CDK46,
132,E2F,Z17,,E2F,
133,E2F_2,Z17,,E2F_2,
134,E2F_3,Z17,,E2F_3,
135,EIF4F,Z17,,EIF4,
136,ER,Z17,input,ER,input
137,ER_transcription,Z17,,ER_transcription,
138,ER_transcription_2,Z17,,ER_transcription_2,
139,ESR1,Z17,,ESR1,
140,ESR1_2,Z17,,ESR1_2,
141,Everolimus,Z17,input,Everolimus,constant 0
142,FOXA1,Z17,,FOXA1,input
143,FOXO3,Z17,,FOXO3,
144,FOXO3_Ub,Z17,,FOXO3_Ub,
145,Fulvestrant,Z17,input,Fulvestrant,constant 0
146,HER2,Z17,input,HER2,
147,HER2_3,Z17,,HER2HER3c,
148,HER2_3_2,Z17,,HER2HER3c_2,
149,HER3,Z17,,HER3,
150,HER3_2,Z17,,HER3_2,
151,HER3_T,Z17,input,HER3_T,input
152,IGF1R,Z17,,IGF1R,
153,IGF1R_2,Z17,,IGF1R_2,
154,IGF1R_T,Z17,input,IGF1R_T,input
155,Ipatasertib,Z17,input,Ipatasertib,constant 0
156,KMT2D,Z17,,KMT2D,
157,MAPK,Z17,,MAPK,
158,MAPK_2,Z17,,MAPK_2,
159,MCL1,Z17,,MCL1,
160,MYC,Z17,,MYC,
161,MYC_2,Z17,,MYC_2,
162,Neratinib,Z17,input,Neratinib,constant 0
163,PBX1,Z17,input,PBX1,constant 1
164,PDK1,Z17,input,PDK1_ic,constant 0
165,PDK1_pm,Z17,,PDK1_pm,
166,PI3K,Z17,,PI3K,
167,PI3K_2,Z17,,PI3K_2,
168,PIM,Z17,input,PIM,constant 0
169,PIP3,Z17,,PIP3,
170,PIP3_2,Z17,,PIP3_2,
171,PRAS40,Z17,,PRAS40,
172,PTEN,Z17,input,PTEN,
173,Palbociclib,Z17,input,Palbociclib,constant 0
174,Proliferation,Z17,,Proliferation,
175,Proliferation_2,Z17,,Proliferation_2,
176,Proliferation_3,Z17,,Proliferation_3,
177,Proliferation_4,Z17,,Proliferation_4,
178,RAS,Z17,,RAS,
179,RAS_2,Z17,,RAS_2,
180,RAS_3,Z17,,RAS_3,
181,S6K,Z17,,S6K,
182,SGK1,Z17,,SGK1,
183,SGK1_T,Z17,input,SGK1_T,constant 0
184,TSC,Z17,,TSC2,
185,Trametinib,Z17,input,Trametinib,constant 0
186,Translation,Z17,,Translation,
187,cycD_CDK46,Z17,,CYCLINDc,
188,cycD_CDK46_2,Z17,,CYCLINDc_2,
189,cycE_CDK2,Z17,,cycE_CDK2,
190,cycE_CDK2_T,Z17,,cycE_CDK2_T,
191,cyclinD,Z17,,CyclinD,
192,cyclinD_2,Z17,,CyclinD_2,
193,mTORC1,Z17,,mTORC1,
194,mTORC2,Z17,,mTORC2_ic,input
195,mTORC2_pm,Z17,,mTORC2_pm,
196,p21_p27,Z17,,p21_p27,
197,p21_p27_T,Z17,,p21_p27_T,
198,pRb,Z17,,pRB,
199,pRb_2,Z17,,pRB_2,
200,pRb_3,Z17,,pRB_3,
201,AKT,Z21,,AKT,
202,Alpelisib,Z21,input,Alpelisib,constant 0
203,Apoptosis,Z21,,Apoptosis_X,
204,Apoptosis_2,Z21,,Apoptosis_Y,
205,Apoptosis_3,Z21,,Apoptosis_Z,
206,BAD,Z21,,BAD,
207,BCL2,Z21,,BCL2,
208,BCL2_T,Z21,input,BCL2_T,constant 0
209,BCLXL,Z21,,BCLXL,
210,BCLXL_T,Z21,input,BCLXL_T,input
211,BIM,Z21,,BIM,
212,BIM_T,Z21,input,BIM_T,input
213,CDK46,Z21,,CDK46,
214,E2F,Z21,,E2F,
215,E2F_2,Z21,,E2F_2,
216,EIF4F,Z21,,EIF4,
217,ER,Z21,input,ER,input
218,ER_microenvironment,Z21,input,ES,constant 1
219,ER_transcription,Z21,,ER_transcription,
220,ER_transcription_2,Z21,,ER_transcription_2,
221,ER_transcription_feedback_1,Z21,,ER_transcription_feedback_1,
222,ER_transcription_feedback_2,Z21,,ER_transcription_feedback_2,
223,ESR1,Z21,,ESR1,
224,ESR1_2,Z21,,ESR1_2,
225,Everolimus,Z21,input,Everolimus,constant 0
226,FOXA1,Z21,input,FOXA1,input
227,FOXO3,Z21,,FOXO3,
228,FOXO3_Ub,Z21,,FOXO3_Ub,
229,Fulvestrant,Z21,input,Fulvestrant,constant 0
230,HER2,Z21,input,HER2,
231,HER2_3,Z21,,HER2HER3c,
232,HER2_3_2,Z21,,HER2HER3c_2,
233,HER3,Z21,,HER3,
234,HER3_2,Z21,,HER3_2,
235,HER3_T,Z21,input,HER3_T,input
236,HER3_microenvironment,Z21,input,NRG1,input
237,IGF1R,Z21,,IGF1R,
238,IGF1R_2,Z21,,IGF1R_2,
239,IGF1R_T,Z21,,IGF1R_T,input
240,IGF1R_T_2,Z21,,IGF1R_T_2,
241,Ipatasertib,Z21,input,Ipatasertib,constant 0
242,KMT2D,Z21,,KMT2D,
243,MAPK,Z21,,MAPK,
244,MAPK_2,Z21,,MAPK_2,
245,MCL1,Z21,,MCL1,
246,MCL1_T,Z21,input,MCL1_T,input
247,MYC,Z21,,MYC,
248,MYC_2,Z21,,MYC_2,
249,MYC_T,Z21,input,MYC_T,input
250,MYC_targets,Z21,,MYC_targets,
251,MYC_targets_2,Z21,,MYC_targets_2,
252,Navitoclax,Z21,input,Navitoclax,constant 0
253,Neratinib,Z21,input,Neratinib,constant 0
254,PBX1,Z21,input,PBX1,constant 1
255,PDK1,Z21,input,PDK1_ic,constant 0
256,PDK1_pm,Z21,,PDK1_pm,
257,PI3K,Z21,,PI3K,
258,PI3K_2,Z21,,PI3K_2,
259,PIM,Z21,input,PIM,constant 0
260,PIP3,Z21,,PIP3,
261,PIP3_2,Z21,,PIP3_2,
262,PRAS40,Z21,,PRAS40,
263,PTEN,Z21,,PTEN,
264,PTEN_2,Z21,,PTEN_2,
265,PTEN_T,Z21,,PTEN_T,constant 1
266,PTEN_T_2,Z21,,PTEN_T_2,constant 0
267,Palbociclib,Z21,input,Palbociclib,constant 0
268,Proliferation,Z21,,Proliferation,
269,Proliferation_2,Z21,,Proliferation_2,
270,Proliferation_3,Z21,,Proliferation_3,
271,RAS,Z21,,RAS,
272,RAS_2,Z21,,RAS_2,
273,RAS_3,Z21,,RAS_3,
274,Rb_T,Z21,input,Rb_T,constant 1
275,S63845,Z21,input,S63845,constant 0
276,S6K,Z21,,S6K,
277,SGK1,Z21,,SGK1,
278,SGK1_T,Z21,input,SGK1_T,constant 0
279,TSC,Z21,,TSC2,
280,Trametinib,Z21,input,Trametinib,constant 0
281,Translation,Z21,,Translation,
282,cycD_CDK46,Z21,,CYCLINDc,
283,cycD_CDK46_2,Z21,,CYCLINDc_2,
284,cycE_CDK2,Z21,,cycE_CDK2,
285,cycE_CDK2_T,Z21,,cycE_CDK2_T,
286,cyclinD,Z21,,CyclinD,
287,cyclinD_2,Z21,,CyclinD_2,
288,mTORC1,Z21,,mTORC1,
289,mTORC2,Z21,,mTORC2_ic,input
290,mTORC2_pm,Z21,,mTORC2_pm,
291,p21_T,Z21,,p21_T,constant 1
292,p21_T_2,Z21,,p21_T_2,input
293,p21_p27,Z21,,p21_p27,
294,p21_p27_T,Z21,,p21_p27_T,
295,p27_T,Z21,input,p27_T,constant 1
296,pRb,Z21,,pRB,
297,pRb_2,Z21,,pRB_2,
298,ABL1,TGEN,,ABL1,
299,ABL2,TGEN,,ABL2,
300,AKT_i,TGEN,,AKT,
301,APC,TGEN,,APC,
302,AXIN1,TGEN,,AXIN1,
303,BAD,TGEN,,BAD,
304,BAK1,TGEN,,BAK1,
305,BAX,TGEN,,BAX,
306,BCL2,TGEN,,BCL2,
307,BCLXL,TGEN,,BCLXL,
308,BID,TGEN,,BID,
309,BIM,TGEN,,BIM,
310,CASP3,TGEN,,CASP3,
311,CASP8,TGEN,,CASP8,
312,CASP9,TGEN,,CASP9,
313,CDKN2A,TGEN,,CDKN2A,
314,CEBPB,TGEN,,CEBPB,
315,CREB1,TGEN,,CREB1,
316,CTNNB1,TGEN,,CTNNB1,
317,CYCLIN_D_c,TGEN,,CYCLINDc,
318,CYCS,TGEN,,CYCS,
319,DC,TGEN,,DC,
320,DLL_i,TGEN,input,DLL,input
321,DVL1,TGEN,,DVL1,
322,E2F1,TGEN,,E2F,
323,EGF,TGEN,input,EGF,input
324,EGFR,TGEN,,EGFR,
325,EIF4E,TGEN,,EIF4,
326,ERK_i,TGEN,,ERK,
327,ES,TGEN,input,ES,constant 1
328,ESR1,TGEN,,ESR1,
