index,Node,Corrected models,BBM node,BBM models,Input in BBM,Input in merge
1,ABL1,"TGEN, TM, TT",ABL1,"TGEN, TM, TT",,
2,ABL2,"TGEN, TM, TT",ABL2,"TGEN, TM, TT",,
3,AKT,"BL, BS, HL, HS, SL, SS, TGEN, TM, TT, Z17, Z21","AKT, AKT_i","BL, BS, HL, HS, SL, SS, TGEN, TM, TT, Z17, Z21",,
4,APC,"TGEN, TM, TT",APC,"TGEN, TM, TT",,
5,AXIN1,"TGEN, TM, TT",AXIN1,"TGEN, TM, TT",,
6,Alpelisib,"Z17, Z21",Alpelisib,"Z17, Z21",input,constant 0
7,Apoptosis_X,"Z17, Z21",Apoptosis,"Z17, Z21",,
8,Apoptosis_Y,"Z17, Z21",Apoptosis_2,"Z17, Z21",,
9,Apoptosis_Z,"Z17, Z21",Apoptosis_3,"Z17, Z21",,
10,BAD,"TGEN, TM, TT, Z17, Z21",BAD,"TGEN, TM, TT, Z17, Z21",,
11,BAK1,"TGEN, TM, TT",BAK1,"TGEN, TM, TT",,
12,BAX,"SL, TGEN, TM, TT",BAX,"SL, TGEN, TM, TT",,
13,BCL2,"TGEN, TM, TT, Z17, Z21",BCL2,"TGEN, TM, TT, Z17, Z21",,
14,BCL2_T,"Z17, Z21",BCL2_T,"Z17, Z21",input,constant 0
15,BCLXL,"TGEN, TM, TT, Z21",BCLXL,"TGEN, TM, TT, Z21",,
16,BCLXL_T,Z21,BCLXL_T,Z21,input,input
17,BID,"TGEN, TM, TT",BID,"TGEN, TM, TT",,
18,BIM,"TGEN, TM, TT, Z17, Z21",BIM,"TGEN, TM, TT, Z17, Z21",,
19,BIM_T,"Z17, Z21",BIM_T,"Z17, Z21",input,input
20,CASP3,"TGEN, TM, TT",CASP3,"TGEN, TM, TT",,
21,CASP8,"TGEN, TM, TT",CASP8,"TGEN, TM, TT",,
22,CASP9,"TGEN, TM, TT",CASP9,"TGEN, TM, TT",,
23,CDK46,"Z17, Z21",CDK46,"Z17, Z21",,
24,CDKN2A,"TGEN, TM, TT",CDKN2A,"TGEN, TM, TT",,
25,CEBPB,"TGEN, TM, TT",CEBPB,"TGEN, TM, TT",,
