ID	Score	Intervention	Observed Node	Value
1	1.0	ABA=0	Closure	OFF
2	1.0	ABA=1	Closure	ON
3	1.0	ABA=0,ROS=1	Closure	ON
4	1.0	ABA=0,RBOH=0	Closure	OFF
5	1.0	ABA=0,RBOH=0,ROS=1	Closure	ON
6	1.0	ABA=0,ROS=0	Closure	OFF
7	1.0	ABA=1,ROS=0	Closure	OFF/Some
8	1.0	ABA=1,RBOH=0	Closure	OFF/Some
9	1.0	ABA=1,PLDalpha=0,RBOH=0	Closure	OFF
10	1.0	ABA=0,Ica=1	Closure	ON
11	1.0	ABA=0,Ca2c=0	Closure	OFF
12	1.0	ABA=1,Ca2c=0	Closure	OFF/Some
13	1.0	ABA=0,SCAB1=1	Closure	OFF
14	1.0	ABA=1,SCAB1=1	Closure	Some/ON
15	1.0	ABA=1,SCAB1=1	Actin_Reorganization	Some/ON
16	1.0	ABA=0,SCAB1=0	Closure	OFF
17	1.0	ABA=1,SCAB1=0	Closure	Some/ON
18	1.0	ABA=1,SCAB1=0	Actin_Reorganization	Some/ON
19	1.0	ABA=0,ROS=1,SCAB1=0	Closure	Some
20	1.0	ABA=0,Ica=1,SCAB1=0	Closure	Some
24	1.0	ABA=0,SPHK1_2=0	Closure	OFF
25	1.0	ABA=1,SPHK1_2=0	Closure	Some
26	1.0	ABA=0,SPHK1_2=1	Closure	OFF
27	1.0	ABA=1,SPHK1_2=1	Closure	ON
32	1.0	ABA=0,PP2C=0	Closure	OFF
33	1.0	ABA=1,PP2C=0	Closure	ON
36	1.0	ABA=0,PP2C=1	Closure	OFF
37	1.0	ABA=1,PP2C=1	Closure	OFF
38	1.0	ABA=0,PP2C=1,ROS=1	Closure	OFF
43	1.0	ABA=0,RCARs=1	Closure	OFF
44	1.0	ABA=1,RCARs=1	Closure	ON
45	1.0	ABA=0,RCARs=0	Closure	OFF
46	1.0	ABA=1,RCARs=0	Closure	Some
47	1.0	ABA=0,Ica=1,RCARs=0	Closure	Some/ON
52	1.0	ABA=0,S1P_PhytoS1P=0	Closure	OFF
53	1.0	ABA=1,S1P_PhytoS1P=0	Closure	OFF/Some
54	1.0	ABA=0,OST1=0	Closure	OFF
55	1.0	ABA=1,OST1=0	Closure	OFF
56	1.0	ABA=0,OST1=1	Closure	OFF
57	1.0	ABA=1,OST1=1	Closure	ON
58	1.0	ABA=0,ERA1=0	Closure	OFF/Some
59	1.0	ABA=1,ERA1=0	Closure	ON
60	1.0	ABA=0,ABH1=0	Closure	OFF/Some
61	1.0	ABA=1,ABH1=0	Closure	ON
62	1.0	ABA=0,PLDalpha=0	Closure	OFF
63	1.0	ABA=1,PLDalpha=0	Closure	OFF/Some
64	1.0	ABA=0,PLDalpha=0,ROS=1	Closure	ON
68	1.0	ABA=0,PA=1	Closure	Some/ON
69	1.0	ABA=1,PA=1	Closure	ON
76	1.0	ABA=0,PP2C=1,PA=1	Closure	OFF
77	1.0	ABA=0,PA=1,PLDalpha=0	Closure	Some/ON
79	1.0	ABA=0,GPA1=0,PA=1	Closure	Some/ON
80	1.0	ABA=0,GPA1=0,PA=1,PLDalpha=0	Closure	Some/ON
83	1.0	ABA=0,GPA1=0	Closure	OFF
84	1.0	ABA=1,GPA1=0	Closure	ON
85	1.0	ABA=0,GPA1=0,PLDalpha=0	Closure	OFF
86	1.0	ABA=1,GPA1=0,PLDalpha=0	Closure	OFF
89	1.0	ABA=0,Ca2c=0,PLDalpha=0	Closure	OFF
90	1.0	ABA=1,Ca2c=0,PLDalpha=0	Closure	OFF/Some
91	1.0	ABA=0,PA=1,Ca2c=0	Closure	Some/ON
92	1.0	ABA=0,PA=1,Ca2c=0,PLDalpha=0	Closure	Some/ON
97	1.0	ABA=0,CDPK=0	Closure	OFF
98	1.0	ABA=1,CDPK=0	Closure	OFF/Some
99	1.0	ABA=0,cGMP=1	Closure	OFF
101	1.0	ABA=0,cADPR=0	Closure	OFF/Some
102	1.0	ABA=1,cADPR=0	Closure	Some/ON
113	1.0	ABA=0,PLC=0	Closure	OFF/Some
114	1.0	ABA=1,PLC=0	Closure	Some/ON
115	1.0	ABA=0,InsP3=0	Closure	OFF
116	1.0	ABA=1,InsP3=0	Closure	OFF/Some
119	1.0	ABA=1,PLC=0,cADPR=0	Closure	OFF
121	1.0	ABA=0,pHc=0	Closure	OFF
122	1.0	ABA=1,pHc=0	Closure	OFF/Some
123	1.0	ABA=0,OST1=0,pHc=0	Closure	OFF
124	1.0	ABA=1,OST1=0,pHc=0	Closure	OFF
125	1.0	ABA=1,GPA1=0,pHc=0	Closure	OFF/Some
126	1.0	ABA=0,NO=1,RBOH=0	Closure	ON
127	1.0	ABA=0,PtdInsP4=0	Closure	OFF
128	1.0	ABA=1,PtdInsP4=0	Closure	OFF/Some
129	1.0	ABA=0,PtdInsP3=0	Closure	OFF
130	1.0	ABA=1,PtdInsP3=0	Closure	OFF/Some
131	1.0	ABA=1,PtdInsP3=0,PtdInsP4=0	Closure	OFF/Some
132	1.0	ABA=0,ROP11=1	Closure	OFF
133	1.0	ABA=1,ROP11=1	Closure	Some
134	1.0	ABA=0,ROP11=0	Closure	OFF
135	1.0	ABA=1,ROP11=0	Closure	ON
136	1.0	ABA=0,KOUT=0	Closure	OFF
137	1.0	ABA=1,KOUT=0	Closure	Some
140	1.0	ABA=0,KOUT=0	ROS	OFF
141	1.0	ABA=1,KOUT=0	ROS	ON
142	1.0	ABA=0,KOUT=0,pHc=0	Closure	OFF
143	1.0	ABA=1,KOUT=0,pHc=0	Closure	Some
147	1.0	ABA=0,H_ATPase=1	Closure	OFF
148	1.0	ABA=1,H_ATPase=1	Closure	Some
149	1.0	ABA=0,AtRAC1=0	Closure	Some/ON
150	1.0	ABA=0,AtRAC1=1	Closure	OFF
151	1.0	ABA=1,AtRAC1=1	Closure	Some
152	1.0	ABA=0,QUAC1=0	Closure	OFF
153	1.0	ABA=1,QUAC1=0	Closure	OFF/Some
154	1.0	ABA=0,Ica=1,QUAC1=0	Closure	OFF
161	1.0	ABA=0,MPK9_12=0	Closure	OFF
162	1.0	ABA=1,MPK9_12=0	Closure	OFF/Some
163	1.0	ABA=0,MPK9_12=0,ROS=1	Closure	Some
164	1.0	ABA=0,SLAC1=0	Closure	OFF
165	1.0	ABA=1,SLAC1=0	Closure	OFF
166	1.0	ABA=0,ARP_Complex=0	Closure	OFF/Some
167	1.0	ABA=1,ARP_Complex=0	Closure	OFF/Some
168	1.0	ABA=0,ARP_Complex=0,Ica=1	Closure	Some
169	1.0	ABA=0,ARP_Complex=0	Actin_Reorganization	OFF
170	1.0	ABA=1,ARP_Complex=0	Actin_Reorganization	OFF/Some
176	1.0	ABA=0,OST1=0,ROS=1	Closure	Some/ON
178	1.0	ABA=0,RCN1=0	Closure	OFF/Some
179	1.0	ABA=1,RCN1=0	Closure	Some
199	1.0	ABA=0,MRP5=0	Closure	OFF
200	1.0	ABA=1,MRP5=0	Closure	Some
201	1.0	ABA=0,pHc=1	Closure	Some/ON
202	1.0	ABA=1,pHc=1	Closure	ON
203	1.0	ABA=0,NO=0	Closure	OFF
204	1.0	ABA=1,NO=0	Closure	OFF
208	1.0	ABA=0,S1P_PhytoS1P=1	Closure	Some/ON
209	1.0	ABA=0,GPA1=0,S1P_PhytoS1P=1	Closure	OFF/Some
212	1.0	ABA=0,NO=1	Closure	Some/ON
216	1.0	ABA=0,GPA1=0,ROS=1	Closure	ON
217	1.0	ABA=0,Actin_Reorganization=0,ROS=1	Closure	Some
220	1.0	ABA=0,cADPR=1	Closure	ON
221	1.0	ABA=0,PP2C=1,AtRAC1=0	Closure	Some/ON
222	1.0	ABA=0,PP2C=1,AtRAC1=1	Closure	OFF
223	1.0	ABA=0,InsP3=1	Closure	Some/ON
224	1.0	ABA=0,InsP3=1	Ca2c	Some
225	1.0	ABA=0,Ica=0,SACC=0	Closure	OFF
226	1.0	ABA=0,Ica=0,SACC=0	Ca2c	OFF
227	1.0	ABA=0,Ica=0,SACC=0,InsP3=1	Closure	Some/ON
228	1.0	ABA=0,Ica=0,SACC=0,InsP3=1	Ca2c	Some
230	1.0	ABA=0,NO=1,PLC=0	Closure	OFF
232	1.0	ABA=0,NO=1,PLDalpha=0	Closure	Some/ON
239	1.0	ABA=0,PP2C=1,NO=1	Closure	OFF
242	1.0	ABA=0,Ica=1,PLDalpha=0	Closure	OFF
243	1.0	ABA=0,NO=0,ROS=1	Closure	OFF/Some
244	1.0	ABA=0,NO=1,ROS=0	Closure	ON
245	1.0	ABA=0	ROS	OFF
246	1.0	ABA=1	ROS	ON
247	1.0	ABA=0	NO	OFF
248	1.0	ABA=1	NO	ON
249	1.0	ABA=0	pHc	OFF
250	1.0	ABA=1	pHc	ON
251	1.0	ABA=0,RCARs=0	ROS	OFF
252	1.0	ABA=1,RCARs=0	ROS	OFF
253	1.0	ABA=0,RCARs=0	NO	OFF
254	1.0	ABA=1,RCARs=0	NO	OFF
255	1.0	ABA=0,RCARs=0	pHc	OFF
256	1.0	ABA=1,RCARs=0	pHc	OFF
257	1.0	ABA=0,NO=1	pHc	Some
258	1.0	ABA=1,NO=1	pHc	ON
259	1.0	ABA=0,NO=0	pHc	OFF
260	1.0	ABA=1,NO=0	pHc	Some
261	1.0	ABA=0,Ca2c=0	pHc	OFF
262	1.0	ABA=1,Ca2c=0	pHc	OFF
263	1.0	ABA=0,Ca2c=0	ROS	OFF
264	1.0	ABA=1,Ca2c=0	ROS	ON
265	1.0	ABA=0,pHc=0	NO	OFF
266	1.0	ABA=1,pHc=0	NO	OFF
267	1.0	ABA=0,pHc=1	NO	ON
268	1.0	ABA=1,pHc=1	NO	ON
269	1.0	ABA=0,Ca2c=0	NO	OFF
270	1.0	ABA=1,Ca2c=0	NO	OFF
271	1.0	ABA=0,ROS=1	NO	ON
277	1.0	ABA=0,RBOH=0	NO	OFF
278	1.0	ABA=1,RBOH=0	NO	OFF
279	1.0	ABA=0,RBOH=0,ROS=1	NO	ON
282	1.0	ABA=0,NO=1	ROS	OFF
283	1.0	ABA=1,NO=0	ROS	ON
286	1.0	ABA=0	SACC	OFF
287	1.0	ABA=0,SACC=0	Ica	OFF
288	1.0	ABA=1,SACC=0	Ica	ON
289	1.0	ABA=0,SACC=0,GPA1=0	Ica	OFF
290	1.0	ABA=1,SACC=0,GPA1=0	Ica	OFF
291	1.0	ABA=0,GPA1=0	ROS	OFF
292	1.0	ABA=1,GPA1=0	ROS	OFF
299	1.0	ABA=0	SLAC1	OFF
300	1.0	ABA=1	SLAC1	ON
301	1.0	ABA=0,OST1=0	SLAC1	OFF
302	1.0	ABA=1,OST1=0	SLAC1	OFF
305	1.0	ABA=1,PP2C=1	pHc	OFF
307	1.0	ABA=1,OST1=0	pHc	OFF
308	1.0	ABA=0,Ica=1	pHc	ON
309	1.0	ABA=0,Ica=1,PP2C=1	pHc	ON
311	1.0	ABA=0,Ica=1,OST1=0	pHc	ON
314	1.0	ABA=0	Ca2c	OFF
315	1.0	ABA=1	Ca2c	Some
316	1.0	ABA=1,pHc=0	Ca2c	OFF/Some
317	1.0	ABA=0,OST1=0	Ca2c	OFF
318	1.0	ABA=1,OST1=0	Ca2c	OFF
321	1.0	ABA=0	Actin_Reorganization	OFF
322	1.0	ABA=1	Actin_Reorganization	ON
323	1.0	ABA=0,PP2C=1	Actin_Reorganization	OFF
324	1.0	ABA=1,PP2C=1	Actin_Reorganization	OFF
325	1.0	ABA=0,PtdInsP3=0	Actin_Reorganization	OFF
326	1.0	ABA=1,PtdInsP3=0	Actin_Reorganization	OFF/Some
327	1.0	ABA=0,PtdInsP4=0	Actin_Reorganization	OFF
328	1.0	ABA=1,PtdInsP4=0	Actin_Reorganization	OFF/Some
329	1.0	ABA=1,PtdInsP3=0,PtdInsP4=0	Actin_Reorganization	OFF/Some
330	1.0	ABA=1,PLC=0	Actin_Reorganization	ON
331	1.0	ABA=1,ROS=0	Actin_Reorganization	OFF/Some
332	1.0	ABA=0,RBOH=0	Actin_Reorganization	OFF
333	1.0	ABA=1,RBOH=0	Actin_Reorganization	OFF/Some
334	1.0	ABA=0	AtRAC1	ON
335	1.0	ABA=1	AtRAC1	OFF
336	1.0	ABA=0,PP2C=1	AtRAC1	ON
337	1.0	ABA=1,PP2C=1	AtRAC1	ON
349	1.0	ABA=0	KEV	OFF
350	1.0	ABA=1	KEV	ON
351	1.0	ABA=0,Ica=1	KEV	Some/ON
378	1.0	ABA=0,pHc=0	ROS	OFF
379	1.0	ABA=1,pHc=0	ROS	Some
384	1.0	ABA=0,OST1=0	ROS	OFF
385	1.0	ABA=1,OST1=0	ROS	OFF
386	1.0	ABA=0,OST1=1	ROS	OFF
387	1.0	ABA=1,OST1=1	ROS	ON
388	1.0	ABA=0,RBOH=0	ROS	OFF
389	1.0	ABA=1,RBOH=0	ROS	OFF
390	1.0	ABA=0,OST1=0,RBOH=0	ROS	OFF
391	1.0	ABA=1,OST1=0,RBOH=0	ROS	OFF
392	1.0	ABA=0,KOUT=0,RBOH=0	ROS	OFF
393	1.0	ABA=1,KOUT=0,RBOH=0	ROS	OFF
394	1.0	ABA=0,PP2C=1	ROS	OFF
395	1.0	ABA=1,PP2C=1	ROS	OFF
400	1.0	ABA=0,PtdInsP3=0	ROS	OFF
401	1.0	ABA=1,PtdInsP3=0	ROS	OFF/Some
402	1.0	ABA=0,PtdInsP4=0	ROS	OFF
403	1.0	ABA=1,PtdInsP4=0	ROS	ON
404	1.0	ABA=1,PtdInsP3=0,PtdInsP4=0	ROS	OFF
