ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0			Coup_fti	Some
2	1.0			Emx2	Some
3	1.0			Fgf8	Some
4	1.0			Pax6	Some
5	1.0			Sp8	Some
6	1.0		Coup_fti KO	Emx2	OFF
7	1.0		Coup_fti KO	Fgf8	Some
8	1.0		Coup_fti KO	Pax6	Some
9	1.0		Emx2 KO	Coup_fti	Some
10	1.0		Emx2 KO	Fgf8	Some
11	1.0		Emx2 KO	Pax6	Some
12	1.0		Emx2 KO	Sp8	Some
13	1.0		Sp8 CA	Coup_fti	OFF
14	1.0		Sp8 CA	Emx2	OFF
15	1.0		Sp8 CA	Fgf8	Some
16	1.0		Fgf8 KO,Sp8 KO	Coup_fti	ON
17	1.0		Pax6 CA	Coup_fti	Some
18	1.0		Pax6 CA	Emx2	OFF
19	1.0		Pax6 CA	Fgf8	Some
20	1.0		Pax6 CA	Sp8	Some
21	1.0		Coup_fti CA	Emx2	Some
23	1.0		Coup_fti CA	Pax6	OFF
24	1.0		Coup_fti CA	Sp8	Some
25	1.0		Emx2 CA	Coup_fti	ON
26	1.0		Emx2 CA	Pax6	OFF
27	1.0		Coup_fti KO,Pax6 CA	Emx2	OFF
28	1.0		Coup_fti KO,Pax6 CA	Sp8	Some
29	1.0		Emx2 CA,Fgf8 KO	Coup_fti	ON
30	1.0		Emx2 CA,Fgf8 KO	Pax6	OFF
31	1.0		Fgf8 KO,Pax6 CA,Sp8 KO	Coup_fti	ON
32	1.0		Sp8 KO	Coup_fti	ON
33	1.0		Sp8 KO	Fgf8	OFF
34	1.0		Sp8 KO	Pax6	OFF
35	1.0		Fgf8 CA	Coup_fti	OFF
36	1.0		Coup_fti KO,Emx2 KO	Fgf8	Some
37	1.0		Coup_fti CA,Fgf8 KO,Sp8 CA	Pax6	OFF
38	1.0		Pax6 KO	Coup_fti	Some
39	1.0		Pax6 KO	Sp8	Some
40	1.0		Fgf8 KO	Coup_fti	ON
41	1.0		Fgf8 KO	Pax6	OFF
42	1.0		Fgf8 KO	Sp8	OFF
43	1.0		Fgf8 CA,Sp8 KO	Emx2	OFF
44	1.0		Coup_fti CA,Pax6 KO,Sp8 CA	Fgf8	Some
45	1.0		Pax6 CA,Sp8 KO	Fgf8	OFF
46	1.0		Emx2 CA,Sp8 CA	Coup_fti	OFF
47	1.0		Emx2 CA,Sp8 CA	Fgf8	OFF
48	1.0		Emx2 KO,Pax6 CA	Sp8	Some
49	1.0		Coup_fti KO,Sp8 KO	Emx2	OFF
50	1.0		Coup_fti KO,Sp8 KO	Pax6	OFF
51	1.0		Coup_fti CA,Fgf8 KO	Sp8	OFF
