# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'PtdIns4_5P2', 'InsP3', 'cGMP', 'RCARs', 'cADPR', 'PtdIns3_5P2', 'DAG', 'InsP6', 'Ca2_ATPase', 'Closure', 'H2O_Efflux', 'NO'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2c': ('CaIM', 'CIS', 'Ca2_ATPase')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	325.09117427968886	0	198
1	329.7300631685777	0	193
2	333.21617427968886	0	199
3	337.2995076130221	0	196
4	355.54228823731137	0	193
5	356.54228823731137	0	193
6	356.79228823731137	0	193
7	359.54228823731137	0	194
8	361.1834062071331	0	199
9	362.1834062071331	0	209
10	367.1834062071331	0	216
11	367.1834062071331	0	216
12	368.2921250000001	0	206
13	371.6278506515776	0	212
14	372.6278506515776	0	208
15	372.8921250000001	0	201
16	374.6421250000001	0	210
17	375.8921250000001	0	201
18	375.8921250000001	0	201
19	377.38368055555554	0	193
20	377.3921250000001	0	201
21	384.23958333333337	0	206
22	384.57291666666663	0	196
23	386.23958333333337	0	201
24	388.25347222222223	0	199
25	388.25347222222223	0	198
26	389.75347222222223	0	205
27	389.75347222222223	0	199
28	390.42013888888886	0	196
29	390.42013888888886	0	196
30	390.42013888888886	0	192
31	390.92013888888886	0	197
32	391.25347222222223	0	196
33	391.25347222222223	0	196
34	391.25347222222223	0	193
35	391.25347222222223	0	193
36	392.25347222222223	0	191
37	392.25347222222223	0	191
38	392.25347222222223	0	189
39	392.25347222222223	0	187
40	392.25347222222223	0	186
41	392.9534722222222	0	196
42	392.9534722222222	0	189
43	393.9534722222222	0	196
44	393.9534722222222	0	192
45	394.12013888888885	0	187
46	394.9201388888889	0	190
47	394.9201388888889	0	188
48	394.9201388888889	0	187
49	394.9201388888889	0	186
50	394.9201388888889	0	185
51	394.9201388888889	0	184
52	394.9201388888889	0	184
53	394.9201388888889	0	180
54	395.12013888888885	0	179
55	395.12013888888885	0	179
56	395.12013888888885	0	167
57	395.12013888888885	0	167
58	395.12013888888885	0	167
59	395.12013888888885	0	161
60	395.12013888888885	0	159
61	395.12013888888885	0	158
62	395.62013888888885	0	165
63	395.62013888888885	0	163
64	395.62013888888885	0	159
65	395.62013888888885	0	159
66	395.62013888888885	0	158
67	395.62013888888885	0	157
68	395.62013888888885	0	157
69	395.62013888888885	0	156
70	395.62013888888885	0	156
71	395.62013888888885	0	155
72	395.62013888888885	0	154
73	395.62013888888885	0	154
74	395.62013888888885	0	154
75	395.62013888888885	0	154
76	395.62013888888885	0	154
77	395.62013888888885	0	154
78	395.62013888888885	0	154
79	395.62013888888885	0	154
80	395.62013888888885	0	153
81	395.62013888888885	0	153
82	395.62013888888885	0	153
83	395.62013888888885	0	152
84	395.62013888888885	0	151
85	395.62013888888885	0	151
86	395.62013888888885	0	151
87	396.12013888888885	0	162
88	396.12013888888885	0	161
89	396.12013888888885	0	154
90	396.12013888888885	0	154
91	396.12013888888885	0	154
92	396.12013888888885	0	152
93	396.12013888888885	0	152
94	396.12013888888885	0	152
95	396.12013888888885	0	152
96	396.12013888888885	0	152
97	396.12013888888885	0	149
98	396.12013888888885	0	149
99	396.12013888888885	0	149
100	396.12013888888885	0	148
