# DATA='networkmutation/data_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'InsP6', 'NO', 'cGMP', 'Ca2_ATPase', 'InsP3', 'DAG', 'RCARs', 'PtdIns3_5P2', 'Closure', 'H2O_Efflux', 'cADPR', 'PtdIns4_5P2'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2c': ('Ca_ext', 'CIS', 'Ca2_ATPase')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2c', '1'), ('PA', 'Ca2c', '1'), ('pHc', 'SPHK1_2', '1'), ('InsP3', 'SPHK1_2', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or Ca_ext) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext.txt'
iteration	top score	extra edges	complexity
0	329.6355141771808	1	187
1	329.6355141771808	1	187
2	339.29999999999995	2	204
3	345.1015432098766	2	255
4	359.94598765432096	2	207
5	362.60999999999996	2	198
6	368.78499999999997	3	237
7	370.88	1	223
8	373.20000000000005	1	234
9	373.3383333333333	4	231
10	386.29666666666674	2	224
11	391.7117460317462	1	208
12	394.6272222222224	2	237
13	395.8466666666667	2	227
14	397.4466666666667	3	238
15	398.2466666666667	3	243
16	398.4466666666667	4	238
17	399.8888888888889	3	263
18	400.3888888888889	3	239
19	400.91666666666663	4	269
20	400.91666666666663	4	269
21	401.5	3	249
22	403.0	3	264
23	403.0	3	264
24	403.08333333333326	5	303
25	403.9166666666667	3	272
26	403.9166666666667	3	272
27	404.9166666666667	3	292
28	406.08333333333326	5	241
29	406.08333333333326	5	241
30	406.75	4	210
31	407.3333333333333	5	248
32	407.99999999999994	5	248
33	409.49999999999994	5	246
34	409.49999999999994	5	246
35	412.24999999999994	6	237
36	413.99999999999994	6	248
37	413.99999999999994	6	239
38	414.16666666666663	6	246
39	414.16666666666663	6	246
40	414.16666666666663	6	246
41	414.16666666666663	6	238
42	414.16666666666663	6	238
43	414.16666666666663	6	191
44	415.16666666666663	6	236
45	415.16666666666663	6	236
46	415.16666666666663	6	181
47	416.41666666666663	7	194
48	416.41666666666663	6	186
49	416.41666666666663	6	182
50	416.41666666666663	6	182
51	416.41666666666663	6	181
52	418.16666666666663	6	182
53	418.16666666666663	6	182
54	418.16666666666663	6	182
55	418.16666666666663	6	177
56	418.16666666666663	6	177
57	418.16666666666663	6	176
58	418.16666666666663	6	175
59	419.0	6	183
60	419.0	6	175
61	419.0	6	172
62	419.0	6	172
63	419.0	6	172
64	419.0	6	165
65	419.0	6	165
66	419.0	6	164
67	419.4722222222222	6	173
68	420.6666666666667	6	178
69	421.6666666666667	6	171
70	421.6666666666667	6	161
71	421.6666666666667	6	161
72	421.6666666666667	6	161
73	421.6666666666667	6	161
74	421.6666666666667	6	161
75	423.1666666666667	6	162
76	423.1666666666667	6	162
77	423.1666666666667	6	161
78	423.1666666666667	6	161
79	423.1666666666667	6	158
80	423.1666666666667	6	157
81	423.1666666666667	6	157
82	423.1666666666667	6	155
83	423.1666666666667	6	151
84	423.1666666666667	6	151
85	423.1666666666667	6	151
86	423.1666666666667	6	151
87	423.1666666666667	6	151
88	423.1666666666667	6	151
89	423.1666666666667	6	151
90	423.1666666666667	6	151
91	423.1666666666667	6	151
92	423.1666666666667	6	151
93	423.1666666666667	6	151
94	423.1666666666667	6	151
95	424.4166666666667	7	152
96	424.4166666666667	7	152
97	424.4166666666667	6	152
98	424.4166666666667	6	150
99	424.4166666666667	6	149
100	424.4166666666667	6	149
