# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'Closure', 'RCARs', 'InsP3', 'DAG', 'PtdIns3_5P2', 'PtdIns4_5P2', 'Ca2_ATPase', 'cADPR', 'H2O_Efflux', 'InsP6', 'NO', 'cGMP'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2c': ('CaIM', 'CIS', 'Ca2_ATPase')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2c', '1'), ('PA', 'Ca2c', '1'), ('pHc', 'PA', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	324.63078244552526	1	194
1	325.63078244552526	2	196
2	343.89541039079995	2	197
3	361.64541039079995	2	206
4	361.64541039079995	2	206
5	368.1976979724993	3	198
6	370.4954132373114	5	191
7	371.9954132373114	4	203
8	376.1265312071331	6	225
9	376.76736111111114	5	180
10	379.76736111111114	4	182
11	381.76736111111114	5	180
12	383.15625	6	191
13	384.33097565157755	4	187
14	384.33097565157755	4	187
15	386.33097565157755	5	186
16	386.33097565157755	5	185
17	387.33097565157755	5	187
18	387.33097565157755	5	184
19	387.33097565157755	4	183
20	388.1365312071331	6	186
21	388.6990312071331	6	182
22	389.1365312071331	6	185
23	389.1990312071331	6	184
24	389.525420096022	6	198
25	392.6365312071331	5	179
26	392.6365312071331	5	179
27	393.1365312071331	5	176
28	393.1365312071331	5	174
29	394.6052812071331	6	184
30	394.994170096022	7	189
31	394.994170096022	7	183
32	394.994170096022	7	178
33	395.214	7	189
34	395.214	7	176
35	395.214	7	176
36	395.214	7	170
37	395.214	7	170
38	395.714	7	187
39	396.214	7	183
40	396.63000000000005	7	184
41	396.63000000000005	7	184
42	397.13000000000005	7	180
43	398.13000000000005	7	182
44	398.63000000000005	7	184
45	398.63000000000005	7	183
46	398.63000000000005	7	182
47	398.63000000000005	7	181
48	398.63000000000005	7	180
49	398.63000000000005	7	177
50	398.63000000000005	7	176
51	398.63000000000005	7	172
52	398.63000000000005	7	172
53	398.63000000000005	7	170
54	398.63000000000005	7	170
55	398.63000000000005	7	170
56	398.63000000000005	7	170
57	398.63000000000005	7	168
58	398.63000000000005	7	168
59	398.63000000000005	7	168
60	398.63000000000005	7	167
61	402.2411111111112	7	174
62	405.24111111111114	7	165
63	405.24111111111114	7	165
64	407.13	7	162
65	410.95833333333337	7	165
66	410.95833333333337	7	165
67	412.84722222222223	7	169
68	412.84722222222223	7	169
69	412.84722222222223	7	166
70	412.84722222222223	7	166
71	412.84722222222223	7	164
72	412.84722222222223	7	162
73	412.84722222222223	7	160
74	412.84722222222223	7	160
75	412.84722222222223	7	158
76	412.84722222222223	7	158
77	413.0472222222222	8	165
78	413.0472222222222	8	165
79	413.0472222222222	8	165
80	413.0472222222222	8	161
81	413.67611111111114	8	168
82	413.67611111111114	8	165
83	414.47611111111115	8	175
84	414.47611111111115	8	175
85	415.43611111111113	8	172
86	415.43611111111113	8	171
87	415.43611111111113	8	171
88	415.43611111111113	8	171
89	415.43611111111113	8	171
90	416.2361111111111	8	172
91	416.2361111111111	8	172
92	416.2361111111111	8	167
93	417.375	8	170
94	417.875	9	181
95	419.21083333333337	8	172
96	420.79861111111114	8	171
97	420.79861111111114	8	166
98	420.79861111111114	8	166
99	420.79861111111114	8	163
100	420.79861111111114	8	163
