# DATA='networkmutation/data_osc_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'H2O_Efflux', 'NO', 'cGMP', 'cADPR', 'InsP6', 'PtdIns3_5P2', 'RCARs', 'Closure', 'InsP3', 'PtdIns4_5P2', 'DAG'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2osc': ('Ca_ext', 'CIS')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2osc', '1'), ('PA', 'Ca2osc', '1'), ('pHc', 'SPHK1_2', '1'), ('InsP3', 'SPHK1_2', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext.txt'
# extra edges: []
# score: 184.19875019051986
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2osc* = CIS or Ca_ext
# CPK3_21* = Ca2osc
# MPK9_12* = Ca2osc
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2osc
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2osc
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2osc
# Vacuolar_Acidification* = V-PPase or V-ATPase
# TCTP* = Ca2osc
# Microtubule_Depolymerization* = TCTP
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2osc) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2osc and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2osc
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2osc
# Depolarization* = (AnionEM or Ca2osc or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext.txt'
iteration	top score	extra edges	complexity
0	283.4814814814815	1	183
1	283.4814814814815	1	183
2	307.0	3	168
3	315.75	4	199
4	320.91666666666663	3	197
5	323.75	2	193
6	346.75	2	181
7	350.75	2	223
8	361.5	5	332
9	361.5	5	332
10	362.5	5	325
11	368.16666666666663	6	235
12	369.0	5	344
13	371.5	6	307
14	371.5	6	307
15	374.16666666666663	7	357
16	374.66666666666663	7	340
17	375.16666666666663	8	363
18	375.16666666666663	7	262
19	377.0	7	297
20	379.16666666666663	9	378
21	379.75	9	319
22	382.75	10	451
23	387.75	7	421
24	387.75	7	421
25	389.75	9	398
26	392.25	8	426
27	392.25	7	344
28	392.25	7	344
29	393.25	8	367
30	393.25	8	349
31	395.25	8	368
32	396.25	8	362
33	396.25	8	358
34	396.75	7	316
35	397.25	9	349
36	397.25	8	351
37	397.25	7	348
38	397.25	7	348
39	397.25	7	348
40	397.75	8	377
41	398.75	6	360
42	398.75	6	360
43	399.25	8	339
44	399.25	6	343
45	399.25	6	343
46	399.75	7	367
47	399.75	7	364
48	400.0	7	376
49	400.0	6	333
50	401.0	7	388
51	401.0	7	388
52	401.0	7	293
53	401.0	6	381
54	403.25	7	349
55	403.25	6	338
56	403.25	6	335
57	403.25	6	335
58	403.25	6	335
59	403.25	6	315
60	403.25	6	315
61	403.25	6	313
62	404.25	6	316
63	404.25	6	314
64	404.25	6	308
65	404.25	6	298
66	404.25	6	298
67	404.25	6	298
68	404.25	6	265
69	404.25	6	247
70	404.25	6	247
71	404.25	6	235
72	404.25	6	230
73	404.25	6	230
74	404.25	6	221
75	404.25	6	221
76	404.25	6	219
77	404.25	6	219
78	404.25	6	219
79	404.25	6	219
80	404.25	6	219
81	404.25	6	219
82	404.25	6	214
83	404.25	6	214
84	404.25	6	207
85	404.25	6	207
86	404.25	6	207
87	404.25	6	207
88	404.25	6	207
89	404.25	6	207
90	404.25	6	207
91	404.25	6	207
92	404.25	6	203
93	404.25	6	203
94	404.25	6	203
95	404.25	6	203
96	404.25	6	203
97	404.25	6	203
98	404.25	6	202
99	404.25	6	202
100	404.25	6	202
