# DATA='networkmutation/data_osc_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'RCARs', 'H2O_Efflux', 'Closure', 'InsP6', 'cADPR', 'cGMP', 'PtdIns4_5P2', 'PtdIns3_5P2', 'NO', 'InsP3', 'DAG'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2osc': ('Ca_ext', 'CIS')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2osc', '1'), ('PA', 'Ca2osc', '1'), ('pHc', 'SPHK1_2', '1'), ('InsP3', 'SPHK1_2', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext.txt'
# extra edges: []
# score: 184.19875019051986
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2osc* = CIS or Ca_ext
# CPK3_21* = Ca2osc
# MPK9_12* = Ca2osc
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2osc
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2osc
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2osc
# Vacuolar_Acidification* = V-PPase or V-ATPase
# TCTP* = Ca2osc
# Microtubule_Depolymerization* = TCTP
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2osc) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2osc and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2osc
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2osc
# Depolarization* = (AnionEM or Ca2osc or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext.txt'
iteration	top score	extra edges	complexity
0	281.375	1	188
1	284.125	1	261
2	300.25	4	198
3	331.0	2	171
4	334.0	3	177
5	334.0	3	177
6	337.0	4	178
7	340.5	5	192
8	341.1666666666667	2	208
9	342.0	1	192
10	347.5	3	193
11	350.5	2	210
12	355.0	3	182
13	358.0	5	184
14	358.0	3	188
15	359.5	5	184
16	359.5	5	178
17	360.5	5	191
18	361.5	6	207
19	364.5	7	293
20	365.75	6	196
21	368.75	6	235
22	371.25	6	271
23	375.5	7	309
24	376.5	7	293
25	377.5	8	281
26	379.5	6	280
27	379.5	6	274
28	381.4166666666667	6	387
29	381.75	8	425
30	383.3333333333333	5	412
31	384.16666666666663	6	258
32	384.91666666666663	6	283
33	386.9583333333333	6	363
34	387.9583333333333	6	369
35	387.9583333333333	6	359
36	388.9583333333333	6	363
37	388.9583333333333	6	363
38	388.9583333333333	6	361
39	388.9583333333333	6	360
40	388.9583333333333	6	355
41	390.625	7	361
42	400.1666666666667	7	351
43	404.4166666666667	7	349
44	404.4166666666667	7	325
45	406.08333333333337	6	353
46	406.08333333333337	6	353
47	407.08333333333337	6	393
48	407.08333333333337	6	393
49	407.08333333333337	6	390
50	407.08333333333337	6	362
51	407.08333333333337	6	356
52	407.75	6	364
53	407.75	6	359
54	408.75	7	367
55	408.75	7	367
56	408.75	7	363
57	409.25	7	378
58	409.25	7	364
59	409.25	7	331
60	409.25	7	330
61	409.25	7	330
62	409.3333333333334	7	328
63	409.3333333333334	7	326
64	409.3333333333334	7	322
65	409.3333333333334	7	318
66	409.3333333333334	7	310
67	409.3333333333334	7	277
68	409.3333333333334	7	271
69	409.3333333333334	7	264
70	409.3333333333334	7	254
71	411.3333333333334	7	232
72	411.3333333333334	7	232
73	411.3333333333334	7	232
74	411.3333333333334	7	232
75	411.3333333333334	7	232
76	411.3333333333334	7	232
77	411.3333333333334	6	225
78	411.3333333333334	6	225
79	411.3333333333334	6	225
80	411.3333333333334	6	225
81	411.3333333333334	6	225
82	411.3333333333334	6	225
83	411.3333333333334	6	225
84	411.3333333333334	6	225
85	411.3333333333334	6	225
86	411.3333333333334	6	225
87	411.3333333333334	6	220
88	411.3333333333334	6	220
89	412.3333333333334	6	251
90	412.3333333333334	6	250
91	412.3333333333334	6	246
92	412.5833333333334	6	254
93	412.5833333333334	6	253
94	412.5833333333334	6	253
95	412.5833333333334	6	230
96	412.5833333333334	6	229
97	412.5833333333334	6	229
98	412.5833333333334	6	228
99	412.5833333333334	6	228
100	412.5833333333334	6	210
