# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'Closure', 'Ca2c', 'PtdIns4_5P2', 'DAG', 'RCARs', 'Ca2_ATPase', 'InsP3', 'InsP6', 'cGMP', 'cADPR', 'H2O_Efflux', 'PtdIns3_5P2', 'NO'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	325.25440705128204	1	219
1	327.42499999999995	2	200
2	329.025	2	194
3	349.7864583333333	3	210
4	350.8578869047619	4	199
5	359.91875	5	203
6	360.91875	6	219
7	363.075	6	216
8	368.825	6	202
9	370.875	5	213
10	370.875	5	213
11	371.875	7	216
12	372.875	6	215
13	372.875	6	215
14	374.7	7	207
15	377.71999999999997	8	193
16	380.46999999999997	8	206
17	381.425	6	202
18	386.17	7	211
19	387.72	6	197
20	387.72	6	190
21	390.42	8	199
22	390.42	7	195
23	390.7914285714286	6	186
24	391.3666666666666	8	203
25	394.16666666666663	6	182
26	394.16666666666663	6	182
27	396.16666666666663	7	196
28	396.16666666666663	6	180
29	396.16666666666663	6	178
30	396.66666666666663	7	192
31	397.16666666666663	7	191
32	397.16666666666663	6	179
33	397.16666666666663	6	179
34	397.16666666666663	6	171
35	397.41666666666663	7	183
36	397.41666666666663	7	181
37	397.41666666666663	6	182
38	397.91666666666663	6	181
39	398.08333333333337	5	178
40	398.41666666666663	6	181
41	401.0833333333333	5	178
42	401.0833333333333	5	176
43	401.0833333333333	5	172
44	401.0833333333333	4	176
45	401.0833333333333	4	173
46	401.83333333333337	4	170
47	403.8194444444444	5	180
48	403.8194444444444	4	176
49	404.4861111111111	6	169
50	404.4861111111111	5	179
51	405.25	7	180
52	405.25	5	176
53	405.25	4	167
54	405.25	4	167
55	405.25	4	167
56	405.25	4	165
57	405.25	4	165
58	405.25	4	165
59	405.25	4	165
60	405.25	4	162
61	405.25	4	162
62	405.25	4	162
63	405.25	4	159
64	405.25	4	159
65	405.49999999999994	4	161
66	405.49999999999994	4	158
67	405.49999999999994	4	157
68	405.49999999999994	4	155
69	405.49999999999994	4	155
70	405.49999999999994	4	153
71	405.49999999999994	4	153
72	405.49999999999994	4	153
73	405.49999999999994	4	153
74	405.49999999999994	4	153
75	405.49999999999994	4	152
76	405.49999999999994	4	152
77	405.49999999999994	4	150
78	405.49999999999994	4	148
79	405.49999999999994	4	148
80	405.49999999999994	4	148
81	405.49999999999994	4	148
82	405.49999999999994	4	147
83	416.29166666666663	4	147
84	416.29166666666663	4	147
85	416.29166666666663	4	147
86	416.29166666666663	4	147
87	416.29166666666663	4	147
88	416.29166666666663	4	147
89	416.29166666666663	4	146
90	416.29166666666663	4	146
91	416.29166666666663	4	146
92	416.29166666666663	4	146
93	416.29166666666663	4	145
94	416.29166666666663	4	145
95	416.29166666666663	4	145
96	416.29166666666663	4	143
97	416.29166666666663	4	143
98	416.29166666666663	4	141
99	416.29166666666663	4	141
100	416.29166666666663	4	141
