# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'PtdIns4_5P2', 'PtdIns3_5P2', 'cADPR', 'InsP3', 'Closure', 'InsP6', 'cGMP', 'Ca2c', 'DAG', 'NO', 'RCARs', 'H2O_Efflux', 'Ca2_ATPase'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	319.8291943018215	1	193
1	326.3347744462811	2	194
2	326.3347744462811	2	194
3	338.61277777777775	3	191
4	338.61277777777775	3	191
5	350.41277777777776	4	220
6	356.1044444444446	3	204
7	360.08583333333337	4	183
8	365.8544444444446	3	209
9	366.3933333333335	4	201
10	373.2141666666667	3	187
11	375.1691666666667	4	217
12	376.6691666666667	5	210
13	376.6691666666667	5	210
14	379.5441666666667	5	211
15	379.5441666666667	5	211
16	380.4191666666667	5	199
17	382.5441666666667	5	212
18	384.71083333333337	5	201
19	385.71083333333337	4	205
20	387.05555555555554	5	206
21	387.2222222222222	5	210
22	390.9305555555555	5	200
23	391.8888888888888	5	205
24	392.5555555555555	5	204
25	393.6388888888888	5	201
26	395.0555555555555	5	211
27	395.0555555555555	5	211
28	395.0555555555555	5	211
29	396.8055555555555	5	207
30	397.8055555555555	5	208
31	398.0555555555555	4	215
32	398.3055555555555	3	194
33	398.64555555555546	4	209
34	401.03000000000003	4	211
35	401.03000000000003	4	211
36	401.03000000000003	4	211
37	402.97	4	220
38	402.97	4	220
39	403.47	4	219
40	403.84000000000003	5	229
41	403.84000000000003	5	229
42	404.2014285714286	5	220
43	404.2014285714286	5	208
44	404.47	4	204
45	404.84000000000003	5	206
46	405.5714285714286	6	219
47	405.5714285714286	6	219
48	406.5714285714286	7	218
49	406.5714285714286	7	218
50	406.5714285714286	7	208
51	406.96420634920634	7	211
52	407.0714285714286	7	209
53	407.0714285714286	7	203
54	407.0714285714286	7	203
55	407.0714285714286	7	203
56	411.08567901234574	7	206
57	411.08567901234574	7	206
58	411.08567901234574	7	200
59	411.27517006802725	6	199
60	411.27517006802725	6	199
61	413.27517006802725	6	202
62	417.441836734694	7	183
63	417.441836734694	6	183
64	417.441836734694	6	183
65	419.69	5	183
66	419.69	5	183
67	419.69	5	183
68	421.1625	7	188
69	421.1625	6	193
70	422.6625	6	191
71	422.6625	6	191
72	423.49583333333334	7	190
73	423.99583333333334	6	184
74	425.24583333333334	7	200
75	425.24583333333334	6	210
76	425.24583333333334	6	189
77	425.24583333333334	6	189
78	425.24583333333334	6	189
79	426.9444444444444	6	192
80	426.9444444444444	6	192
81	426.9444444444444	6	192
82	426.9444444444444	6	178
83	426.9444444444444	6	178
84	426.9444444444444	6	177
85	426.9444444444444	6	177
86	426.9444444444444	6	177
87	427.4444444444444	7	198
88	427.4444444444444	7	198
89	427.4444444444444	7	198
90	427.4444444444444	7	182
91	427.9444444444444	7	176
92	428.4444444444444	7	180
93	428.4444444444444	7	180
94	428.4444444444444	7	180
95	428.6944444444444	8	188
96	429.4444444444444	7	196
97	429.4444444444444	7	196
98	429.4444444444444	7	196
99	429.4444444444444	7	193
100	429.4444444444444	7	181
