# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'DAG', 'Ca2c', 'cGMP', 'InsP6', 'Closure', 'cADPR', 'H2O_Efflux', 'PtdIns4_5P2', 'InsP3', 'NO', 'PtdIns3_5P2', 'RCARs', 'Ca2_ATPase'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	319.1336805555556	0	196
1	336.2586805555556	2	195
2	337.00312499999995	2	177
3	337.6031249999999	1	196
4	343.87812499999995	2	193
5	343.87812499999995	1	193
6	363.2027281746031	2	207
7	363.2027281746031	1	208
8	364.2027281746031	1	190
9	366.21661706349204	1	279
10	367.103125	2	242
11	368.3555059523809	2	234
12	369.67601010101004	2	268
13	369.903125	2	221
14	371.153125	1	225
15	371.903125	2	208
16	373.193125	1	227
17	373.2578571428572	3	219
18	375.7475	2	216
19	380.2361111111111	3	229
20	386.9861111111111	2	221
21	391.9417361111111	4	216
22	392.4417361111111	3	218
23	393.4417361111111	3	215
24	393.4417361111111	2	205
25	393.4417361111111	2	205
26	394.4417361111111	2	218
27	394.4417361111111	2	217
28	394.4417361111111	2	217
29	394.6663392857143	3	257
30	395.4163392857143	3	217
31	395.4163392857143	3	210
32	395.9163392857143	5	242
33	395.9163392857143	5	217
34	396.2496726190476	5	242
35	396.4163392857143	3	200
36	396.4163392857143	3	200
37	396.7496726190476	3	196
38	396.91633928571423	6	201
39	397.4163392857143	3	200
40	398.7163392857143	4	189
41	403.64508928571416	4	190
42	403.64508928571416	4	190
43	404.6850892857142	4	190
44	404.6850892857142	4	190
45	404.6850892857142	4	190
46	404.9350892857142	5	193
47	406.1350892857143	4	200
48	407.1350892857142	4	203
49	407.1350892857142	4	203
50	407.4704861111111	3	200
51	408.6350892857142	5	206
52	408.8350892857142	5	205
53	409.9704861111111	5	201
54	410.4704861111111	5	203
55	410.4704861111111	5	203
56	410.4704861111111	4	211
57	410.7204861111111	6	203
58	410.7204861111111	6	203
59	410.7204861111111	5	202
60	410.7204861111111	5	202
61	411.9704861111111	4	201
62	411.9704861111111	4	188
63	411.9704861111111	4	188
64	411.9704861111111	4	185
65	411.9704861111111	4	185
66	411.9704861111111	4	183
67	411.9704861111111	4	182
68	411.9704861111111	4	182
69	412.7204861111111	4	185
70	412.7204861111111	4	184
71	412.7204861111111	4	184
72	412.7204861111111	4	184
73	414.2204861111111	4	190
74	414.2204861111111	4	188
75	415.2204861111111	4	203
76	415.7204861111111	4	203
77	415.7204861111111	4	203
78	415.7204861111111	4	203
79	415.7204861111111	4	187
80	416.7204861111111	4	184
81	416.7204861111111	4	184
82	417.2204861111111	4	183
83	417.2204861111111	4	183
84	417.2204861111111	4	183
85	417.7204861111111	5	183
86	417.7204861111111	5	182
87	417.7204861111111	5	182
88	417.7204861111111	4	227
89	417.7204861111111	4	195
90	417.7204861111111	4	188
91	417.7204861111111	4	180
92	417.7204861111111	4	180
93	417.7204861111111	4	180
94	417.7204861111111	4	180
95	417.7204861111111	4	180
96	417.7204861111111	4	180
97	418.1111111111111	5	176
98	418.1111111111111	5	176
99	419.1111111111111	5	181
100	419.1111111111111	5	180
