# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'InsP6', 'PtdIns3_5P2', 'DAG', 'InsP3', 'Closure', 'Ca2c', 'NO', 'PtdIns4_5P2', 'cGMP', 'H2O_Efflux', 'Ca2_ATPase', 'RCARs', 'cADPR'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_full_fix_20230407.txt'
# extra edges: []
# score: 291.7263791171307
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_full_fix_20230407.txt'
iteration	top score	extra edges	complexity
0	313.9768868528913	1	196
1	317.81095679012344	0	224
2	319.6875	1	272
3	333.06095679012344	1	239
4	336.99978373702425	2	215
5	338.8125	1	201
6	341.8125	2	203
7	346.1775	1	196
8	348.06095679012344	3	211
9	351.06095679012344	2	204
10	359.39625	4	241
11	359.39625	4	241
12	360.22125	4	217
13	364.8112500000001	4	215
14	364.8112500000001	4	215
15	365.4512500000001	2	190
16	367.5762500000001	3	204
17	368.8112500000001	3	211
18	369.8090277777777	6	207
19	370.2569444444444	5	202
20	372.5902777777777	6	199
21	372.5902777777777	5	207
22	372.5902777777777	4	197
23	373.27777777777777	7	208
24	374.14583333333326	3	210
25	374.14583333333326	2	209
26	375.14583333333326	4	230
27	375.14583333333326	2	226
28	375.4791666666666	4	245
29	375.64583333333326	4	235
30	376.18250000000006	4	220
31	376.18250000000006	4	220
32	377.50694444444446	5	236
33	377.50694444444446	5	227
34	377.64583333333326	4	236
35	377.89583333333326	4	234
36	377.9791666666666	5	232
37	378.14583333333326	3	228
38	378.81249999999994	5	229
39	379.1458333333333	5	226
40	379.1458333333333	3	232
41	379.34027777777777	6	231
42	379.34027777777777	5	234
43	379.34027777777777	5	230
44	379.34027777777777	4	233
45	379.34027777777777	4	231
46	379.34027777777777	4	228
47	379.34027777777777	4	226
48	379.34027777777777	4	226
49	379.34027777777777	4	216
50	379.34027777777777	4	214
51	379.34027777777777	4	213
52	379.34027777777777	4	208
53	379.34027777777777	4	206
54	379.34027777777777	4	200
55	379.34027777777777	4	197
56	379.34027777777777	4	193
57	379.34027777777777	4	193
58	379.34027777777777	4	185
59	379.34027777777777	4	185
60	379.34027777777777	3	185
61	379.34027777777777	3	181
62	379.34027777777777	3	181
63	380.34027777777777	4	188
64	380.34027777777777	4	186
65	380.34027777777777	4	183
66	380.34027777777777	4	180
67	380.34027777777777	4	180
68	380.34027777777777	4	180
69	380.34027777777777	4	180
70	380.34027777777777	4	178
71	380.34027777777777	4	173
72	380.34027777777777	4	173
73	380.34027777777777	4	173
74	380.34027777777777	4	172
75	380.34027777777777	4	170
76	380.34027777777777	4	169
77	380.34027777777777	4	169
78	380.34027777777777	4	168
79	380.34027777777777	4	166
80	380.34027777777777	4	165
81	380.34027777777777	4	165
82	380.34027777777777	4	162
83	380.3825	5	166
84	380.3825	5	166
85	380.3825	4	163
86	380.3825	4	163
87	380.3825	4	161
88	380.3825	4	161
89	380.3825	4	161
90	380.3825	4	161
91	380.3825	4	161
92	380.3825	4	161
93	380.3825	4	161
94	380.3825	4	161
95	380.3825	4	161
96	380.3825	4	161
97	380.3825	4	160
98	380.3825	4	160
99	380.3825	4	160
100	380.3825	4	160
