# DATA='networkmutation/data_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'H2O_Efflux', 'RCARs', 'PtdIns3_5P2', 'InsP6', 'PtdIns4_5P2', 'DAG', 'NO', 'InsP3', 'Closure', 'cGMP', 'Ca2_ATPase', 'cADPR'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2c': ('Ca_ext', 'CIS', 'Ca2_ATPase')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2c', '1'), ('PA', 'Ca2c', '1'), ('pHc', 'SPHK1_2', '1'), ('InsP3', 'SPHK1_2', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or Ca_ext) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext.txt'
iteration	top score	extra edges	complexity
0	315.4136345535612	1	198
1	335.08706089260863	2	178
2	337.0808132955306	3	190
3	349.7142526912726	2	210
4	353.10195158692284	3	240
5	361.5368335168292	3	300
6	367.5582788671024	4	279
7	368.5582788671024	6	292
8	383.39444444444445	6	255
9	383.89444444444445	5	261
10	390.08888888888896	5	267
11	399.26	4	276
12	404.50444444444446	4	284
13	404.7055782312925	6	288
14	404.7055782312925	6	288
15	405.8	4	322
16	405.8	4	322
17	407.6722448979593	4	324
18	409.91	6	292
19	410.54333333333335	6	332
20	410.9933333333334	5	321
21	411.79333333333335	5	267
22	411.79333333333335	5	267
23	412.61	6	288
24	413.86	6	290
25	413.86	6	284
26	414.38	6	237
27	415.25	5	320
28	416.42	6	236
29	417.8333333333332	6	237
30	419.25	6	232
31	421.8333333333333	6	229
32	421.8333333333333	6	228
33	423.5833333333333	8	226
34	423.5833333333333	8	226
35	423.5833333333333	7	230
36	424.0833333333333	7	230
37	425.0833333333333	8	232
38	425.0833333333333	8	232
39	426.0833333333333	8	236
40	426.0833333333333	8	236
41	426.0833333333333	8	234
42	426.0833333333333	7	229
43	426.0833333333333	7	229
44	426.5833333333333	7	234
45	426.5833333333333	7	234
46	426.8333333333333	7	244
47	427.0833333333333	7	228
48	427.0833333333333	7	227
49	427.3333333333333	7	231
50	427.3333333333333	7	227
51	427.3333333333333	7	225
52	427.3333333333333	7	225
53	427.3333333333333	7	225
54	427.3333333333333	7	224
55	427.3333333333333	7	224
56	427.3333333333333	7	224
57	427.3333333333333	7	222
58	427.3333333333333	7	222
59	427.3333333333333	7	222
60	427.3333333333333	7	221
61	427.3333333333333	7	221
62	427.3333333333333	7	221
63	427.3333333333333	7	221
64	427.3333333333333	7	221
65	427.3333333333333	7	221
66	427.5833333333333	7	229
67	427.5833333333333	7	222
68	427.5833333333333	7	218
69	427.5833333333333	7	218
70	427.5833333333333	7	218
71	427.5833333333333	7	209
72	427.5833333333333	7	209
73	427.5833333333333	7	209
74	428.5833333333333	7	198
75	428.5833333333333	7	197
76	428.5833333333333	7	197
77	428.5833333333333	7	197
78	428.5833333333333	7	197
79	429.5833333333333	7	195
80	429.5833333333333	7	195
81	430.0833333333333	7	199
82	430.0833333333333	7	199
83	430.0833333333333	7	199
84	430.0833333333333	7	199
85	430.0833333333333	7	199
86	430.0833333333333	7	199
87	430.0833333333333	7	199
88	430.0833333333333	7	199
89	430.0833333333333	7	199
90	430.7083333333333	8	211
91	430.7083333333333	8	211
92	430.7083333333333	8	208
93	430.7083333333333	8	208
94	430.7083333333333	8	203
95	430.7083333333333	8	200
96	430.7083333333333	8	199
97	430.7083333333333	8	199
98	430.7083333333333	8	199
99	430.7083333333333	8	199
100	430.7083333333333	8	199
