# DATA='networkmutation/data_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'PtdIns3_5P2', 'cGMP', 'NO', 'InsP3', 'H2O_Efflux', 'DAG', 'Ca2_ATPase', 'Ca2c', 'PtdIns4_5P2', 'cADPR', 'InsP6', 'Closure', 'RCARs'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_source': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext_cis.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or Ca_ext) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext_cis.txt'
iteration	top score	extra edges	complexity
0	324.64968210250873	1	197
1	335.3697916666667	1	196
2	335.653125	1	194
3	353.8697916666667	1	204
4	354.453125	2	195
5	355.853125	3	203
6	369.1173611111111	3	196
7	369.1173611111111	3	196
8	371.0896944444445	3	217
9	371.0896944444445	3	216
10	375.5896944444445	5	200
11	376.0056944444445	5	201
12	376.0056944444445	5	201
13	376.0056944444445	5	196
14	379.78347222222226	5	198
15	379.78347222222226	5	198
16	381.78347222222226	6	209
17	382.53347222222226	5	191
18	382.78347222222226	6	213
19	383.53347222222226	6	196
20	384.63347222222234	7	209
21	387.33347222222227	7	222
22	387.33347222222227	7	222
23	387.33347222222227	7	222
24	388.000138888889	6	241
25	388.8668055555557	7	239
26	390.750138888889	8	230
27	391.650138888889	8	235
28	392.1834722222223	7	233
29	392.61680555555563	7	222
30	392.650138888889	7	248
31	393.5168055555556	8	250
32	393.5168055555556	8	250
33	395.1834722222223	8	243
34	395.4834722222223	8	230
35	396.1834722222223	8	286
36	396.4834722222223	7	267
37	396.4834722222223	7	249
38	396.4834722222223	6	276
39	397.2834722222223	6	268
40	398.2834722222223	7	275
41	398.7834722222223	8	260
42	400.52513888888905	8	239
43	400.52513888888905	8	239
44	402.68402777777777	7	243
45	402.68402777777777	7	228
46	403.68402777777777	7	224
47	403.68402777777777	7	224
48	404.18402777777777	7	223
49	404.18402777777777	7	221
50	404.18402777777777	7	208
51	404.18402777777777	7	208
52	404.38402777777776	8	214
53	404.38402777777776	8	214
54	404.38402777777776	8	214
55	404.38402777777776	8	214
56	404.38402777777776	7	193
57	404.38402777777776	7	189
58	404.38402777777776	7	189
59	404.38402777777776	7	189
60	405.26944444444445	7	205
61	405.26944444444445	7	205
62	405.26944444444445	7	195
63	405.26944444444445	7	195
64	405.26944444444445	7	195
65	405.26944444444445	7	195
66	405.26944444444445	7	195
67	405.26944444444445	7	195
68	405.26944444444445	7	195
69	405.26944444444445	7	181
70	405.26944444444445	7	181
71	405.26944444444445	7	177
72	405.26944444444445	7	177
73	405.40833333333336	8	196
74	405.40833333333336	8	176
75	405.40833333333336	8	176
76	405.40833333333336	8	176
77	405.40833333333336	8	176
78	405.40833333333336	8	176
79	405.40833333333336	8	176
80	405.40833333333336	8	176
81	405.40833333333336	8	176
82	405.40833333333336	8	174
83	405.40833333333336	8	174
84	405.40833333333336	8	174
85	405.40833333333336	8	174
86	405.40833333333336	8	174
87	405.40833333333336	8	174
88	405.40833333333336	8	173
89	405.40833333333336	8	173
90	405.40833333333336	8	173
91	405.40833333333336	8	173
92	405.90833333333336	9	174
93	405.90833333333336	8	174
94	405.90833333333336	8	174
95	405.90833333333336	8	174
96	405.90833333333336	7	172
97	405.90833333333336	7	172
98	405.90833333333336	7	172
99	405.90833333333336	7	172
100	406.07500000000005	8	188
