# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'Closure', 'Ca2_ATPase', 'DAG', 'InsP3', 'InsP6', 'NO', 'PtdIns3_5P2', 'PtdIns4_5P2', 'cADPR', 'H2O_Efflux', 'cGMP', 'Ca2c', 'RCARs'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_source': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext_cis.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or Ca_ext) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230511_ca_ext_cis.txt'
iteration	top score	extra edges	complexity
0	329.2586805555556	0	199
1	333.5920138888889	1	194
2	337.5086805555556	1	184
3	343.3003472222223	1	199
4	347.91145833333337	1	201
5	364.3003472222222	2	204
6	365.0173611111111	2	201
7	365.0173611111111	2	201
8	369.0173611111111	3	192
9	370.7673611111111	4	198
10	371.0173611111111	3	198
11	371.73958333333337	3	198
12	374.4976423182442	2	193
13	375.83097565157755	2	198
14	377.33097565157755	2	201
15	377.83097565157755	2	203
16	378.83097565157755	3	212
17	379.83097565157755	3	211
18	379.83097565157755	3	206
19	383.1396944444445	3	229
20	383.8896944444445	4	234
21	383.8896944444445	3	216
22	385.1396944444445	3	209
23	385.1396944444445	3	207
24	386.3896944444445	4	212
25	386.3896944444445	3	209
26	388.8896944444445	5	205
27	388.8896944444445	4	219
28	388.8896944444445	4	212
29	388.8896944444445	4	198
30	389.77511111111113	4	210
31	389.8896944444445	4	194
32	389.8896944444445	4	190
33	390.8896944444445	4	197
34	391.77511111111113	4	190
35	391.8896944444445	4	183
36	392.77511111111113	4	182
37	393.77511111111113	4	201
38	393.77511111111113	4	193
39	393.77511111111113	4	187
40	393.77511111111113	4	187
41	393.77511111111113	4	186
42	393.77511111111113	4	177
43	393.77511111111113	4	177
44	393.77511111111113	4	177
45	393.77511111111113	4	176
46	393.77511111111113	4	175
47	394.1911111111112	4	183
48	394.1911111111112	4	169
49	394.1911111111112	4	165
50	394.1911111111112	4	165
51	394.1911111111112	4	163
52	394.1911111111112	4	161
53	394.1911111111112	4	156
54	394.1911111111112	4	156
55	394.1911111111112	4	154
56	394.1911111111112	4	154
57	394.1911111111112	4	154
58	394.1911111111112	4	154
59	394.1911111111112	4	154
60	394.1911111111112	4	154
61	394.1911111111112	4	154
62	394.1911111111112	4	154
63	394.1911111111112	4	154
64	394.1911111111112	4	154
65	394.1911111111112	4	154
66	394.1911111111112	4	154
67	394.1911111111112	4	154
68	394.1911111111112	4	152
69	394.1911111111112	4	152
70	394.1911111111112	4	152
71	394.1911111111112	4	150
72	394.1911111111112	4	150
73	394.1911111111112	4	149
74	394.1911111111112	4	148
75	394.1911111111112	4	147
76	394.1911111111112	4	147
77	394.1911111111112	4	147
78	394.1911111111112	4	147
79	394.1911111111112	4	147
80	394.1911111111112	4	147
81	394.1911111111112	4	144
82	394.1911111111112	4	144
83	394.1911111111112	4	143
84	394.1911111111112	4	143
85	400.4583333333333	4	159
86	405.87499999999994	4	147
87	406.87499999999994	4	147
88	407.87499999999994	5	161
89	407.87499999999994	4	147
90	408.87499999999994	4	145
91	410.37499999999994	5	163
92	410.37499999999994	5	163
93	410.37499999999994	5	158
94	410.37499999999994	5	154
95	410.37499999999994	5	149
96	410.37499999999994	5	149
97	410.37499999999994	5	149
98	410.37499999999994	5	149
99	410.37499999999994	5	149
100	410.37499999999994	5	149
