# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'DAG', 'H2O_Efflux', 'Ca2_ATPase', 'InsP3', 'RCARs', 'Closure', 'cADPR', 'InsP6', 'PtdIns3_5P2', 'NO', 'cGMP', 'PtdIns4_5P2'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2c': ('CaIM', 'CIS', 'Ca2_ATPase')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2c', '1'), ('PA', 'Ca2c', '1'), ('pHc', 'PA', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	321.40026072600693	1	213
1	325.30034722222223	1	200
2	330.9670138888889	3	202
3	336.30034722222223	3	201
4	336.30034722222223	2	199
5	353.5503472222222	3	187
6	354.6753472222222	4	192
7	360.8003472222222	3	212
8	362.375	5	216
9	364.29166666666663	5	235
10	370.5503472222222	5	210
11	374.025	5	259
12	384.66	5	227
13	387.3888888888889	5	272
14	393.20000000000005	6	217
15	394.3333333333333	6	208
16	395.0833333333333	6	200
17	396.94	6	209
18	397.05555555555554	7	216
19	399.8566666666666	6	205
20	401.30555555555554	6	204
21	401.30555555555554	6	204
22	402.4722222222222	7	224
23	402.4722222222222	7	201
24	403.8055555555555	6	215
25	404.6805555555555	6	200
26	406.3055555555555	7	206
27	408.38888888888886	7	205
28	408.38888888888886	6	207
29	409.38888888888886	7	207
30	411.1666666666666	7	205
31	411.1666666666666	6	202
32	411.1666666666666	6	202
33	412.6666666666666	8	211
34	412.6666666666666	7	217
35	412.6666666666666	7	193
36	414.1666666666666	9	213
37	414.1666666666666	9	213
38	414.1666666666666	8	209
39	414.1666666666666	8	192
40	415.25	7	220
41	415.5	7	210
42	415.75	8	219
43	415.75	8	219
44	416.0	8	206
45	417.0	8	216
46	417.0	8	216
47	417.0	8	209
48	417.25	8	210
49	417.5	8	214
50	417.5	8	212
51	418.125	8	220
52	418.125	8	220
53	418.125	8	206
54	418.125	8	205
55	418.125	8	205
56	418.125	8	205
57	418.375	8	201
58	418.375	8	201
59	418.375	8	199
60	418.375	8	199
61	418.375	8	199
62	418.375	8	199
63	418.375	8	191
64	422.875	8	190
65	422.875	8	190
66	422.875	8	189
67	422.875	8	189
68	422.875	8	189
69	422.875	8	189
70	422.875	8	189
71	422.875	8	189
72	422.875	8	186
73	422.875	8	186
74	422.875	8	186
75	422.875	8	178
76	423.875	9	191
77	423.875	9	191
78	423.875	9	183
79	423.875	9	183
80	423.875	9	182
81	423.875	9	182
82	423.875	9	181
83	423.875	9	181
84	423.875	9	180
85	424.5	8	186
86	424.5	8	186
87	424.5	8	186
88	425.25	9	187
89	425.5	9	192
90	425.5	9	184
91	425.5	9	183
92	425.5	9	183
93	425.5	8	186
94	426.25	9	195
95	426.5	9	187
96	426.5	9	183
97	426.5	8	182
98	426.5	8	179
99	426.5	8	178
100	426.5	8	178
