# DATA='networkmutation/data_osc_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'Ca2osc', 'PtdIns4_5P2', 'DAG', 'InsP6', 'cGMP', 'PtdIns3_5P2', 'RCARs', 'InsP3', 'NO', 'cADPR', 'Closure', 'H2O_Efflux'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2osc', 'ABI2', '0'), ('Ca2osc', 'HAB1', '0'), ('Ca2osc', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_B_20230407.txt'
# extra edges: []
# score: 184.19875019051986
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2osc* = CIS or CaIM
# CPK3_21* = Ca2osc
# MPK9_12* = Ca2osc
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2osc
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2osc
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2osc
# Vacuolar_Acidification* = V-PPase or V-ATPase
# TCTP* = Ca2osc
# Microtubule_Depolymerization* = TCTP
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2osc) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2osc and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2osc
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2osc
# Depolarization* = (AnionEM or Ca2osc or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_B_20230407.txt'
iteration	top score	extra edges	complexity
0	278.375	0	191
1	287.875	1	189
2	290.04166666666663	0	225
3	308.2083333333333	2	221
4	313.0925925925926	2	317
5	329.4444444444444	3	243
6	331.5	3	241
7	345.875	2	241
8	350.0	5	227
9	354.0	5	282
10	370.0625	6	281
11	370.0625	6	277
12	372.3125	7	332
13	372.3125	7	332
14	373.3125	6	375
15	375.3125	8	379
16	376.3125	4	317
17	378.89583333333337	8	364
18	380.89583333333337	9	289
19	381.89583333333337	8	288
20	383.89583333333337	11	315
21	384.89583333333337	9	220
22	387.89583333333337	11	319
23	387.89583333333337	9	308
24	389.39583333333337	10	292
25	389.39583333333337	10	292
26	389.39583333333337	9	283
27	389.39583333333337	9	283
28	389.8125	9	293
29	389.8125	9	293
30	389.8125	9	291
31	389.8125	8	293
32	389.8125	8	293
33	389.8125	8	289
34	389.8125	8	283
35	390.64583333333337	8	286
36	390.64583333333337	8	286
37	391.0625	8	278
38	391.0625	7	280
39	391.8125	7	269
40	392.0625	7	278
41	392.0625	7	263
42	392.0625	7	259
43	392.0625	7	259
44	392.0625	7	254
45	393.0625	7	276
46	393.0625	7	273
47	393.0625	7	259
48	393.0625	7	258
49	393.0625	7	251
50	393.0625	7	241
51	393.0625	7	241
52	393.0625	7	241
53	393.0625	7	222
54	393.0625	7	222
55	393.0625	7	222
56	393.0625	7	216
57	393.0625	7	211
58	393.0625	7	210
59	393.0625	7	206
60	393.0625	7	206
61	393.0625	7	206
62	393.0625	7	205
63	393.0625	7	205
64	393.0625	7	205
65	393.0625	7	205
66	393.0625	7	205
67	393.0625	7	205
68	393.0625	7	205
69	393.0625	7	205
70	394.0625	7	206
71	394.0625	7	202
72	394.4375	7	200
73	394.4375	7	200
74	394.4375	7	200
75	394.4375	7	196
76	394.4375	7	196
77	394.4375	7	195
78	394.4375	7	195
79	394.4375	7	195
80	394.4375	7	195
81	394.8125	8	202
82	394.8125	8	202
83	395.9375	8	198
84	395.9375	7	195
85	395.9375	7	195
86	395.9375	7	195
87	395.9375	7	195
88	395.9375	7	195
89	395.9375	7	195
90	395.9375	7	195
91	395.9375	7	192
92	395.9375	7	192
93	395.9375	7	192
94	395.9375	7	192
95	395.9375	7	192
96	395.9375	7	188
97	395.9375	7	188
98	396.2708333333333	7	192
99	396.2708333333333	7	192
100	396.2708333333333	7	189
