# DATA='networkmutation/data_osc_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'PtdIns3_5P2', 'H2O_Efflux', 'cGMP', 'Ca2osc', 'NO', 'RCARs', 'Ca2_ATPase', 'PtdIns4_5P2', 'cADPR', 'Closure', 'InsP3', 'InsP6', 'DAG'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2osc', 'ABI2', '0'), ('Ca2osc', 'HAB1', '0'), ('Ca2osc', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext_cis.txt'
# extra edges: []
# score: 184.19875019051986
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2osc* = CIS or Ca_ext
# CPK3_21* = Ca2osc
# MPK9_12* = Ca2osc
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2osc
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2osc
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2osc
# Vacuolar_Acidification* = V-PPase or V-ATPase
# TCTP* = Ca2osc
# Microtubule_Depolymerization* = TCTP
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2osc) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2osc and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2osc
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2osc
# Depolarization* = (AnionEM or Ca2osc or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext_cis.txt'
iteration	top score	extra edges	complexity
0	286.4814814814815	0	187
1	287.89814814814815	0	181
2	315.875	1	209
3	324.625	3	188
4	326.6666666666667	2	183
5	331.9398148148148	3	233
6	331.9398148148148	3	233
7	334.25	3	267
8	337.25	4	238
9	342.25	5	314
10	345.75	5	317
11	352.25	5	269
12	362.5	4	306
13	366.25	4	356
14	368.5	4	263
15	375.625	7	364
16	376.0	7	351
17	381.0	7	384
18	381.0	7	384
19	382.75	8	364
20	384.0	8	364
21	385.0	7	382
22	385.0	7	360
23	386.0	8	240
24	386.0	8	240
25	389.0	8	354
26	390.75	8	344
27	390.75	8	344
28	390.75	7	367
29	392.0	8	371
30	392.0	8	343
31	392.5	8	299
32	393.5	8	298
33	393.5	8	290
34	393.5	7	297
35	393.5	7	297
36	393.5	6	298
37	393.5	6	298
38	393.5	6	270
39	393.5	6	260
40	393.5	5	269
41	393.5	5	269
42	393.5	5	244
43	393.5	5	243
44	393.5	5	243
45	394.5	6	247
46	394.5	5	246
47	394.5	5	240
48	394.5	5	240
49	394.5	5	240
50	395.0	5	260
51	395.0	5	260
52	395.0	5	260
53	395.0	5	251
54	395.0	5	245
55	395.0	5	245
56	396.0	5	273
57	396.0	5	267
58	396.0	5	251
59	396.0	5	247
60	396.0	5	221
61	397.5	6	282
62	397.5	6	282
63	397.5	6	280
64	397.5	6	280
65	397.5	6	278
66	397.5	6	274
67	397.5	6	268
68	397.5	6	266
69	397.5	6	266
70	397.5	6	248
71	397.5	6	244
72	397.5	6	242
73	397.5	6	237
74	397.5	6	237
75	397.5	6	236
76	397.5	6	235
77	397.5	6	234
78	397.5	6	227
79	397.5	6	226
80	397.5	5	251
81	397.5	5	226
82	397.5	5	226
83	397.5	5	226
84	397.5	5	224
85	397.5	5	219
86	397.5	5	219
87	397.5	5	215
88	397.5	5	215
89	398.0	5	232
90	398.0	5	223
91	398.0	5	223
92	398.0	5	222
93	398.0	5	222
94	398.0	5	222
95	398.0	5	221
96	398.0	5	221
97	398.0	5	200
98	398.0	5	200
99	398.0	5	200
100	398.0	5	200
