# DATA='networkmutation/data_osc_ca_ext_20230511.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'Closure', 'Ca2_ATPase', 'RCARs', 'Ca2osc', 'NO', 'InsP6', 'PtdIns4_5P2', 'DAG', 'PtdIns3_5P2', 'cADPR', 'InsP3', 'cGMP', 'H2O_Efflux'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2osc', 'ABI2', '0'), ('Ca2osc', 'HAB1', '0'), ('Ca2osc', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext_cis.txt'
# extra edges: []
# score: 184.19875019051986
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# Ca_ext* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR or CaIM
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2osc* = CIS or Ca_ext
# CPK3_21* = Ca2osc
# MPK9_12* = Ca2osc
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2osc
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2osc
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2osc
# Vacuolar_Acidification* = V-PPase or V-ATPase
# TCTP* = Ca2osc
# Microtubule_Depolymerization* = TCTP
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2osc) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2osc and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2osc
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2osc
# Depolarization* = (AnionEM or Ca2osc or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_B_20230511_ca_ext_cis.txt'
iteration	top score	extra edges	complexity
0	284.9814814814815	0	197
1	288.0	1	197
2	288.4814814814815	2	196
3	331.25	2	195
4	331.25	2	195
5	335.25	2	204
6	337.25	2	189
7	337.25	2	189
8	343.75	2	188
9	347.25	2	191
10	352.75	4	217
11	352.75	4	217
12	356.75	4	217
13	368.0	4	212
14	368.0	4	210
15	372.0	5	222
16	373.0	6	231
17	374.0	5	223
18	374.5	5	210
19	376.5	6	218
20	376.5	5	212
21	377.0	4	226
22	378.5	7	235
23	378.5	4	219
24	378.5	4	197
25	383.0	5	210
26	383.0	4	218
27	385.75	5	190
28	385.75	5	190
29	388.25	6	240
30	388.75	6	235
31	388.75	5	244
32	390.75	6	206
33	390.75	6	194
34	392.75	6	206
35	392.75	6	206
36	393.75	6	196
37	394.75	6	217
38	394.75	6	217
39	395.75	6	236
40	396.9166666666667	7	242
41	396.9166666666667	7	229
42	397.41666666666674	7	232
43	397.91666666666674	8	222
44	397.91666666666674	7	217
45	397.91666666666674	7	212
46	397.91666666666674	7	207
47	397.91666666666674	7	207
48	397.91666666666674	7	203
49	397.91666666666674	7	198
50	397.91666666666674	7	195
51	397.91666666666674	7	188
52	397.91666666666674	7	188
53	398.41666666666674	8	206
54	398.41666666666674	7	199
55	398.41666666666674	7	198
56	399.41666666666674	8	210
57	399.41666666666674	8	210
58	399.41666666666674	7	204
59	399.41666666666674	7	204
60	399.41666666666674	7	203
61	400.0	7	199
62	400.0	7	199
63	400.0	7	198
64	400.25	8	211
65	400.25	8	207
66	400.25	8	207
67	400.25	7	203
68	400.25	7	200
69	400.25	7	200
70	400.25	7	200
71	400.25	7	183
72	400.25	7	179
73	400.25	7	179
74	400.25	7	179
75	400.25	7	178
76	400.25	7	178
77	400.25	7	177
78	400.25	7	177
79	400.25	7	175
80	400.25	7	175
81	400.25	7	175
82	400.25	7	175
83	400.25	7	175
84	400.25	7	175
85	400.25	7	174
86	400.25	7	174
87	400.25	7	174
88	400.25	7	173
89	400.25	7	173
90	400.25	7	173
91	400.25	7	173
92	401.5	7	175
93	401.5	7	175
94	401.5	7	175
95	401.5	7	175
96	410.25	8	170
97	410.25	7	170
98	410.25	7	170
99	410.25	7	170
100	410.25	7	170
