# DATA='networkmutation/data_osc_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'cGMP', 'NO', 'Closure', 'PtdIns4_5P2', 'H2O_Efflux', 'PtdIns3_5P2', 'RCARs', 'cADPR', 'InsP6', 'InsP3', 'DAG'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',), 'Ca2osc': ('CaIM', 'CIS')}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('PA', 'ABI2', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('PA', 'Microtubule_Depolymerization', '1'), ('GHR1', 'KOUT', '1'), ('NO', 'KEV', '1'), ('CIS', 'AnionEM', '1'), ('GPA1', 'Ca2osc', '1'), ('PA', 'Ca2osc', '1'), ('pHc', 'SPHK1_2', '1'), ('InsP3', 'SPHK1_2', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_B_20230407.txt'
# extra edges: []
# score: 184.19875019051986
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2osc* = CIS or CaIM
# CPK3_21* = Ca2osc
# MPK9_12* = Ca2osc
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2osc
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2osc
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2osc
# Vacuolar_Acidification* = V-PPase or V-ATPase
# TCTP* = Ca2osc
# Microtubule_Depolymerization* = TCTP
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2osc) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2osc and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2osc
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2osc
# Depolarization* = (AnionEM or Ca2osc or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = (AnionEM and AquaporinPIP2_1 and K_efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_B_20230407.txt'
iteration	top score	extra edges	complexity
0	284.9814814814815	0	187
1	294.625	0	190
2	297.375	0	181
3	306.04166666666663	0	179
4	307.27314814814815	0	248
5	314.52314814814815	0	185
6	321.46064814814815	0	173
7	322.71064814814815	0	272
8	324.21064814814815	0	175
9	326.46064814814815	0	175
10	326.52314814814815	0	186
11	327.46064814814815	0	165
12	327.46064814814815	0	165
13	327.96064814814815	0	161
14	328.96064814814815	0	162
15	332.3564814814814	0	174
16	333.0439814814814	0	163
17	334.0439814814814	0	164
18	334.2847222222222	0	176
19	334.7847222222222	0	172
20	336.1064814814814	0	159
21	337.3472222222222	0	154
22	347.0	0	161
23	352.0	0	149
24	355.0	0	167
25	356.0	0	166
26	357.0	0	160
27	358.0	0	160
28	360.0	0	160
29	361.5	0	163
30	361.5	0	163
31	361.5	0	158
32	361.5	0	154
33	362.0	0	165
34	364.5	0	163
35	367.0	0	151
36	367.0	0	151
37	369.0	0	163
38	369.0	0	159
39	370.0	0	160
40	371.5	0	166
41	372.5	0	160
42	373.0	0	145
43	373.0	0	142
44	373.5	0	144
45	374.5	0	161
46	374.5	0	149
47	374.5	0	147
48	374.5	0	145
49	374.5	0	145
50	374.5	0	145
51	374.5	0	144
52	374.5	0	143
53	374.5	0	143
54	374.5	0	143
55	374.5	0	143
56	374.5	0	143
57	374.5	0	143
58	374.5	0	141
59	374.5	0	141
60	374.5	0	141
61	374.5	0	141
62	374.5	0	141
63	374.5	0	141
64	374.5	0	141
65	374.5	0	141
66	374.5	0	141
67	374.5	0	141
68	374.5	0	141
69	374.5	0	141
70	374.5	0	141
71	374.5	0	141
72	374.5	0	141
73	374.5	0	141
74	374.5	0	141
75	375.5	0	168
76	375.5	0	168
77	375.5	0	168
78	375.5	0	168
79	375.5	0	168
80	375.5	0	168
81	375.75	0	199
82	375.75	0	171
83	375.75	0	169
84	375.75	0	168
85	375.75	0	168
86	375.75	0	168
87	375.75	0	168
88	375.75	0	165
89	375.75	0	158
90	376.25	0	206
91	376.25	0	163
92	376.25	0	163
93	376.25	0	163
94	376.25	0	161
95	376.25	0	161
96	376.25	0	161
97	376.25	0	161
98	376.25	0	161
99	376.25	0	161
100	376.25	0	161
