# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'cADPR', 'PtdIns4_5P2', 'DAG', 'RCARs', 'InsP6', 'Ca2_ATPase', 'cGMP', 'PtdIns3_5P2', 'Closure', 'Ca2c', 'InsP3', 'H2O_Efflux', 'NO'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	319.2997524773579	1	195
1	343.27125	2	193
2	356.06	2	190
3	356.06	2	190
4	358.06	2	191
5	361.08832607116926	5	208
6	367.025	3	201
7	367.025	3	201
8	369.775	6	203
9	371.07954545454544	3	213
10	373.76029411764705	4	211
11	377.3148395721925	4	206
12	378.2634799336869	4	208
13	381.7634799336869	3	203
14	382.66339506172847	4	213
15	385.0277989040734	5	229
16	385.0277989040734	5	229
17	385.83469135802477	4	207
18	387.80283319762617	4	218
19	387.83469135802477	3	212
20	388.2791358024692	5	207
21	388.83469135802477	4	213
22	389.77913580246917	4	224
23	390.2791358024692	5	215
24	390.2791358024692	5	215
25	391.2235802469136	5	212
26	391.9411111111112	4	209
27	392.9411111111112	5	210
28	393.7411111111112	5	205
29	394.7966666666668	6	203
30	394.9911111111112	6	210
31	396.0466666666668	6	205
32	396.0466666666668	6	205
33	397.0466666666668	6	207
34	397.0466666666668	6	207
35	397.0466666666668	5	215
36	397.0466666666668	5	205
37	397.6800000000001	6	211
38	397.6800000000001	6	211
39	398.55555555555554	5	211
40	398.55555555555554	5	201
41	398.55555555555554	5	201
42	399.2222222222222	5	227
43	399.55555555555554	5	213
44	399.55555555555554	4	209
45	399.55555555555554	3	208
46	399.55555555555554	3	203
47	399.55555555555554	3	203
48	399.55555555555554	3	203
49	399.55555555555554	3	201
50	399.55555555555554	3	200
51	399.55555555555554	3	200
52	399.65555555555557	4	199
53	399.65555555555557	4	199
54	399.65555555555557	3	199
55	399.65555555555557	3	199
56	399.65555555555557	3	199
57	399.65555555555557	3	199
58	399.65555555555557	3	197
59	399.65555555555557	3	197
60	399.65555555555557	3	197
61	399.65555555555557	3	197
62	399.65555555555557	3	197
63	399.65555555555557	3	197
64	399.65555555555557	3	196
65	399.65555555555557	3	192
66	399.65555555555557	3	188
67	399.65555555555557	3	188
68	399.65555555555557	3	186
69	399.65555555555557	3	186
70	400.12222222222226	4	193
71	400.32222222222225	4	187
72	400.32222222222225	4	187
73	400.32222222222225	4	187
74	400.32222222222225	4	187
75	400.32222222222225	4	187
76	400.32222222222225	4	187
77	400.32222222222225	4	187
78	400.32222222222225	4	187
79	400.32222222222225	4	187
80	400.32222222222225	4	186
81	400.32222222222225	4	186
82	400.32222222222225	4	184
83	400.7222222222222	5	188
84	400.7222222222222	4	187
85	400.7222222222222	4	187
86	400.7222222222222	4	187
87	400.7222222222222	4	187
88	400.7222222222222	4	187
89	400.7222222222222	4	187
90	400.7222222222222	4	187
91	400.7222222222222	4	183
92	400.7222222222222	4	183
93	400.7222222222222	4	183
94	400.7222222222222	4	183
95	400.7222222222222	4	183
96	400.7222222222222	4	183
97	400.7222222222222	4	181
98	400.7222222222222	4	181
99	400.7222222222222	4	180
100	400.7222222222222	4	178
