# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'InsP3', 'cGMP', 'Closure', 'PtdIns4_5P2', 'Ca2c', 'DAG', 'NO', 'cADPR', 'PtdIns3_5P2', 'RCARs', 'H2O_Efflux', 'Ca2_ATPase', 'InsP6'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	318.64690627041983	0	190
1	320.64506972312876	1	190
2	330.97562529695045	0	192
3	333.3697916666667	2	201
4	335.3697916666667	1	198
5	337.3697916666667	1	208
6	355.82658179012344	1	194
7	357.882137345679	3	202
8	357.882137345679	3	202
9	366.125	2	217
10	366.125	2	217
11	366.125	2	217
12	367.18208676268864	4	214
13	367.5231910150892	5	200
14	372.2931978737998	4	225
15	373.8148028120714	6	244
16	373.8148028120714	6	244
17	377.70369170096023	6	239
18	377.70369170096023	6	239
19	377.70369170096023	6	239
20	377.70369170096023	5	250
21	379.43208676268864	7	217
22	379.43208676268864	6	216
23	381.57680555555555	6	204
24	382.02125	6	203
25	382.46569444444447	6	208
26	384.27125	6	204
27	384.27125	6	204
28	385.82680555555555	6	209
29	385.82680555555555	6	203
30	386.6155555555556	7	208
31	386.6155555555556	7	208
32	387.71	9	214
33	387.7611111111111	9	221
34	387.79333333333335	9	215
35	387.79333333333335	9	215
36	388.34444444444443	9	215
37	388.34444444444443	9	215
38	388.59444444444443	10	212
39	389.34444444444443	9	218
40	390.30844444444443	9	214
41	390.30844444444443	9	214
42	390.30844444444443	9	212
43	390.55844444444443	9	214
44	391.30844444444443	9	211
45	391.30844444444443	8	214
46	391.30844444444443	8	214
47	391.30844444444443	8	214
48	391.30844444444443	8	214
49	391.30844444444443	8	213
50	391.80844444444443	8	210
51	391.80844444444443	8	207
52	391.80844444444443	8	207
53	391.80844444444443	8	206
54	391.80844444444443	8	206
55	392.7251111111111	8	221
56	392.7251111111111	8	221
57	392.80844444444443	8	213
58	392.80844444444443	8	212
59	392.80844444444443	8	202
60	393.05844444444443	7	213
61	393.80844444444443	8	209
62	393.80844444444443	8	208
63	393.9751111111111	8	209
64	393.9751111111111	8	205
65	393.9751111111111	7	235
66	393.9751111111111	7	234
67	393.9751111111111	7	222
68	395.48148148148147	8	196
69	395.48148148148147	8	196
70	395.48148148148147	7	197
71	395.48148148148147	6	237
72	395.48148148148147	6	208
73	395.48148148148147	6	192
74	395.48148148148147	6	192
75	395.48148148148147	6	192
76	395.48148148148147	6	192
77	395.48148148148147	6	192
78	395.48148148148147	6	192
79	395.48148148148147	6	190
80	395.48148148148147	6	190
81	395.48148148148147	6	190
82	395.48148148148147	6	188
83	395.48148148148147	6	188
84	395.48148148148147	6	188
85	395.97222222222223	5	197
86	396.22222222222223	6	194
87	396.22222222222223	6	187
88	396.22222222222223	6	187
89	396.22222222222223	6	184
90	396.22222222222223	6	184
91	396.22222222222223	6	184
92	396.22222222222223	6	181
93	396.22222222222223	6	176
94	396.45833333333337	7	201
95	396.45833333333337	7	201
96	396.45833333333337	7	184
97	396.45833333333337	7	184
98	396.45833333333337	7	184
99	396.45833333333337	7	182
100	396.45833333333337	7	179
