# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'InsP6', 'cGMP', 'RCARs', 'Closure', 'InsP3', 'PtdIns3_5P2', 'cADPR', 'PtdIns4_5P2', 'Ca2c', 'DAG', 'NO', 'Ca2_ATPase', 'H2O_Efflux'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	340.27125	0	188
1	345.1577684022327	0	191
2	362.27125	1	201
3	362.52125	1	186
4	364.78569444444446	1	196
5	367.15625	1	204
6	367.40625	1	200
7	368.52125	2	219
8	371.02125	2	209
9	371.02125	2	209
10	373.77125	1	205
11	373.97569444444446	2	205
12	374.02125	1	209
13	375.21125	3	231
14	379.22125000000005	1	205
15	379.22569444444446	1	226
16	381.3701388888888	3	221
17	383.2590277777777	3	228
18	384.3701388888888	3	213
19	389.2868055555555	2	223
20	391.5368055555555	2	217
21	395.72569444444434	5	231
22	395.72569444444434	5	231
23	395.72569444444434	5	231
24	397.36458333333326	6	234
25	397.36458333333326	6	234
26	397.61458333333326	5	231
27	397.61458333333326	5	230
28	398.11458333333326	5	230
29	398.11458333333326	4	229
30	398.61458333333326	4	250
31	398.61458333333326	4	238
32	398.61458333333326	3	230
33	399.44791666666663	4	237
34	399.61458333333326	4	232
35	400.08333333333326	4	232
36	401.08333333333326	5	235
37	401.08333333333326	4	224
38	401.08333333333326	3	222
39	401.08333333333326	3	222
40	401.08333333333326	3	206
41	401.74999999999994	4	218
42	402.74999999999994	4	204
43	402.74999999999994	4	204
44	402.74999999999994	4	203
45	402.74999999999994	4	202
46	402.74999999999994	4	202
47	402.74999999999994	4	201
48	402.74999999999994	4	198
49	402.74999999999994	4	195
50	402.74999999999994	4	195
51	402.74999999999994	3	199
52	402.74999999999994	3	197
53	402.74999999999994	3	193
54	402.74999999999994	3	193
55	403.74999999999994	4	197
56	403.74999999999994	4	196
57	403.74999999999994	4	194
58	403.74999999999994	4	192
59	403.74999999999994	4	192
60	403.74999999999994	4	192
61	403.74999999999994	4	192
62	403.74999999999994	4	190
63	403.74999999999994	4	190
64	403.74999999999994	4	190
65	403.74999999999994	4	190
66	403.74999999999994	4	189
67	403.74999999999994	4	186
68	403.74999999999994	4	185
69	403.74999999999994	4	184
70	403.74999999999994	4	184
71	403.74999999999994	4	183
72	403.74999999999994	4	183
73	403.74999999999994	4	183
74	403.74999999999994	4	183
75	403.74999999999994	4	183
76	403.74999999999994	4	183
77	403.74999999999994	4	183
78	403.99999999999994	5	186
79	403.99999999999994	4	186
80	403.99999999999994	4	182
81	403.99999999999994	4	182
82	403.99999999999994	4	182
83	403.99999999999994	4	178
84	403.99999999999994	4	178
85	403.99999999999994	4	177
86	403.99999999999994	4	177
87	403.99999999999994	4	177
88	403.99999999999994	4	176
89	403.99999999999994	4	176
90	403.99999999999994	4	176
91	404.99999999999994	4	177
92	404.99999999999994	4	177
93	404.99999999999994	4	177
94	404.99999999999994	4	176
95	404.99999999999994	4	176
96	404.99999999999994	4	176
97	404.99999999999994	4	174
98	404.99999999999994	4	173
99	404.99999999999994	4	173
100	404.99999999999994	4	173
