# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'DAG', 'InsP6', 'Ca2c', 'RCARs', 'PtdIns3_5P2', 'cGMP', 'Closure', 'Ca2_ATPase', 'H2O_Efflux', 'PtdIns4_5P2', 'InsP3', 'NO', 'cADPR'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GPA1', 'OST1', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	332.2562295751634	0	215
1	340.0086805555556	0	199
2	353.11979166666663	3	202
3	357.4461805555555	3	197
4	358.52256944444446	2	206
5	360.0017361111111	2	204
6	367.5083333333333	3	212
7	371.525	2	218
8	373.725	2	225
9	376.685	3	221
10	376.685	3	221
11	382.35	3	219
12	382.35	3	219
13	386.975	5	209
14	386.975	4	233
15	391.475	4	200
16	393.27500000000003	4	213
17	397.02500000000003	4	204
18	398.2666666666667	3	216
19	398.8416666666667	5	216
20	400.0428571428572	4	216
21	401.8595238095238	5	218
22	402.8595238095238	6	223
23	402.8595238095238	6	223
24	403.6595238095239	6	216
25	403.6595238095239	6	216
26	403.6595238095239	6	216
27	404.6595238095239	5	211
28	404.6595238095239	5	208
29	404.6595238095239	5	207
30	404.6595238095239	5	202
31	405.8777777777778	5	197
32	405.8777777777778	5	197
33	405.8777777777778	5	195
34	405.8777777777778	5	195
35	406.43777777777785	6	200
36	406.43777777777785	6	200
37	406.68777777777785	6	197
38	406.69444444444434	6	197
39	407.19444444444434	6	190
40	407.19444444444434	6	190
41	407.19444444444434	6	189
42	407.19444444444434	6	185
43	408.26111111111106	7	195
44	408.7777777777777	7	192
45	408.7777777777777	7	192
46	408.7777777777777	7	192
47	409.41666666666674	6	186
48	409.41666666666674	6	186
49	410.66666666666674	7	190
50	410.66666666666674	7	186
51	410.66666666666674	7	185
52	410.66666666666674	7	183
53	410.66666666666674	7	181
54	410.66666666666674	7	179
55	410.66666666666674	7	179
56	410.66666666666674	7	179
57	413.66666666666674	7	182
58	413.66666666666674	7	181
59	413.66666666666674	7	181
60	413.91666666666674	8	185
61	413.91666666666674	8	181
62	413.91666666666674	8	181
63	413.91666666666674	8	179
64	413.91666666666674	8	179
65	413.91666666666674	8	178
66	413.91666666666674	8	178
67	413.91666666666674	8	178
68	413.91666666666674	8	173
69	413.91666666666674	8	173
70	413.91666666666674	8	173
71	413.91666666666674	8	173
72	413.91666666666674	8	173
73	413.91666666666674	8	173
74	413.91666666666674	8	173
75	413.91666666666674	8	173
76	413.91666666666674	8	172
77	413.91666666666674	8	172
78	413.91666666666674	8	172
79	413.91666666666674	8	172
80	413.91666666666674	8	170
81	413.91666666666674	8	170
82	413.91666666666674	8	170
83	413.91666666666674	8	170
84	414.41666666666674	8	173
85	414.41666666666674	8	172
86	414.41666666666674	8	172
87	414.41666666666674	8	172
88	416.8500000000001	9	173
89	416.8500000000001	9	173
90	422.66666666666674	8	172
91	422.66666666666674	8	172
92	425.66666666666674	8	176
93	425.66666666666674	8	176
94	425.66666666666674	8	176
95	425.66666666666674	8	174
96	425.66666666666674	8	174
97	425.66666666666674	8	174
98	425.66666666666674	8	174
99	425.66666666666674	8	174
100	425.66666666666674	8	173
