# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'H2O_Efflux', 'PtdIns3_5P2', 'InsP3', 'NO', 'Ca2_ATPase', 'Ca2c', 'DAG', 'PtdIns4_5P2', 'RCARs', 'cADPR', 'cGMP', 'Closure', 'InsP6'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	325.70228539079994	1	196
1	341.6522853907999	2	194
2	350.31339650191103	2	185
3	356.7331881685777	2	191
4	362.25652150191104	2	186
5	362.9635894848135	3	187
6	363.2605709876544	4	186
7	365.7222880622837	3	188
8	366.10423392021164	3	198
9	367.76588681277366	4	196
10	371.00365377632534	4	202
11	373.7537547864264	3	211
12	373.9732335244236	3	213
13	374.19819923087084	3	212
14	375.4732335244236	4	216
15	376.4732335244236	4	205
16	377.6789727347083	4	215
17	381.9732335244237	3	209
18	381.9732335244237	3	209
19	383.30656685775693	4	198
20	385.30656685775693	4	199
21	385.30656685775693	4	191
22	387.19264367531525	4	200
23	388.9676779688681	5	219
24	388.9676779688681	5	208
25	389.32937698412707	3	201
26	390.84187698412717	3	209
27	392.9418769841271	3	208
28	392.9418769841271	3	208
29	392.9418769841271	3	203
30	393.9418769841271	3	202
31	393.9418769841271	3	197
32	393.9418769841271	3	194
33	393.9418769841271	2	194
34	393.9418769841271	2	194
35	394.4418769841271	3	188
36	395.4418769841271	3	188
37	395.4418769841271	2	186
38	397.23486111111123	3	205
39	397.23486111111123	3	205
40	397.23486111111123	3	205
41	397.3188611111112	3	212
42	400.23486111111123	2	205
43	401.2876111111112	4	207
44	401.2876111111112	4	207
45	401.5159722222222	4	209
46	402.9847222222222	5	209
47	402.9847222222222	5	209
48	402.9847222222222	3	206
49	402.9847222222222	3	206
50	402.9847222222222	3	206
51	402.9847222222222	3	194
52	402.9847222222222	3	194
53	402.9847222222222	3	192
54	402.9847222222222	3	187
55	402.9847222222222	3	185
56	402.9847222222222	3	184
57	403.9847222222222	4	199
58	403.9847222222222	3	191
59	403.9847222222222	3	178
60	403.9847222222222	3	178
61	403.9847222222222	3	178
62	403.9847222222222	3	173
63	403.9847222222222	3	173
64	403.9847222222222	3	168
65	403.9847222222222	3	168
66	403.9847222222222	3	168
67	404.7972222222222	4	179
68	404.7972222222222	4	176
69	404.7972222222222	4	176
70	404.7972222222222	4	176
71	404.7972222222222	4	176
72	404.7972222222222	4	176
73	404.7972222222222	4	176
74	405.7972222222222	5	185
75	405.7972222222222	5	185
76	405.7972222222222	5	177
77	405.7972222222222	5	177
78	405.7972222222222	5	174
79	405.7972222222222	5	172
80	405.7972222222222	5	172
81	405.7972222222222	5	172
82	405.7972222222222	5	170
83	405.7972222222222	5	170
84	405.7972222222222	5	170
85	405.7972222222222	5	170
86	405.7972222222222	5	170
87	405.7972222222222	5	170
88	405.7972222222222	5	170
89	405.7972222222222	5	170
90	405.7972222222222	5	170
91	405.7972222222222	5	169
92	405.7972222222222	5	169
93	405.7972222222222	5	169
94	405.7972222222222	5	169
95	405.7972222222222	5	169
96	405.7972222222222	5	169
97	405.7972222222222	5	169
98	405.7972222222222	5	169
99	405.7972222222222	5	169
100	405.7972222222222	5	169
