# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'InsP6', 'Ca2c', 'H2O_Efflux', 'cADPR', 'NO', 'DAG', 'PtdIns3_5P2', 'Ca2_ATPase', 'PtdIns4_5P2', 'Closure', 'cGMP', 'InsP3', 'RCARs'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	325.4097743747117	0	201
1	329.63379152094	1	190
2	330.6163607994708	0	208
3	342.7989583333333	2	196
4	342.7989583333333	2	196
5	350.95625	3	207
6	366.6852969107871	3	196
7	366.6852969107871	3	196
8	369.6320634920635	5	230
9	371.711111111111	5	314
10	371.711111111111	5	314
11	376.5733333333333	6	313
12	376.5733333333333	6	290
13	378.41777777777776	4	342
14	381.21111111111105	5	321
15	388.01000000000005	6	338
16	390.30555555555554	5	339
17	393.2777777777777	5	330
18	395.1111111111111	6	265
19	396.3611111111111	5	270
20	396.3611111111111	5	270
21	397.6111111111111	7	306
22	398.1111111111111	6	300
23	398.1111111111111	6	297
24	398.6111111111111	5	291
25	398.8611111111111	6	296
26	399.6111111111111	6	290
27	400.3611111111111	6	343
28	401.6111111111111	7	348
29	403.3611111111111	5	293
30	403.8611111111111	5	378
31	404.8611111111111	5	392
32	404.8611111111111	5	392
33	404.8611111111111	5	383
34	404.8611111111111	5	349
35	404.99999999999994	5	412
36	404.99999999999994	4	254
37	406.99999999999994	5	344
38	406.99999999999994	5	309
39	406.99999999999994	5	309
40	406.99999999999994	5	309
41	406.99999999999994	5	308
42	407.24999999999994	6	377
43	407.24999999999994	6	310
44	407.24999999999994	6	267
45	407.3611111111111	5	312
46	407.49999999999994	7	301
47	407.74999999999994	7	274
48	408.49999999999994	9	314
49	408.49999999999994	9	314
50	408.74999999999994	7	353
51	408.74999999999994	7	353
52	408.74999999999994	7	274
53	408.74999999999994	6	297
54	408.74999999999994	6	272
55	408.74999999999994	6	272
56	408.74999999999994	6	272
57	408.74999999999994	6	272
58	408.74999999999994	6	262
59	408.74999999999994	6	261
60	408.74999999999994	6	261
61	409.24999999999994	6	332
62	409.24999999999994	6	332
63	409.24999999999994	6	332
64	409.24999999999994	6	258
65	409.3611111111111	6	308
66	409.3611111111111	6	260
67	409.3611111111111	6	260
68	409.3611111111111	6	259
69	409.3611111111111	6	259
70	409.3611111111111	6	258
71	409.3611111111111	6	258
72	409.3611111111111	6	258
73	409.3611111111111	6	256
74	409.3611111111111	6	256
75	409.3611111111111	6	256
76	409.3611111111111	6	256
77	409.3611111111111	6	256
78	409.3611111111111	6	256
79	409.3611111111111	6	256
80	409.3611111111111	6	256
81	409.3611111111111	6	256
82	409.3611111111111	6	256
83	410.1111111111111	7	268
84	410.1111111111111	7	264
85	410.1111111111111	7	264
86	410.3611111111111	7	340
87	410.49999999999994	7	345
88	410.49999999999994	7	345
89	410.6111111111111	7	275
90	410.6111111111111	7	254
91	410.6111111111111	7	254
92	410.6111111111111	7	254
93	410.6111111111111	7	254
94	410.6111111111111	7	254
95	410.6111111111111	7	254
96	410.6111111111111	7	254
97	410.6111111111111	7	225
98	410.6111111111111	7	225
99	410.6111111111111	7	225
100	410.6111111111111	7	221
