# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'DAG', 'InsP3', 'RCARs', 'cADPR', 'Ca2c', 'cGMP', 'Closure', 'Ca2_ATPase', 'InsP6', 'PtdIns3_5P2', 'NO', 'PtdIns4_5P2', 'H2O_Efflux'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	314.0190912460421	1	196
1	329.2472582660515	2	200
2	335.3595131680123	3	189
3	355.56368944636677	3	206
4	357.81368944636677	1	180
5	362.81368944636677	4	192
6	362.81368944636677	4	192
7	363.343287037037	3	184
8	366.5516203703703	4	186
9	368.0516203703703	5	196
10	371.0516203703703	7	197
11	373.0516203703703	7	195
12	374.0516203703703	7	198
13	375.5516203703703	8	200
14	376.5516203703703	8	206
15	376.99606481481476	8	195
16	376.99606481481476	7	192
17	377.8293981481481	8	204
18	382.75500000000017	6	201
19	383.8800000000001	7	186
20	384.25500000000017	7	198
21	385.5800000000002	7	192
22	387.09666666666675	7	186
23	388.18000000000006	7	193
24	388.18000000000006	7	190
25	388.1800000000001	7	192
26	388.1800000000001	7	192
27	390.18000000000006	7	203
28	390.1800000000001	6	198
29	391.8466666666667	7	207
30	395.515	7	201
31	396.19166666666666	7	214
32	397.06055555555554	7	207
33	401.48333333333335	8	259
34	401.48333333333335	8	259
35	401.48333333333335	8	227
36	401.52301587301594	8	232
37	404.7333333333333	8	239
38	404.7333333333333	8	223
39	405.4166666666667	9	234
40	406.2333333333333	8	291
41	406.9166666666667	9	233
42	406.9166666666667	9	233
43	407.4166666666667	8	235
44	407.4166666666667	8	235
45	407.4166666666667	8	234
46	407.4166666666667	8	233
47	407.4166666666667	7	241
48	407.4166666666667	7	239
49	414.40999999999997	7	243
50	414.40999999999997	7	243
51	416.40999999999997	7	247
52	416.40999999999997	7	247
53	417.44753086419746	7	247
54	418.40999999999997	9	250
55	418.44753086419746	8	250
56	419.07666666666665	9	263
57	419.07666666666665	8	263
58	419.25308641975306	9	260
59	419.9382716049382	8	281
60	420.28086419753083	8	256
61	420.6882716049382	8	267
62	421.1882716049382	8	262
63	421.57716049382714	8	277
64	421.57716049382714	8	277
65	422.07716049382714	8	272
66	422.07716049382714	8	268
67	422.07716049382714	8	268
68	423.57716049382714	8	289
69	424.57716049382714	8	292
70	427.07716049382714	8	249
71	427.07716049382714	7	278
72	427.07716049382714	7	278
73	427.07716049382714	7	248
74	427.07716049382714	7	246
75	427.07716049382714	6	255
76	427.07716049382714	6	242
77	427.07716049382714	6	242
78	427.07716049382714	6	237
79	427.07716049382714	6	237
80	427.07716049382714	6	235
81	427.07716049382714	6	231
82	427.07716049382714	6	231
83	427.07716049382714	6	228
84	427.07716049382714	6	228
85	427.07716049382714	6	228
86	427.07716049382714	6	226
87	427.07716049382714	6	205
88	427.07716049382714	6	203
89	427.07716049382714	6	203
90	427.07716049382714	6	203
91	427.41	6	221
92	427.41	6	221
93	427.41	6	221
94	427.82716049382714	6	214
95	427.82716049382714	6	204
96	427.82716049382714	6	204
97	428.16	6	201
98	428.16	6	196
99	428.16	6	196
100	428.16	6	196
