# DATA='networkmutation/data_20230426.tsv'
# DEFAULT_SOURCES={'ABA': 0}
# CONSTRAINTS={'fixed': {'NO', 'Ca2_ATPase', 'InsP6', 'H2O_Efflux', 'Closure', 'PtdIns3_5P2', 'PtdIns4_5P2', 'Ca2c', 'cADPR', 'cGMP', 'InsP3', 'DAG', 'RCARs'}, 'regulate': {'ABI1': ('RCARs',), 'ABI2': ('RCARs',), 'HAB1': ('RCARs',), 'PP2CA': ('RCARs',), 'K_efflux': ('KEV', 'KOUT'), 'OST1': ('ABI1', 'ABI2'), 'Depolarization': ('AnionEM',)}, 'necessary': {'8-nitro-cGMP': ('cGMP',), 'KOUT': ('Depolarization',), 'Malate': ('PEPC', 'AnionEM'), 'ROS': ('NADPH', 'RBOH')}, 'group': {'PA': (('PC', 'PLDalpha'), ('PC', 'PLDdelta'), ('DAG', 'DAGK')), 'S1P_PhytoS1P': (('SPHK1_2', 'Sph'),)}, 'possible_constant': {'GEF1_4_10'}}
# EDGE_POOL=(('Ca2c', 'ABI2', '0'), ('Ca2c', 'HAB1', '0'), ('Ca2c', 'PP2CA', '0'), ('PA', 'ABI2', '0'), ('PA', 'HAB1', '0'), ('PA', 'PP2CA', '0'), ('AquaporinPIP2_1', 'ROS', '1'), ('Actin_Reorganization', 'RBOH', '1'), ('ROS', 'Actin_Reorganization', '1'), ('pHc', 'Vacuolar_Acidification', '1'), ('ABI1', 'GEF1_4_10', '1'), ('GHR1', 'CPK3_21', '1'), ('PA', 'Microtubule_Depolymerization', '1'))

# BASE='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
# extra edges: []
# score: 311.71313474579495
# ABA* = ABA
# ABH1* = 1
# ARP_Complex* = 1
# CPK6* = 1
# CPK23* = 1
# DAGK* = 1
# ERA1* = 1
# GAPC1_2* = 1
# GCR1* = 1
# GTP* = 1
# MRP5* = 1
# NAD* = 1
# NADPH* = 1
# Nitrite* = 1
# NtSyp121* = 1
# PC* = 1
# PtdInsP3* = 1
# PtdInsP4* = 1
# RCN1* = 1
# SCAB1* = 1
# Sph* = 1
# GEF1_4_10* = 0
# SPP1* = 0
# RCARs* = ABA
# PEPC* = not ABA
# PI3P5K* = ABA
# ROP11* = GEF1_4_10
# ABI1* = not PA and (not RCARs or ROP11) and not ROS and pHc
# ABI2* = (not RCARs or ROP11) and not ROS
# HAB1* = not RCARs and not ROS
# PP2CA* = not RCARs and not ROS
# OST1* = (not ABI1 and not HAB1) or (not PP2CA and not ABI2) or (not ABI1 and not ABI2) or (not HAB1 and not PP2CA) or (not HAB1 and not ABI2) or (not ABI1 and not PP2CA)
# RBOH* = pHc and not ABI1 and PtdInsP3 and OST1 and GPA1 and PA and RCN1
# ROS* = NADPH and RBOH
# GHR1* = not ABI2 and ROS
# NO* = Nitrite and NIA1_2 and NADPH
# NIA1_2* = ROS
# NOGC1* = NO
# cGMP* = NOGC1 and GTP
# 8-nitro-cGMP* = cGMP and ROS and NO
# ADPRc* = 8-nitro-cGMP
# cADPR* = NAD and ADPRc
# CIS* = InsP3 or InsP6 or cADPR
# SACC* = Actin_Reorganization
# CaIM* = SACC or (NtSyp121 and GHR1 and MRP5) or not ABH1 or not ERA1
# Ca2c* = (CIS or CaIM) and not Ca2_ATPase
# Ca2_ATPase* = Ca2c
# CPK3_21* = Ca2c or CPK3_21
# MPK9_12* = Ca2c or MPK9_12
# PtdIns4_5P2* = PtdInsP4
# PLC* = Ca2c
# DAG* = PtdIns4_5P2 and PLC
# InsP3* = PLC and PtdIns4_5P2
# InsP6* = InsP3
# PLDalpha* = GPA1 and Ca2c
# PLDdelta* = NO or ROS and GAPC1_2
# PA* = PC and (PLDdelta or PLDalpha) or DAG and DAGK
# SPHK1_2* = PA or ABA
# S1P_PhytoS1P* = SPHK1_2 and Sph and not SPP1
# GPA1* = S1P_PhytoS1P or not GCR1
# PtdIns3_5P2* = PI3P5K
# V-PPase* = PtdIns3_5P2
# V-ATPase* = Ca2c
# Vacuolar_Acidification* = V-PPase or V-ATPase or Vacuolar_Acidification
# TCTP* = Ca2c
# Microtubule_Depolymerization* = TCTP or Microtubule_Depolymerization
# pHc* = (OST1 and not ABI2 and not ABI1 or Ca2c) and Vacuolar_Acidification
# H_ATPase* = not pHc and not Ca2c and not ROS
# AtRAC1* = not ABA or ABI1
# Actin_Reorganization* = (PtdInsP4 or PtdInsP3) and not AtRAC1 and ARP_Complex and SCAB1
# SLAC1* = (CPK6 or CPK23 or CPK3_21) and MPK9_12 and OST1 and GHR1 and pHc and not ABI1 and not PP2CA and not ABI2
# QUAC1* = OST1 and Ca2c
# SLAH3* = (CPK6 or CPK23) and CPK3_21 and not ABI1
# AnionEM* = SLAC1 or QUAC1 and SLAH3
# Malate* = PEPC and not ABA and not AnionEM
# KEV* = Ca2c
# Depolarization* = (AnionEM or Ca2c or KEV) and (not H_ATPase or not K_efflux)
# KOUT* = (not NO or not ROS or pHc) and Depolarization
# K_efflux* = KEV and KOUT
# AquaporinPIP2_1* = OST1
# H2O_Efflux* = AnionEM and AquaporinPIP2_1 and (K_efflux or H2O_Efflux) and not Malate
# Closure* = Microtubule_Depolymerization and H2O_Efflux

# MODEL='networkmutation/baseline/ABA_GA_base_A_20230501.txt'
iteration	top score	extra edges	complexity
0	330.2586805555556	1	199
1	339.89756944444446	1	196
2	353.64756944444446	1	183
3	359.45480599647266	2	183
4	360.45480599647266	3	185
5	365.3028549382716	1	193
6	365.7757936507936	4	198
7	372.625	2	185
8	372.625	2	185
9	373.625	3	193
10	373.625	3	188
11	374.025	4	210
12	374.625	2	195
13	375.275	3	199
14	376.775	3	175
15	377.275	3	172
16	379.275	3	181
17	380.275	3	181
18	380.275	3	181
19	381.525	3	179
20	381.525	3	175
21	382.38954545454544	2	190
22	382.91468253968253	3	186
23	383.525	4	181
24	383.91468253968253	3	192
25	385.375	3	194
26	385.375	3	194
27	385.375	3	190
28	386.41468253968253	3	199
29	386.625	4	194
30	387.375	3	196
31	387.625	4	193
32	387.625	4	191
33	387.625	4	190
34	387.875	4	199
35	387.875	4	199
36	387.875	4	194
37	387.875	4	185
38	387.875	4	183
39	387.875	4	183
40	387.875	4	183
41	387.875	4	178
42	387.875	4	178
43	387.875	4	178
44	388.7083333333333	5	180
45	388.7083333333333	4	180
46	388.7083333333333	4	180
47	388.7083333333333	4	179
48	388.7083333333333	4	179
49	388.7083333333333	4	179
50	388.7083333333333	4	179
51	388.7083333333333	4	178
52	389.7916666666666	4	180
53	390.95833333333326	5	180
54	392.2916666666666	5	179
55	392.2916666666666	5	177
56	392.2916666666666	4	177
57	392.2916666666666	4	177
58	392.2916666666666	4	175
59	392.2916666666666	4	175
60	392.5416666666666	4	195
61	392.5416666666666	4	177
62	392.5416666666666	4	175
63	392.5416666666666	4	175
64	392.5416666666666	4	175
65	392.7916666666666	4	184
66	392.7916666666666	4	184
67	392.7916666666666	4	184
68	392.7916666666666	4	184
69	392.7916666666666	4	184
70	392.7916666666666	4	183
71	392.7916666666666	4	177
72	392.7916666666666	4	176
73	393.2916666666666	4	193
74	393.2916666666666	4	184
75	393.7916666666666	4	184
76	393.7916666666666	4	184
77	394.2916666666666	4	201
78	394.2916666666666	4	197
79	394.2916666666666	4	197
80	394.2916666666666	4	197
81	394.2916666666666	4	197
82	394.2916666666666	4	187
83	394.2916666666666	4	187
84	394.2916666666666	4	187
85	394.2916666666666	4	186
86	394.2916666666666	4	184
87	394.2916666666666	4	184
88	394.2916666666666	4	184
89	394.2916666666666	4	184
90	394.2916666666666	4	183
91	394.2916666666666	4	183
92	394.2916666666666	4	183
93	394.2916666666666	4	181
94	394.2916666666666	4	181
95	394.2916666666666	4	179
96	394.2916666666666	4	177
97	394.2916666666666	4	177
98	394.2916666666666	4	177
99	394.2916666666666	4	175
100	394.2916666666666	4	175
