ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		HXT2	OFF
2	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		SUC2	OFF
3	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		MALS	OFF
4	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		HXT4	OFF
5	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		HXT5	ON
6	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		number_4ORFs	OFF
7	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		SFC1	OFF
8	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		Gal11p	ON
9	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		HXT1	ON
10	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		PCK1	OFF
11	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		MEL1	OFF
12	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		HXT8	ON
13	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		GAL7	OFF
14	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		MLS1	OFF
15	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		GAL10	OFF
16	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		ACS1	OFF
17	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		ICL1	OFF
18	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		IDP2	OFF
19	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		Mig3p	ON
20	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		HXT3	ON
21	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		MDH2	OFF
22	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		FBP1	OFF
23	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		GAL5	OFF
24	1.0	galactose_ext=1,glucose_ext=1,maltose_ext=0		JEN1	OFF
25	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	HXT2	OFF
26	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	SUC2	ON
27	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	MALS	ON
28	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	HXT4	OFF
29	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	HXT5	OFF
30	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	number_4ORFs	OFF
31	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	SFC1	ON
32	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	Gal11p	ON
33	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	HXT1	OFF
34	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	galactose_int	ON
35	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	PCK1	ON
36	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	MEL1	ON
37	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	HXT8	OFF
38	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	GAL7	ON
39	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	MLS1	ON
40	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	GAL10	ON
41	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	ACS1	ON
42	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	ICL1	ON
43	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	IDP2	ON
44	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	Rgt2p	OFF
45	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	Mig3p	OFF
46	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	HXT3	OFF
47	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	MDH2	ON
48	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	FBP1	ON
49	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	GAL5	ON
50	1.0	galactose_ext=1,glucose_ext=0,maltose_ext=1	Gal3p CA	JEN1	ON
51	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	HXT2	OFF
52	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	SUC2	OFF
53	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	MALS	OFF
54	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	HXT4	OFF
55	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	HXT5	ON
56	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	number_4ORFs	OFF
57	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	SFC1	OFF
58	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	Gal11p	ON
59	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	HXT1	ON
60	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	PCK1	OFF
61	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	MEL1	OFF
62	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	HXT8	ON
63	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	GAL7	ON
64	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	MLS1	OFF
65	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	GAL10	ON
66	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	ACS1	OFF
67	1.0	galactose_ext=0,glucose_ext=1,maltose_ext=1	GAL4 CA,Mig2p CA	ICL1	OFF
