ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	src=0,trika1=1	ikkbb_nemo KO	ccl2	OFF
2	1.0	src=0,trika1=1	ikkbb_nemo KO	cox2	OFF
3	1.0	src=0,trika1=1	ikkbb_nemo KO	hgf	OFF
4	1.0	src=0,trika1=1	ikkbb_nemo KO	il1b_new	OFF
5	1.0	src=0,trika1=1	ikkbb_nemo KO	il6	OFF
6	1.0	src=0,trika1=1	ikkbb_nemo KO	il8	OFF
7	1.0	src=0,trika1=1	ikkbb_nemo KO	irs1_ps	OFF
8	1.0	src=0,trika1=1	ikkbb_nemo KO	lbp	OFF
9	1.0	src=0,trika1=1	ikkbb_nemo KO	nc_nfkb_pathway	OFF
10	1.0	src=0,trika1=1	ikkbb_nemo KO	saa	OFF
11	1.0	src=0,trika1=1	ikkbb_nemo KO	sil1r_ap	OFF
12	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_a20_traf6_ub	ON
13	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_cyt_p38_tak1_tab	OFF
14	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_hsp27_ps_traf6_ub	OFF
15	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_il1r2_il1rc	OFF
16	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_il1ra_ilr12	OFF
17	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_irak1c_irak12	OFF
18	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_mkp1_p38_jnk_erk12	OFF
19	1.0	src=0,trika1=1	ikkbb_nemo KO	tdum_tpl2_degr_tp2	OFF
20	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	ccl2	OFF
21	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	cox2	OFF
22	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	dum_cebp_pro_il1b	OFF
23	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	hgf	OFF
24	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	il1b_new	OFF
25	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	il6	OFF
26	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	il8	OFF
27	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	irs1_ps	OFF
28	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	lbp	OFF
29	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	nc_nfkb_pathway	OFF
30	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	saa	OFF
31	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	sil1r_ap	OFF
32	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_a20_traf6_ub	ON
33	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_cyt_p38_tak1_tab	OFF
34	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_hsp27_ps_traf6_ub	ON
35	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_il1r2_il1rc	OFF
36	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_il1ra_ilr12	OFF
37	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_irak1c_irak12	OFF
38	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_mkp1_p38_jnk_erk12	OFF
39	1.0	src=1,trika1=0	hsp27_ps CA,nik KO	tdum_tpl2_degr_tp2	OFF
40	1.0	src=0,trika1=1	cjun_gene CA	ccl2	OFF
41	1.0	src=0,trika1=1	cjun_gene CA	cox2	ON
42	1.0	src=0,trika1=1	cjun_gene CA	dum_irak1_or_2_traf6_ub	OFF
43	1.0	src=0,trika1=1	cjun_gene CA	hgf	OFF
44	1.0	src=0,trika1=1	cjun_gene CA	il1b_new	OFF
45	1.0	src=0,trika1=1	cjun_gene CA	il6	OFF
46	1.0	src=0,trika1=1	cjun_gene CA	il8	OFF
47	1.0	src=0,trika1=1	cjun_gene CA	irs1_ps	OFF
48	1.0	src=0,trika1=1	cjun_gene CA	lbp	OFF
49	1.0	src=0,trika1=1	cjun_gene CA	nc_nfkb_pathway	OFF
50	1.0	src=0,trika1=1	cjun_gene CA	saa	OFF
51	1.0	src=0,trika1=1	cjun_gene CA	sil1r_ap	OFF
52	1.0	src=0,trika1=1	cjun_gene CA	tdum_a20_traf6_ub	ON
53	1.0	src=0,trika1=1	cjun_gene CA	tdum_cyt_p38_tak1_tab	OFF
54	1.0	src=0,trika1=1	cjun_gene CA	tdum_hsp27_ps_traf6_ub	OFF
55	1.0	src=0,trika1=1	cjun_gene CA	tdum_il1r2_il1rc	OFF
56	1.0	src=0,trika1=1	cjun_gene CA	tdum_il1ra_ilr12	OFF
57	1.0	src=0,trika1=1	cjun_gene CA	tdum_irak1c_irak12	OFF
58	1.0	src=0,trika1=1	cjun_gene CA	tdum_mkp1_p38_jnk_erk12	ON
59	1.0	src=0,trika1=1	cjun_gene CA	tdum_tpl2_degr_tp2	OFF
60	1.0	src=0,trika1=1	cjun_gene CA	tpl2	OFF
61	1.0	src=0,trika1=1	cjun_gene CA	traf6_ub	OFF
62	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	ccl2	OFF
63	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	cox2	Some
64	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	hgf	OFF
65	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	ikkaa	ON
66	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	il1b_new	OFF
67	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	il6	OFF
68	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	il8	OFF
70	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	lbp	OFF
71	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	myd88	OFF
72	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	nc_nfkb_pathway	OFF
73	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	saa	OFF
74	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	sil1r_ap	OFF
75	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_a20_traf6_ub	ON
76	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_cyt_p38_tak1_tab	OFF
77	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_hsp27_ps_traf6_ub	OFF
78	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_il1r2_il1rc	OFF
79	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_il1ra_ilr12	OFF
80	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_irak1c_irak12	OFF
81	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_mkp1_p38_jnk_erk12	OFF
82	1.0	src=1,trika1=1	nalp_infl CA,p50 CA	tdum_tpl2_degr_tp2	OFF
83	1.0	src=0,trika1=1	dum_cebp_cox2 CA	ccl2	OFF
84	1.0	src=0,trika1=1	dum_cebp_cox2 CA	cjun_gene	OFF
85	1.0	src=0,trika1=1	dum_cebp_cox2 CA	cox2	ON
86	1.0	src=0,trika1=1	dum_cebp_cox2 CA	hgf	OFF
87	1.0	src=0,trika1=1	dum_cebp_cox2 CA	il1b_new	OFF
88	1.0	src=0,trika1=1	dum_cebp_cox2 CA	il6	OFF
89	1.0	src=0,trika1=1	dum_cebp_cox2 CA	il8	OFF
90	1.0	src=0,trika1=1	dum_cebp_cox2 CA	irs1_ps	OFF
91	1.0	src=0,trika1=1	dum_cebp_cox2 CA	lbp	OFF
92	1.0	src=0,trika1=1	dum_cebp_cox2 CA	nc_nfkb_pathway	OFF
93	1.0	src=0,trika1=1	dum_cebp_cox2 CA	saa	OFF
94	1.0	src=0,trika1=1	dum_cebp_cox2 CA	sil1r_ap	OFF
95	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_a20_traf6_ub	ON
96	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_cyt_p38_tak1_tab	OFF
97	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_hsp27_ps_traf6_ub	OFF
98	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_il1r2_il1rc	OFF
99	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_il1ra_ilr12	OFF
100	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_irak1c_irak12	OFF
101	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_mkp1_p38_jnk_erk12	OFF
102	1.0	src=0,trika1=1	dum_cebp_cox2 CA	tdum_tpl2_degr_tp2	OFF
103	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	ccl2	OFF
104	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	cox2	OFF
105	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	hgf	OFF
106	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	il1b_new	OFF
107	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	il6	OFF
108	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	il8	OFF
109	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	irs1_ps	OFF
110	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	lbp	OFF
111	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	nc_nfkb_pathway	OFF
112	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	p105	ON
113	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	saa	OFF
114	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	sil1r_ap	OFF
115	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_a20_traf6_ub	ON
116	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_cyt_p38_tak1_tab	OFF
117	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_hsp27_ps_traf6_ub	OFF
118	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_il1r2_il1rc	OFF
119	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_il1ra_ilr12	OFF
120	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_irak1c_irak12	OFF
121	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_mkp1_p38_jnk_erk12	OFF
122	1.0	src=0,trika1=1	dum_cebp_pro_il1b CA,il1rc KO	tdum_tpl2_degr_tp2	OFF
123	1.0	src=1,trika1=0	il1a CA,p65 KO	ccl2	OFF
124	1.0	src=1,trika1=0	il1a CA,p65 KO	cox2	OFF
125	1.0	src=1,trika1=0	il1a CA,p65 KO	hgf	OFF
126	1.0	src=1,trika1=0	il1a CA,p65 KO	il1b_new	OFF
127	1.0	src=1,trika1=0	il1a CA,p65 KO	il6	OFF
128	1.0	src=1,trika1=0	il1a CA,p65 KO	il8	OFF
129	1.0	src=1,trika1=0	il1a CA,p65 KO	irs1_ps	OFF
130	1.0	src=1,trika1=0	il1a CA,p65 KO	lbp	OFF
131	1.0	src=1,trika1=0	il1a CA,p65 KO	nc_nfkb_pathway	OFF
132	1.0	src=1,trika1=0	il1a CA,p65 KO	saa	OFF
133	1.0	src=1,trika1=0	il1a CA,p65 KO	sil1r_ap	OFF
134	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_a20_traf6_ub	ON
135	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_cyt_p38_tak1_tab	OFF
136	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_hsp27_ps_traf6_ub	OFF
137	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_il1r2_il1rc	ON
138	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_il1ra_ilr12	OFF
139	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_irak1c_irak12	OFF
140	1.0	src=1,trika1=0	il1a CA,p65 KO	tdum_mkp1_p38_jnk_erk12	OFF
