ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	CycD=0	E2F KO,Rb CA	p27	ON
2	1.0	CycD=1	CycB CA	CycE	OFF
3	1.0	CycD=1	CycB CA	E2F	OFF
4	1.0	CycD=1	CycB CA	Rb	OFF
5	1.0	CycD=0		Cdc20	OFF
6	1.0	CycD=0		Cdh1	ON
7	1.0	CycD=0		CycA	OFF
8	1.0	CycD=0		CycB	OFF
9	1.0	CycD=0		CycE	OFF
10	1.0	CycD=0		E2F	OFF
11	1.0	CycD=0		Rb	ON
12	1.0	CycD=0		UbcH10	OFF
13	1.0	CycD=0		p27	ON
14	1.0	CycD=1	CycE KO,UbcH10 KO	CycB	Some
15	1.0	CycD=1	CycE KO,UbcH10 KO	E2F	Some
16	1.0	CycD=1	CycE KO,Rb KO	CycA	Some
17	1.0	CycD=1	CycE KO,Rb KO	CycB	Some
18	1.0	CycD=1	Cdh1 CA	CycE	OFF
19	1.0	CycD=1	Cdh1 CA	Rb	OFF
20	1.0	CycD=1	Cdh1 CA	UbcH10	OFF
21	1.0	CycD=0	Cdc20 KO	Rb	Some
22	1.0	CycD=1	CycB KO	Rb	OFF
23	1.0	CycD=0	CycB KO	Cdc20	OFF
24	1.0	CycD=0	CycB KO	CycE	OFF
25	1.0	CycD=0	CycB KO	UbcH10	Some
26	1.0	CycD=0	CycA CA	E2F	OFF
27	1.0	CycD=0	CycA CA	UbcH10	Some
28	1.0	CycD=0	CycA CA	p27	Some
29	1.0	CycD=1		Cdc20	Some
30	1.0	CycD=1		Cdh1	Some
31	1.0	CycD=1		CycA	Some
32	1.0	CycD=1		CycB	Some
33	1.0	CycD=1		CycE	Some
34	1.0	CycD=1		E2F	Some
35	1.0	CycD=1		Rb	OFF
36	1.0	CycD=1		UbcH10	Some
37	1.0	CycD=1		p27	OFF
38	1.0	CycD=0	CycE KO,E2F CA,p27 CA	Cdh1	ON
39	1.0	CycD=1	Cdc20 KO	E2F	OFF
40	1.0	CycD=1	CycE CA	CycB	Some
41	1.0	CycD=1	CycE CA	p27	OFF
42	1.0	CycD=1	p27 KO	Cdc20	Some
43	1.0	CycD=1	p27 KO	CycA	Some
44	1.0	CycD=1	p27 KO	CycB	Some
45	1.0	CycD=0	Rb KO	Cdc20	Some
46	1.0	CycD=0	Rb KO	CycB	Some
47	1.0	CycD=0	Rb KO	CycE	Some
48	1.0	CycD=0	Rb KO	p27	Some
49	1.0	CycD=1	CycA KO,E2F KO	p27	OFF
50	1.0	CycD=0	CycB KO,E2F KO,UbcH10 CA	Cdc20	OFF
51	1.0	CycD=0	p27 KO	Cdh1	ON
52	1.0	CycD=0	p27 KO	UbcH10	OFF
53	1.0	CycD=0	UbcH10 CA	Cdh1	ON
54	1.0	CycD=0	UbcH10 CA	E2F	Some
55	1.0	CycD=0	UbcH10 CA	Rb	Some
56	1.0	CycD=0	Cdc20 KO,E2F CA	CycA	Some
57	1.0	CycD=1	Cdc20 KO,CycA KO	CycB	Some
58	1.0	CycD=1	Cdc20 KO,CycA KO	E2F	Some
59	1.0	CycD=0	CycE KO	E2F	OFF
60	1.0	CycD=1	Cdc20 CA	CycB	OFF
61	1.0	CycD=1	Cdc20 CA	UbcH10	Some
62	1.0	CycD=1	Cdc20 CA	p27	OFF
63	1.0	CycD=1	Rb KO	Cdh1	Some
64	1.0	CycD=1	Rb KO	UbcH10	Some
66	1.0	CycD=0	CycA KO	CycE	Some
67	1.0	CycD=0	CycA KO	UbcH10	OFF
68	1.0	CycD=0	Rb KO,UbcH10 KO	p27	Some
69	1.0	CycD=0	CycA CA,UbcH10 CA	CycB	OFF/Some
70	1.0	CycD=1	UbcH10 CA	CycB	OFF
71	1.0	CycD=1	UbcH10 CA	p27	OFF
72	1.0	CycD=0	Cdc20 CA	CycA	OFF
73	1.0	CycD=0	Cdc20 CA	p27	Some
74	1.0	CycD=0	Cdh1 KO	CycA	Some
75	1.0	CycD=1	CycA CA	Cdh1	Some
76	1.0	CycD=1	CycA CA	E2F	OFF
77	1.0	CycD=1	CycA CA	Rb	OFF
78	1.0	CycD=0	CycB CA	E2F	OFF
79	1.0	CycD=0	Cdh1 CA,E2F KO,Rb KO	p27	Some
80	1.0	CycD=1	p27 CA	CycB	OFF
81	1.0	CycD=1	p27 CA	E2F	ON
82	1.0	CycD=1	p27 CA	Rb	OFF
83	1.0	CycD=0	p27 CA	Cdh1	ON
84	1.0	CycD=0	Rb CA	CycA	OFF
85	1.0	CycD=0	CycE CA	Rb	Some
86	1.0	CycD=0	UbcH10 KO	CycA	OFF
87	1.0	CycD=0	UbcH10 KO	CycE	OFF
88	1.0	CycD=1	Cdc20 CA,CycA CA	Rb	OFF
89	1.0	CycD=1	CycA KO,CycE CA,p27 KO	Cdc20	OFF
90	1.0	CycD=1	CycA KO,CycE CA,p27 KO	CycB	OFF
91	1.0	CycD=1	CycA KO,CycE CA,p27 KO	E2F	ON
92	1.0	CycD=0	Cdc20 KO,Cdh1 KO	CycE	OFF
93	1.0	CycD=0	Cdc20 KO,Cdh1 KO	UbcH10	ON
94	1.0	CycD=0	Cdh1 CA	CycA	Some
95	1.0	CycD=0	Cdh1 CA	p27	Some
96	1.0	CycD=1	CycA KO	Cdc20	OFF
97	1.0	CycD=1	CycA KO	CycE	ON
98	1.0	CycD=1	Cdh1 KO,CycA CA	CycB	Some
99	1.0	CycD=1	Cdc20 CA,Rb CA	CycA	OFF
100	1.0	CycD=1	Cdc20 CA,Rb CA	UbcH10	Some
101	1.0	CycD=1	Rb CA	Cdh1	ON
