# TOTAL_ITERATIONS=10,PER_ITERATION=10,KEEP=2
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,61.875,61.875,61.875,61.875,61.875,63.875,63.875,63.875,63.875,64.125,78.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,31.3125,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,84.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,0.0,0.0,0.0,0.0,0.0,21.3125,62.25,62.75,62.75,62.75,62.75
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,26.6875,26.6875,26.6875,26.6875,26.6875,26.6875,28.9375,28.9375,29.6875,29.6875,29.6875
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,41.0,41.0,41.0,41.0,42.5,42.5,76.5,76.5,76.5,77.5,78.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,57.5,57.5,57.5,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,28.5625,28.5625,28.5625,28.5625,28.5625,28.5625,28.5625,28.5625,28.5625,29.1875,29.1875
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,0.0,0.0,22.3125,22.3125,22.3125,22.3125,22.3125,22.3125,22.3125,22.3125,22.3125
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,20.6875,21.25,22.75,22.75,22.75,48.90625,48.90625,48.90625,48.90625,48.90625,48.90625
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,40.5,73.75,76.5,76.5,76.5,76.5,77.5,77.5,77.5,77.5,78.5
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,62.25,62.25,64.25,64.25,64.25,79.0,79.0,81.0,81.0,81.0,81.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,28.75,30.75,30.75,30.75,30.75,30.75,30.75,32.5,78.75,78.75,78.75
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,0.0,23.0,24.0,24.0,24.0,64.75,66.0,67.0,67.0,71.0,76.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,23.4375,25.0625,25.0625,25.0625,25.0625,25.0625,25.0625,25.1875,26.625,28.0,28.0
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,40.0,42.0,42.0,42.0,42.0,42.0,42.0,71.5,71.5,73.5,73.5
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,61.875,71.0,71.0,72.0,72.0,75.5,75.5,75.5,75.5,79.5,79.5
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,29.3125,29.9375,29.9375,30.1875,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,0.0,0.0,0.0,0.0,22.875,25.0,25.0,25.0,26.5625,27.4375,27.5625
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,23.4375,23.4375,23.4375,55.9375,55.9375,55.9375,55.9375,55.9375,55.9375,55.9375,62.4375
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,45.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,82.0,82.0,82.5
Cell Cycle Transcription by Coupled CDK and Network Oscillators,0.01,62.875,65.5,66.5,66.5,66.5,67.75,67.75,82.25,82.25,82.25,86.75
